row_id,split,year,nct_id,brief_title,condition_group,sponsor_type,phase,enrollment,sites_planned,duration_months,eligibility_word_count,country_count,prior_amendment_count,rare_disease,gene_therapy,protocol_amendment_burden
112,train,2023,NCT09000113,metabolic,metabolic,academic,phase1,44,5,20,190,2,1,0,0,0
113,train,2023,NCT09000114,metabolic,metabolic,government,phase3,164,7,23,143,2,2,0,0,0
114,train,2023,NCT09000115,infectious extension platform,infectious,industry,phase2,477,2,33,195,2,1,0,0,0
115,train,2023,NCT09000116,metabolic long term extension,metabolic,academic,phase1,102,5,4,268,2,3,0,0,1
116,train,2023,NCT09000117,cardiology,cardiology,government,phase3,126,1,5,201,1,4,0,0,0
117,train,2023,NCT09000118,infectious first in human long term extension,infectious,small_biotech,phase3,300,,28,251,2,3,0,0,1
118,train,2023,NCT09000119,metabolic registry platform,metabolic,government,phase3,154,6,27,285,1,5,0,0,0
119,train,2023,NCT09000120,metabolic,metabolic,academic,phase3,223,7,24,222,1,4,0,0,1
120,train,2023,NCT09000121,oncology,oncology,government,phase3,508,5,43,188,1,3,0,0,0
121,train,2023,NCT09000122,neurology biomarker registry,neurology,academic,phase3,57,9,25,225,2,4,0,0,0
122,train,2023,NCT09000123,metabolic first in human long term extension,metabolic,small_biotech,phase3,62,27,66,198,2,4,0,1,0
123,train,2023,NCT09000124,cardiology,cardiology,government,phase2,51,2,7,152,1,3,0,0,0
124,train,2023,NCT09000125,rare disease adaptive platform rare genetic first in human,rare_disease,small_biotech,phase1,97,3,15,305,2,3,1,0,0
125,train,2023,NCT09000126,cardiology,cardiology,industry,phase1,105,3,26,173,3,1,0,0,0
126,train,2023,NCT09000127,rare disease registry registry rare genetic,rare_disease,industry,phase3,108,35,60,245,4,5,1,0,0
127,train,2023,NCT09000128,rare disease rare genetic,rare_disease,academic,phase2,28,5,12,142,2,2,1,0,1
128,train,2023,NCT09000129,oncology,oncology,industry,phase1,194,2,7,147,2,1,0,0,0
129,train,2023,NCT09000130,cardiology,cardiology,academic,phase3,232,4,27,223,2,4,0,0,1
130,train,2023,NCT09000131,metabolic,metabolic,industry,phase4,43,3,18,252,2,1,0,0,0
131,train,2023,NCT09000132,infectious,infectious,academic,phase3,86,,5,167,1,4,0,0,0
132,train,2023,NCT09000133,rare disease rare genetic,rare_disease,government,phase4,61,2,26,222,1,0,1,0,0
133,train,2023,NCT09000134,rare disease rare genetic long term extension,rare_disease,government,phase1,26,6,24,294,2,1,1,0,0
134,train,2023,NCT09000135,oncology pediatric biomarker long term extension,oncology,government,phase1,55,,19,213,3,3,0,0,0
135,train,2023,NCT09000136,infectious,infectious,industry,phase1,96,9,14,225,4,3,0,0,1
136,train,2023,NCT09000137,oncology basket biomarker,oncology,government,phase1,113,2,4,229,1,4,0,0,0
137,train,2023,NCT09000138,infectious decentralized dose long term extension,infectious,industry,phase4,71,3,32,232,1,3,0,0,0
138,train,2023,NCT09000139,neurology,neurology,industry,phase4,90,2,20,215,4,1,0,0,0
139,train,2023,NCT09000140,rare disease rare genetic,rare_disease,industry,phase3,121,21,54,234,3,4,1,0,0
140,train,2023,NCT09000141,oncology decentralized basket,oncology,industry,phase2,223,2,14,267,1,4,0,0,0
141,train,2023,NCT09000142,oncology,oncology,government,phase4,15,1,10,246,1,2,0,0,0
142,train,2023,NCT09000143,metabolic decentralized extension long term extension,metabolic,academic,phase3,154,1,22,306,2,6,0,0,0
143,train,2023,NCT09000144,neurology biomarker dose long term extension,neurology,industry,phase1,148,3,23,165,3,3,0,0,0
144,train,2023,NCT09000145,metabolic first in human,metabolic,small_biotech,phase1,180,8,20,227,1,2,0,0,0
145,train,2023,NCT09000146,cardiology,cardiology,industry,phase1,173,5,26,252,1,3,0,0,0
146,train,2023,NCT09000147,infectious,infectious,government,phase2,48,5,7,100,1,0,0,0,0
147,train,2023,NCT09000148,neurology rare genetic first in human long term extension,neurology,small_biotech,phase3,41,6,31,194,1,3,1,0,0
148,train,2023,NCT09000149,metabolic first in human,metabolic,small_biotech,phase1,128,4,20,190,2,1,0,0,0
149,train,2023,NCT09000150,oncology,oncology,government,phase3,588,2,26,197,1,3,0,0,1
150,train,2023,NCT09000151,neurology,neurology,academic,phase3,78,8,23,196,3,3,0,0,0
151,train,2023,NCT09000152,rare disease rare genetic,rare_disease,government,phase4,63,2,16,290,1,1,1,0,0
152,train,2023,NCT09000153,metabolic,metabolic,academic,phase3,219,4,18,250,1,3,0,0,0
153,train,2023,NCT09000154,infectious first in human,infectious,small_biotech,phase4,74,,28,146,2,2,0,0,0
154,train,2023,NCT09000155,oncology long term extension,oncology,academic,phase1,136,5,14,153,3,1,0,0,1
155,train,2023,NCT09000156,rare disease rare genetic long term extension,rare_disease,government,phase2,12,3,6,282,2,3,1,0,0
156,train,2023,NCT09000157,oncology adaptive decentralized long term extension,oncology,industry,phase3,704,,37,271,3,5,0,0,0
157,train,2023,NCT09000158,cardiology biomarker biomarker,cardiology,government,phase4,143,3,31,264,1,3,0,1,1
158,train,2023,NCT09000159,infectious,infectious,academic,phase3,213,2,19,159,1,2,0,0,1
159,train,2023,NCT09000160,oncology long term extension,oncology,industry,phase2,74,7,14,148,1,1,0,0,1
160,train,2023,NCT09000161,rare disease rare genetic,rare_disease,academic,phase1,61,3,17,277,1,3,1,0,0
161,train,2023,NCT09000162,infectious long term extension,infectious,academic,phase2,58,4,24,237,2,0,0,0,0
162,train,2023,NCT09000163,oncology,oncology,government,phase1,122,2,19,214,2,1,0,0,0
163,train,2023,NCT09000164,infectious,infectious,government,phase4,116,2,25,120,2,1,0,0,0
164,train,2023,NCT09000165,cardiology device dose long term extension,cardiology,academic,phase3,94,6,34,295,1,4,0,0,0
165,train,2023,NCT09000166,infectious extension basket long term extension,infectious,academic,phase1,85,3,16,214,1,4,0,0,1
166,train,2023,NCT09000167,oncology decentralized decentralized rare genetic,oncology,industry,phase4,114,4,9,269,2,4,1,0,0
167,train,2023,NCT09000168,oncology,oncology,academic,phase2,111,5,25,162,3,0,0,0,0
168,train,2023,NCT09000169,oncology basket extension first in human,oncology,small_biotech,phase2,52,,25,326,2,1,0,0,1
169,train,2023,NCT09000170,infectious biomarker biomarker,infectious,academic,phase4,23,1,17,199,1,2,0,0,0
170,train,2023,NCT09000171,cardiology first in human,cardiology,small_biotech,phase1,81,1,4,217,1,2,0,0,0
171,train,2023,NCT09000172,infectious long term extension,infectious,academic,phase4,59,3,13,225,1,0,0,0,0
172,train,2023,NCT09000173,oncology long term extension,oncology,government,phase3,73,5,37,143,2,2,0,0,0
173,train,2023,NCT09000174,cardiology registry registry,cardiology,academic,phase3,75,26,53,203,1,5,0,0,0
174,train,2023,NCT09000175,oncology,oncology,industry,phase4,27,3,25,289,4,0,0,0,0
175,train,2023,NCT09000176,metabolic long term extension,metabolic,government,phase2,173,1,20,126,1,1,0,0,0
176,train,2023,NCT09000177,rare disease rare genetic,rare_disease,industry,phase4,92,5,6,192,3,3,1,0,1
177,train,2023,NCT09000178,neurology,neurology,government,phase1,48,2,7,112,1,0,0,0,0
178,train,2023,NCT09000179,oncology dose biomarker first in human,oncology,small_biotech,phase4,133,2,12,275,1,2,0,0,1
179,train,2023,NCT09000180,rare disease rare genetic,rare_disease,industry,phase1,37,4,21,135,3,0,1,0,0
180,train,2023,NCT09000181,oncology registry device,oncology,government,phase3,109,17,42,178,3,4,0,0,0
181,train,2023,NCT09000182,infectious first in human long term extension,infectious,small_biotech,phase3,41,22,49,143,1,3,0,0,0
182,train,2023,NCT09000183,rare disease pediatric dose rare genetic long term extension,rare_disease,academic,phase1,11,3,13,346,1,3,1,0,0
183,train,2023,NCT09000184,rare disease rare genetic first in human long term extension,rare_disease,small_biotech,phase4,34,1,11,296,1,1,1,0,0
184,train,2023,NCT09000185,cardiology,cardiology,industry,phase4,78,3,10,123,1,1,0,1,0
185,train,2023,NCT09000186,neurology first in human long term extension,neurology,small_biotech,phase4,125,1,13,186,1,3,0,0,0
186,train,2023,NCT09000187,cardiology extension biomarker first in human long term extension,cardiology,small_biotech,phase3,239,5,26,271,3,3,0,0,1
187,train,2023,NCT09000188,infectious first in human,infectious,small_biotech,phase1,34,,14,173,2,3,0,0,1
188,train,2023,NCT09000189,metabolic long term extension,metabolic,academic,phase4,34,1,6,212,2,2,0,0,0
189,train,2023,NCT09000190,oncology decentralized dose long term extension,oncology,industry,phase2,135,6,22,180,3,3,0,1,0
190,train,2023,NCT09000191,infectious basket registry,infectious,academic,phase2,59,1,17,287,1,2,0,0,0
191,train,2023,NCT09000192,infectious first in human long term extension,infectious,small_biotech,phase4,176,,12,273,1,1,0,0,0
192,train,2023,NCT09000193,rare disease device registry rare genetic,rare_disease,academic,phase4,12,3,21,265,1,3,1,1,0
193,train,2023,NCT09000194,neurology,neurology,academic,phase4,108,5,20,194,2,2,0,0,0
194,train,2023,NCT09000195,rare disease rare genetic,rare_disease,academic,phase1,58,2,14,256,1,2,1,0,0
195,train,2023,NCT09000196,oncology biomarker basket,oncology,academic,phase1,18,,27,275,2,4,0,0,1
196,train,2023,NCT09000197,cardiology first in human,cardiology,small_biotech,phase1,72,7,24,80,1,1,0,0,0
197,train,2023,NCT09000198,infectious extension decentralized long term extension,infectious,academic,phase2,39,3,6,241,1,4,0,0,0
198,train,2023,NCT09000199,oncology basket registry,oncology,industry,phase2,81,13,20,143,4,2,0,0,0
199,train,2023,NCT09000200,neurology long term extension,neurology,academic,phase2,50,3,10,119,2,2,0,0,0
200,train,2023,NCT09000201,infectious first in human,infectious,small_biotech,phase1,161,2,20,124,1,2,0,0,0
201,train,2023,NCT09000202,metabolic,metabolic,government,phase2,56,3,8,196,3,3,0,0,0
202,train,2023,NCT09000203,rare disease rare genetic,rare_disease,government,phase2,18,7,19,196,2,2,1,1,0
203,train,2023,NCT09000204,cardiology long term extension,cardiology,academic,phase1,103,1,9,197,2,1,0,0,0
204,train,2023,NCT09000205,infectious basket decentralized rare genetic first in human long term extension,infectious,small_biotech,phase2,49,3,18,338,2,4,1,0,0
205,train,2023,NCT09000206,metabolic device device,metabolic,academic,phase4,66,4,22,278,1,4,0,1,0
206,train,2023,NCT09000207,cardiology first in human long term extension,cardiology,small_biotech,phase4,82,1,18,223,1,2,0,0,0
207,train,2023,NCT09000208,oncology platform pediatric long term extension,oncology,industry,phase3,91,4,19,313,1,3,0,0,0
208,train,2023,NCT09000209,neurology first in human,neurology,small_biotech,phase1,121,,24,189,1,3,0,1,0
209,train,2023,NCT09000210,oncology rare genetic,oncology,industry,phase1,24,8,25,303,3,3,1,1,1
210,train,2023,NCT09000211,neurology,neurology,government,phase3,194,13,33,140,1,2,0,0,0
211,train,2023,NCT09000212,cardiology decentralized biomarker,cardiology,government,phase3,193,5,25,206,3,4,0,0,0
212,train,2023,NCT09000213,rare disease adaptive dose rare genetic first in human,rare_disease,small_biotech,phase2,31,1,4,241,3,3,1,0,0
213,train,2023,NCT09000214,metabolic basket adaptive,metabolic,government,phase4,149,1,16,224,2,3,0,0,0
214,train,2023,NCT09000215,infectious first in human,infectious,small_biotech,phase4,140,2,31,185,1,2,0,1,0
215,train,2023,NCT09000216,infectious basket registry,infectious,industry,phase2,72,2,8,222,1,4,0,0,1
216,train,2023,NCT09000217,infectious long term extension,infectious,government,phase1,23,,29,200,1,1,0,0,0
217,train,2023,NCT09000218,infectious,infectious,academic,phase3,124,29,61,144,3,3,0,0,0
218,train,2023,NCT09000219,neurology,neurology,government,phase1,64,,32,201,2,2,0,0,0
219,train,2023,NCT09000220,neurology first in human,neurology,small_biotech,phase1,46,3,17,210,2,1,0,0,0
220,train,2023,NCT09000221,neurology,neurology,government,phase2,41,1,14,230,1,1,0,0,0
221,train,2023,NCT09000222,cardiology long term extension,cardiology,academic,phase2,120,,22,191,1,0,0,0,0
222,train,2023,NCT09000223,cardiology,cardiology,academic,phase1,68,,23,206,2,1,0,0,0
223,train,2023,NCT09000224,rare disease platform device rare genetic,rare_disease,academic,phase4,30,5,37,259,4,2,1,1,0
224,train,2023,NCT09000225,infectious rare genetic first in human,infectious,small_biotech,phase4,38,6,17,234,1,3,1,0,1
225,train,2023,NCT09000226,infectious decentralized biomarker,infectious,industry,phase3,419,5,20,221,2,4,0,0,1
226,train,2023,NCT09000227,rare disease rare genetic,rare_disease,government,phase2,15,10,19,174,1,2,1,1,0
227,train,2023,NCT09000228,cardiology long term extension,cardiology,academic,phase1,79,9,18,218,1,1,0,0,0
228,train,2023,NCT09000229,metabolic basket dose,metabolic,industry,phase4,147,10,26,199,3,4,0,0,1
229,train,2023,NCT09000230,rare disease platform platform rare genetic,rare_disease,academic,phase4,89,3,14,258,2,3,1,0,0
230,train,2023,NCT09000231,cardiology,cardiology,academic,phase2,58,1,7,144,1,2,0,0,0
231,train,2023,NCT09000232,rare disease basket platform rare genetic,rare_disease,government,phase2,52,2,13,281,1,3,1,0,1
232,train,2023,NCT09000233,oncology platform dose long term extension,oncology,government,phase1,76,2,13,246,1,3,0,0,0
233,train,2023,NCT09000234,neurology basket platform long term extension,neurology,government,phase2,38,3,16,229,2,3,0,0,0
234,train,2023,NCT09000235,infectious,infectious,academic,phase4,31,1,14,177,1,1,0,0,0
235,train,2023,NCT09000236,oncology dose adaptive first in human long term extension,oncology,small_biotech,phase3,230,8,27,239,1,5,0,0,1
236,train,2023,NCT09000237,infectious long term extension,infectious,industry,phase2,27,9,37,255,3,1,0,0,0
237,train,2023,NCT09000238,rare disease rare genetic first in human,rare_disease,small_biotech,phase4,15,5,19,237,1,3,1,1,1
238,train,2023,NCT09000239,rare disease platform extension rare genetic long term extension,rare_disease,industry,phase4,156,3,18,279,4,3,1,0,1
239,train,2023,NCT09000240,cardiology,cardiology,industry,phase4,113,7,22,287,1,1,0,0,0
240,train,2023,NCT09000241,oncology,oncology,academic,phase1,82,3,25,216,4,1,0,0,1
241,train,2023,NCT09000242,rare disease device basket rare genetic first in human,rare_disease,small_biotech,phase1,92,6,26,316,4,2,1,1,1
242,train,2023,NCT09000243,cardiology long term extension,cardiology,academic,phase2,44,4,14,144,2,3,0,0,0
243,train,2023,NCT09000244,oncology rare genetic first in human,oncology,small_biotech,phase1,17,,33,257,1,2,1,1,0
244,train,2023,NCT09000245,metabolic platform platform long term extension,metabolic,academic,phase2,158,5,27,281,3,4,0,0,0
245,train,2023,NCT09000246,cardiology,cardiology,industry,phase4,238,8,14,166,2,1,0,0,0
246,train,2023,NCT09000247,oncology,oncology,industry,phase4,204,4,17,209,2,1,0,0,0
247,train,2023,NCT09000248,cardiology,cardiology,academic,phase4,99,8,20,157,1,2,0,0,0
248,train,2023,NCT09000249,metabolic,metabolic,academic,phase3,160,,12,225,1,3,0,0,0
249,train,2023,NCT09000250,infectious,infectious,industry,phase2,198,3,20,203,2,2,0,0,1
250,train,2023,NCT09000251,cardiology decentralized pediatric long term extension,cardiology,industry,phase2,87,1,23,235,3,3,0,0,0
251,train,2023,NCT09000252,oncology,oncology,industry,phase2,161,2,17,137,4,1,0,0,1
252,train,2023,NCT09000253,oncology,oncology,industry,phase4,56,3,18,255,3,1,0,0,1
253,train,2023,NCT09000254,rare disease rare genetic,rare_disease,academic,phase3,86,,32,189,1,2,1,0,0
254,train,2023,NCT09000255,neurology biomarker device,neurology,industry,phase2,150,13,37,197,4,4,0,0,0
255,train,2023,NCT09000256,oncology first in human,oncology,small_biotech,phase2,99,7,20,153,1,1,0,1,1
256,train,2023,NCT09000257,oncology,oncology,government,phase4,29,1,22,190,1,2,0,0,0
257,train,2023,NCT09000258,cardiology first in human,cardiology,small_biotech,phase2,84,2,22,142,3,3,0,0,0
258,train,2023,NCT09000259,neurology biomarker platform first in human,neurology,small_biotech,phase2,64,4,14,237,1,2,0,0,1
259,train,2023,NCT09000260,cardiology pediatric extension,cardiology,academic,phase3,177,3,20,178,2,5,0,0,1
260,train,2023,NCT09000261,infectious dose platform rare genetic first in human,infectious,small_biotech,phase1,23,,14,372,1,5,1,1,1
