subscription_id,cycle,data_mb_total,voice_min_total
S00068,2025-02,33760.3,101
S00068,2025-03,7333.0,868
S00820,2025-02,25479.3,1371
S00820,2025-03,32897.7,3757
S01748,2025-02,30012.2,682
S01748,2025-03,29002.7,1993
S00874,2025-02,4742.4,1290
S00874,2025-03,36470.4,996
S01431,2025-02,19604.8,2276
S01431,2025-03,14052.8,507
S01366,2025-02,2796.7,3078
S01366,2025-03,19527.6,1406
S00651,2025-02,4588.2,2007
S00651,2025-03,29778.1,2975
S00467,2025-02,1305.6,1177
S00467,2025-03,9522.3,597
S00568,2025-02,22104.8,377
S00568,2025-03,12996.9,2056
S01168,2025-02,10437.8,3946
S01168,2025-03,3057.1,1279
S01206,2025-02,1424.4,3306
S01206,2025-03,34272.0,2466
S01439,2025-02,15844.2,1010
S01439,2025-03,27061.6,2650
S01579,2025-02,15821.4,3676
S01579,2025-03,3320.5,3729
S01191,2025-02,31794.8,2797
S01191,2025-03,7433.0,3574
S00385,2025-02,22007.2,2433
S00385,2025-03,9067.2,100
S00054,2025-02,4798.6,2392
S00054,2025-03,39780.2,1963
S00567,2025-02,29376.5,3383
S00567,2025-03,15727.1,2821
S01076,2025-02,31484.0,2307
S01076,2025-03,39758.7,3840
S00622,2025-02,15777.8,3024
S00622,2025-03,32661.6,222
S01356,2025-02,30616.2,475
S01356,2025-03,4490.9,1117
S01665,2025-02,5147.1,1187
S01665,2025-03,38941.4,3770
S01454,2025-02,14328.3,280
S01454,2025-03,19145.1,1602
S00740,2025-02,28941.7,3873
S00740,2025-03,18471.5,658
S01800,2025-02,35263.7,2012
S01800,2025-03,10946.9,3532
S00163,2025-02,6811.7,2050
S00163,2025-03,21880.2,783
S00372,2025-02,11706.0,115
S00372,2025-03,11977.7,3124
S01335,2025-02,37544.1,3354
S01335,2025-03,33629.0,2651
S00804,2025-02,17574.6,139
S00804,2025-03,20076.2,3066
S01213,2025-02,15574.5,2370
S01213,2025-03,15836.3,2749
S00258,2025-02,19784.9,1617
S00258,2025-03,15070.1,3890
S00353,2025-02,19440.3,3028
S00353,2025-03,3679.1,2023
S00285,2025-02,21874.9,72
S00285,2025-03,8509.9,3692
S00627,2025-02,32636.8,892
S00627,2025-03,37421.6,2934
S00791,2025-02,13186.8,2221
S00791,2025-03,25986.7,2306
S00963,2025-02,18684.9,1342
S00963,2025-03,2787.4,1331
S00769,2025-02,38179.2,3230
S00769,2025-03,25395.9,1688
S01970,2025-02,17330.6,3739
S01970,2025-03,37700.6,3963
S01933,2025-02,16955.7,1080
S01933,2025-03,39149.7,1594
S01193,2025-02,27601.9,2391
S01193,2025-03,5736.6,1295
S01843,2025-02,15754.9,2590
S01843,2025-03,11799.9,2932
S01451,2025-02,37140.1,2741
S01451,2025-03,6994.4,2526
S01959,2025-02,39777.7,998
S01959,2025-03,3519.4,222
S00370,2025-02,18548.5,590
S00370,2025-03,10989.6,428
S01349,2025-02,2909.4,2508
S01349,2025-03,8970.9,1060
S01079,2025-02,27759.8,3645
S01079,2025-03,26048.1,1378
S01238,2025-02,8739.6,2255
S01238,2025-03,25298.1,298
S01678,2025-02,19880.7,3233
S01678,2025-03,32106.1,1943
S00458,2025-02,22757.2,3283
S00458,2025-03,24896.4,2208
S01498,2025-02,5211.9,3226
S01498,2025-03,39505.3,3700
S01020,2025-02,14435.5,3900
S01020,2025-03,31311.0,2633
S01746,2025-02,10369.0,3391
S01746,2025-03,29653.4,3805
S01832,2025-02,27820.1,388
S01832,2025-03,2054.7,3718
S01014,2025-02,8665.1,2578
S01014,2025-03,16833.6,438
S00945,2025-02,1318.8,2256
S00945,2025-03,9457.6,3318
S01225,2025-02,12218.9,2137
S01225,2025-03,17889.2,2611
S00069,2025-02,4309.2,1323
S00069,2025-03,10833.0,378
S00861,2025-02,15500.7,3150
S00861,2025-03,3051.3,1534
S00485,2025-02,24287.1,2931
S00485,2025-03,8836.2,1815
S00207,2025-02,15257.4,3508
S00207,2025-03,647.4,3758
S00117,2025-02,32111.3,3947
S00117,2025-03,17787.6,1086
S01001,2025-02,20019.8,2523
S01001,2025-03,19257.1,2010
S00824,2025-02,1538.2,2367
S00824,2025-03,39491.7,2700
S01847,2025-02,14833.5,2886
S01847,2025-03,32126.7,1162
S00735,2025-02,4659.2,1487
S00735,2025-03,2576.0,2600
S00590,2025-02,12133.2,602
S00590,2025-03,16830.0,653
S00547,2025-02,14118.9,1382
S00547,2025-03,39042.0,2781
S01884,2025-02,23777.8,2204
S01884,2025-03,23551.0,228
S01813,2025-02,875.3,1064
S01813,2025-03,29673.6,1294
S00294,2025-02,8000.2,879
S00294,2025-03,8068.9,404
S00456,2025-02,36798.5,2000
S00456,2025-03,35178.7,2407
S01298,2025-02,37160.1,1127
S01298,2025-03,4620.8,452
S00008,2025-02,39918.1,612
S00008,2025-03,18523.4,1422
S01807,2025-02,13646.9,3655
S01807,2025-03,35171.1,3926
S00958,2025-02,1803.1,3240
S00958,2025-03,14356.3,3064
S01132,2025-02,3032.9,576
S01132,2025-03,8174.5,1340
S00915,2025-02,11888.2,2844
S00915,2025-03,9227.1,1742
S00302,2025-02,36437.3,1556
S00302,2025-03,6313.0,1639
S00151,2025-02,23151.0,1542
S00151,2025-03,36617.2,3648
S01342,2025-02,22540.8,1825
S01342,2025-03,13671.1,2011
S00689,2025-02,22669.2,2468
S00689,2025-03,33097.4,3599
S00569,2025-02,28581.2,633
S00569,2025-03,18490.6,193
S01623,2025-02,28249.5,628
S01623,2025-03,27464.5,3065
S01955,2025-02,18394.9,825
S01955,2025-03,18395.7,3696
S01634,2025-02,18818.0,2921
S01634,2025-03,19953.2,320
S00326,2025-02,22203.2,2324
S00326,2025-03,16698.1,3610
S01410,2025-02,13929.5,659
S01410,2025-03,8135.3,2091
S01318,2025-02,20400.1,931
S01318,2025-03,13843.1,2475
S01645,2025-02,23222.5,1460
S01645,2025-03,38204.4,2350
S01609,2025-02,5407.1,1734
S01609,2025-03,12093.3,3961
S01184,2025-02,36704.1,3666
S01184,2025-03,18329.3,406
S01462,2025-02,33604.7,1107
S01462,2025-03,6125.5,2788
S01405,2025-02,23799.6,1989
S01405,2025-03,14164.1,768
S00497,2025-02,2793.9,3213
S00497,2025-03,6223.1,3597
S00939,2025-02,31091.4,111
S00939,2025-03,30967.8,2906
S00121,2025-02,35221.9,2026
S00121,2025-03,18731.0,281
S01317,2025-02,4402.7,578
S01317,2025-03,8631.0,1260
S00097,2025-02,28471.7,868
S00097,2025-03,15441.8,3428
S00243,2025-02,1148.0,646
S00243,2025-03,16702.7,3496
S00494,2025-02,26541.6,349
S00494,2025-03,2575.4,3064
S01971,2025-02,2756.6,556
S01971,2025-03,19797.1,1729
S01519,2025-02,781.6,3269
S01519,2025-03,31179.9,854
S01835,2025-02,28416.1,3281
S01835,2025-03,15387.3,3532
S01229,2025-02,16584.6,1971
S01229,2025-03,23706.6,3525
S01382,2025-02,12373.3,2637
S01382,2025-03,9527.9,855
S00244,2025-02,733.4,2614
S00244,2025-03,36112.0,2226
S00170,2025-02,24298.2,3250
S00170,2025-03,5137.6,2713
S00798,2025-02,23069.4,2562
S00798,2025-03,30292.8,171
S01433,2025-02,35180.0,3525
S01433,2025-03,19837.7,1635
S01143,2025-02,30516.5,1380
S01143,2025-03,9115.5,2186
S00727,2025-02,7896.0,2503
S00727,2025-03,36294.8,1077
S01702,2025-02,18611.1,2245
S01702,2025-03,12503.7,897
S00281,2025-02,7183.6,3959
S00281,2025-03,31166.6,1469
S00332,2025-02,2710.7,2134
S00332,2025-03,36591.1,3227
S01268,2025-02,4319.9,2357
S01268,2025-03,36904.4,2054
S00034,2025-02,18711.0,2011
S00034,2025-03,21096.6,719
S00104,2025-02,6851.5,1491
S00104,2025-03,32787.7,3800
S00300,2025-02,32427.6,3692
S00300,2025-03,25589.5,3818
S00457,2025-02,14012.0,1665
S00457,2025-03,22778.5,3146
S00186,2025-02,6286.9,3793
S00186,2025-03,33815.6,3843
S01315,2025-02,22065.1,1172
S01315,2025-03,29691.3,1893
S01282,2025-02,27592.8,1524
S01282,2025-03,16299.6,1233
S01820,2025-02,847.8,2659
S01820,2025-03,4554.0,769
S00921,2025-02,19194.4,3772
S00921,2025-03,1108.5,361
S00700,2025-02,1499.6,2279
S00700,2025-03,19478.7,2727
S00442,2025-02,16465.6,3678
S00442,2025-03,19603.2,141
S01174,2025-02,35055.0,2009
S01174,2025-03,7401.1,284
S01491,2025-02,15556.1,81
S01491,2025-03,19910.3,2856
S01544,2025-02,15392.3,1279
S01544,2025-03,39862.0,3023
S01605,2025-02,37176.0,2922
S01605,2025-03,14503.0,3890
S01882,2025-02,10404.8,2072
S01882,2025-03,8937.9,979
S01765,2025-02,5378.6,3323
S01765,2025-03,21353.7,2308
S01250,2025-02,18152.0,1579
S01250,2025-03,13327.1,3785
S00827,2025-02,37314.2,652
S00827,2025-03,7532.1,1580
S00145,2025-02,22531.7,3691
S00145,2025-03,13422.9,3330
S00519,2025-02,1004.9,1585
S00519,2025-03,22480.2,1167
S01108,2025-02,25565.6,905
S01108,2025-03,29092.5,2839
S01625,2025-02,18290.0,3422
S01625,2025-03,16265.3,1040
S01704,2025-02,33109.9,392
S01704,2025-03,13749.8,2382
S01228,2025-02,1937.4,2705
S01228,2025-03,4382.8,1725
S01021,2025-02,20663.1,730
S01021,2025-03,1324.8,3594
S00083,2025-02,4643.3,129
S00083,2025-03,2037.0,3634
S01668,2025-02,33612.8,2055
S01668,2025-03,32214.4,2762
S00649,2025-02,23987.0,3601
S00649,2025-03,34625.8,1204
S01057,2025-02,35061.7,1968
S01057,2025-03,2476.0,2940
S00890,2025-02,19659.7,252
S00890,2025-03,1790.1,1677
S01460,2025-02,17872.5,1115
S01460,2025-03,30863.0,222
S01486,2025-02,36671.3,133
S01486,2025-03,21509.7,3332
S01867,2025-02,4639.4,620
S01867,2025-03,11085.5,3433
S00344,2025-02,13963.0,2283
S00344,2025-03,30985.5,3498
S01352,2025-02,7573.9,107
S01352,2025-03,824.2,141
S00203,2025-02,27188.5,2321
S00203,2025-03,13319.6,1841
S00844,2025-02,21154.6,3217
S00844,2025-03,19793.6,2606
S01783,2025-02,20924.0,3892
S01783,2025-03,31674.9,310
S01015,2025-02,18948.8,2966
S01015,2025-03,10030.6,3841
S00919,2025-02,35658.3,3373
S00919,2025-03,6420.4,2856
S01632,2025-02,23567.1,394
S01632,2025-03,29328.8,1211
S01923,2025-02,802.3,203
S01923,2025-03,19132.0,1787
S00361,2025-02,6203.3,1034
S00361,2025-03,22645.8,1547
S00682,2025-02,12068.7,2566
S00682,2025-03,10882.3,2346
S01230,2025-02,38498.4,2202
S01230,2025-03,26744.3,1989
S01038,2025-02,856.9,2007
S01038,2025-03,16608.1,2591
S01465,2025-02,37025.3,1662
S01465,2025-03,13287.2,1722
S00098,2025-02,13710.3,2578
S00098,2025-03,14648.9,696
S01864,2025-02,4334.2,2272
S01864,2025-03,27674.3,2624
S01679,2025-02,4722.1,1440
S01679,2025-03,28367.1,1972
S00172,2025-02,37541.0,841
S00172,2025-03,2335.3,2724
S00355,2025-02,33517.2,3768
S00355,2025-03,3104.2,3406
S01389,2025-02,11801.1,3525
S01389,2025-03,10700.7,2704
S01752,2025-02,7392.1,2137
S01752,2025-03,31426.3,1289
S00559,2025-02,25076.9,1771
S00559,2025-03,37472.2,271
S01030,2025-02,6838.3,3615
S01030,2025-03,34642.6,2193
S01817,2025-02,4447.7,2553
S01817,2025-03,36670.1,2314
S01197,2025-02,2839.3,3191
S01197,2025-03,7338.8,359
S00905,2025-02,10622.7,1105
S00905,2025-03,36641.4,1158
S00492,2025-02,36341.8,3806
S00492,2025-03,2069.2,1387
S01604,2025-02,34089.2,1808
S01604,2025-03,13849.4,3292
S00587,2025-02,15022.7,643
S00587,2025-03,22866.4,2301
S00952,2025-02,11120.5,903
S00952,2025-03,21811.6,1489
S00797,2025-02,13313.7,2356
S00797,2025-03,38071.6,1132
S01675,2025-02,37521.0,1288
S01675,2025-03,25774.9,603
S01074,2025-02,12569.5,2542
S01074,2025-03,39416.3,2533
S01028,2025-02,3732.9,2119
S01028,2025-03,28853.0,3691
S01758,2025-02,26918.0,3610
S01758,2025-03,4177.1,2029
S01073,2025-02,32707.7,2941
S01073,2025-03,22036.8,1160
S00109,2025-02,23673.5,3970
S00109,2025-03,25844.5,2646
S01839,2025-02,31142.0,1206
S01839,2025-03,925.5,3632
S01286,2025-02,30310.4,3771
S01286,2025-03,12412.1,1125
S01326,2025-02,14941.1,2832
S01326,2025-03,23590.9,661
S01742,2025-02,37078.1,3879
S01742,2025-03,32597.1,2076
S01922,2025-02,21158.5,1475
S01922,2025-03,24046.8,2885
S00013,2025-02,22399.4,1812
S00013,2025-03,35473.1,542
S00526,2025-02,1915.9,3129
S00526,2025-03,35238.4,963
S01513,2025-02,19991.6,2930
S01513,2025-03,28683.1,215
S00802,2025-02,2062.4,2479
S00802,2025-03,4204.6,3486
S01851,2025-02,8520.2,1460
S01851,2025-03,16441.8,1070
S01935,2025-02,39710.8,2628
S01935,2025-03,3159.8,3154
S00515,2025-02,20311.5,1334
S00515,2025-03,28952.5,981
S01077,2025-02,7897.2,3825
S01077,2025-03,25450.1,1408
S01129,2025-02,18548.3,3035
S01129,2025-03,1676.2,1180
S01714,2025-02,6503.3,1880
S01714,2025-03,10920.4,2041
S00162,2025-02,36664.9,1007
S00162,2025-03,2951.2,2099
S01997,2025-02,22571.0,3027
S01997,2025-03,32261.6,3292
S01061,2025-02,29931.6,3740
S01061,2025-03,18211.4,2101
S01106,2025-02,26740.3,605
S01106,2025-03,5326.0,1683
S00718,2025-02,9503.4,1386
S00718,2025-03,6581.1,3049
S01434,2025-02,14796.8,1908
S01434,2025-03,36786.3,3680
S00739,2025-02,38698.0,2352
S00739,2025-03,31540.3,1036
S01929,2025-02,39525.3,2488
S01929,2025-03,5665.1,2670
S01296,2025-02,21635.1,161
S01296,2025-03,2150.4,1244
S00412,2025-02,12332.8,3710
S00412,2025-03,1634.7,975
S01846,2025-02,5161.6,2540
S01846,2025-03,27114.7,2719
S00599,2025-02,13381.7,3059
S00599,2025-03,34877.1,3554
S00175,2025-02,28541.6,3587
S00175,2025-03,16910.2,3998
S00528,2025-02,6967.3,1265
S00528,2025-03,19570.3,2931
S00282,2025-02,24961.0,746
S00282,2025-03,17323.3,1007
S01868,2025-02,13516.0,2753
S01868,2025-03,6443.2,843
S01831,2025-02,23739.1,906
S01831,2025-03,21162.3,1695
S00426,2025-02,38907.5,1828
S00426,2025-03,29692.2,283
S00605,2025-02,32760.7,1171
S00605,2025-03,31441.1,172
S00409,2025-02,36626.4,1956
S00409,2025-03,5578.6,2801
S00794,2025-02,812.6,175
S00794,2025-03,21533.9,2694
S00716,2025-02,36843.1,252
S00716,2025-03,32473.0,2512
S01309,2025-02,37433.8,3181
S01309,2025-03,18658.2,190
S01586,2025-02,7588.0,390
S01586,2025-03,15333.1,1467
S00985,2025-02,35356.4,1427
S00985,2025-03,866.6,2613
S00414,2025-02,15654.0,3649
S00414,2025-03,18032.5,3384
S00321,2025-02,15908.2,3178
S00321,2025-03,19165.5,3632
S00280,2025-02,27700.3,3139
S00280,2025-03,2235.3,3511
S01306,2025-02,15532.6,3210
S01306,2025-03,29180.0,1880
S00200,2025-02,11686.7,273
S00200,2025-03,25655.3,985
S01304,2025-02,10986.8,2836
S01304,2025-03,21079.1,689
S00947,2025-02,35656.1,1517
S00947,2025-03,39138.4,1189
S01711,2025-02,25276.7,1764
S01711,2025-03,38888.8,2172
S00131,2025-02,39677.1,3001
S00131,2025-03,2070.2,2387
S00434,2025-02,11894.6,2701
S00434,2025-03,4372.4,2701
S00333,2025-02,11046.4,1359
S00333,2025-03,26764.1,2261
S01295,2025-02,22156.2,892
S01295,2025-03,23714.2,2444
S01777,2025-02,9643.0,1652
S01777,2025-03,27300.1,3320
S01700,2025-02,10216.1,1047
S01700,2025-03,37404.1,2579
S00686,2025-02,31579.8,851
S00686,2025-03,19979.0,1822
S01138,2025-02,16929.3,2324
S01138,2025-03,19398.0,815
S01543,2025-02,24498.9,916
S01543,2025-03,20916.1,2612
S00327,2025-02,37947.2,3058
S00327,2025-03,35587.3,776
S01712,2025-02,23774.4,1207
S01712,2025-03,6923.2,3931
S00334,2025-02,36913.1,3743
S00334,2025-03,5361.4,2175
S00719,2025-02,37291.2,2732
S00719,2025-03,20132.9,484
S01263,2025-02,20371.1,3737
S01263,2025-03,17063.3,3549
S01092,2025-02,11825.3,2536
S01092,2025-03,29163.6,2488
S00490,2025-02,3213.2,3751
S00490,2025-03,27941.7,541
S00382,2025-02,8686.9,376
S00382,2025-03,13344.6,3281
S00283,2025-02,3451.0,3965
S00283,2025-03,33024.4,795
S00940,2025-02,28212.1,1790
S00940,2025-03,30207.1,108
S01417,2025-02,7134.3,884
S01417,2025-03,14807.4,3847
S01797,2025-02,21182.3,1398
S01797,2025-03,6528.7,2597
S01898,2025-02,6086.4,1952
S01898,2025-03,24399.4,2088
S01301,2025-02,35659.0,3244
S01301,2025-03,17724.0,3300
S01441,2025-02,28246.5,2642
S01441,2025-03,38535.8,2521
S00709,2025-02,6944.2,1910
S00709,2025-03,36111.7,2398
S00566,2025-02,17195.4,2618
S00566,2025-03,39641.1,2011
S01214,2025-02,37952.8,3236
S01214,2025-03,15812.2,2551
S00165,2025-02,1569.6,57
S00165,2025-03,17840.0,3766
S00593,2025-02,26362.7,3123
S00593,2025-03,27058.3,1947
S01502,2025-02,10203.9,2555
S01502,2025-03,9301.3,2392
S00287,2025-02,1404.7,2433
S00287,2025-03,9502.8,3625
S00128,2025-02,7048.0,3986
S00128,2025-03,607.8,1461
S00541,2025-02,37244.5,3726
S00541,2025-03,18275.4,428
S00784,2025-02,14457.2,1960
S00784,2025-03,28726.9,1468
S00981,2025-02,5391.1,3362
S00981,2025-03,39122.2,379
S00760,2025-02,27772.7,2524
S00760,2025-03,1905.7,2520
S00863,2025-02,9091.7,2297
S00863,2025-03,27486.0,2764
S00751,2025-02,30609.9,395
S00751,2025-03,11552.4,1859
S01096,2025-02,3262.4,3710
S01096,2025-03,24091.4,3320
S00551,2025-02,22464.3,247
S00551,2025-03,22952.3,2186
S01192,2025-02,14717.6,3062
S01192,2025-03,2536.3,3030
S01894,2025-02,9175.0,1412
S01894,2025-03,29174.9,3912
S00271,2025-02,27295.1,1895
S00271,2025-03,7621.7,3396
S01743,2025-02,26300.9,1467
S01743,2025-03,26371.8,2612
S01056,2025-02,17903.0,3372
S01056,2025-03,18381.1,2780
S00644,2025-02,24514.3,736
S00644,2025-03,6862.3,3372
S00603,2025-02,28904.9,569
S00603,2025-03,24317.2,2338
S00474,2025-02,27355.9,1350
S00474,2025-03,21925.1,1361
S01127,2025-02,3036.8,788
S01127,2025-03,25158.8,2946
S01151,2025-02,12432.8,2439
S01151,2025-03,19322.5,1151
S01262,2025-02,23018.8,407
S01262,2025-03,7098.9,2005
S01185,2025-02,23286.5,2148
S01185,2025-03,27383.3,1971
S00262,2025-02,25096.7,2908
S00262,2025-03,2251.2,2217
S00184,2025-02,2439.5,1678
S00184,2025-03,11782.8,2135
S01111,2025-02,32456.2,248
S01111,2025-03,37511.7,1522
S01764,2025-02,36481.1,2966
S01764,2025-03,20440.5,2181
S00927,2025-02,31343.8,1677
S00927,2025-03,30642.7,602
S00604,2025-02,20982.9,3196
S00604,2025-03,33937.8,1860
S00134,2025-02,17630.9,1232
S00134,2025-03,11665.0,2927
S00329,2025-02,23193.0,508
S00329,2025-03,31602.8,1621
S01530,2025-02,33693.9,2999
S01530,2025-03,8139.1,2838
S01119,2025-02,37098.3,307
S01119,2025-03,6162.6,2596
S00683,2025-02,32202.0,3868
S00683,2025-03,26556.7,3142
S01403,2025-02,551.5,1334
S01403,2025-03,28557.2,265
S01718,2025-02,7708.9,2289
S01718,2025-03,30719.4,1403
S00405,2025-02,37686.8,1630
S00405,2025-03,26744.9,1069
S00341,2025-02,34423.5,480
S00341,2025-03,29528.6,3352
S01113,2025-02,11817.3,3193
S01113,2025-03,27400.0,229
S01732,2025-02,33855.5,3102
S01732,2025-03,16118.2,3686
S00765,2025-02,14238.7,2802
S00765,2025-03,6200.1,850
S00695,2025-02,21678.5,3696
S00695,2025-03,36055.8,3957
S01715,2025-02,4271.5,3104
S01715,2025-03,32032.8,562
S01568,2025-02,19084.8,2206
S01568,2025-03,20941.4,2038
S00219,2025-02,12204.0,62
S00219,2025-03,27999.5,562
S00147,2025-02,37760.0,1140
S00147,2025-03,28141.1,927
S00245,2025-02,25202.7,2214
S00245,2025-03,2654.9,3851
S01011,2025-02,20672.9,1913
S01011,2025-03,9514.8,586
S00692,2025-02,4979.0,2289
S00692,2025-03,23068.7,1681
S01967,2025-02,5951.6,3669
S01967,2025-03,7700.2,1247
S01888,2025-02,35504.4,1989
S01888,2025-03,6822.7,263
S01488,2025-02,31754.0,3508
S01488,2025-03,31115.7,1401
S01490,2025-02,36671.3,2642
S01490,2025-03,30501.1,1954
S01509,2025-02,13461.2,3204
S01509,2025-03,9214.5,3823
S01297,2025-02,595.2,2906
S01297,2025-03,18571.9,3741
S00052,2025-02,4672.5,312
S00052,2025-03,26860.3,1322
S01328,2025-02,34970.6,3078
S01328,2025-03,21420.6,3749
S00837,2025-02,37371.3,1090
S00837,2025-03,20809.1,1331
S01034,2025-02,21472.7,1329
S01034,2025-03,17915.0,2377
S01841,2025-02,17263.7,3260
S01841,2025-03,9562.6,3803
S00711,2025-02,6805.9,1113
S00711,2025-03,22403.2,566
S00190,2025-02,39112.5,3510
S00190,2025-03,33902.4,1962
S00440,2025-02,10962.4,3129
S00440,2025-03,36723.1,1386
S01140,2025-02,19038.0,1033
S01140,2025-03,23578.7,3317
S00505,2025-02,23938.2,652
S00505,2025-03,23559.6,1556
S01255,2025-02,34670.6,562
S01255,2025-03,11121.3,2616
S00276,2025-02,761.8,2844
S00276,2025-03,31147.8,483
S00446,2025-02,15137.8,3939
S00446,2025-03,12794.4,2947
S01090,2025-02,12011.7,1546
S01090,2025-03,35402.0,3504
S00173,2025-02,2152.4,3306
S00173,2025-03,21182.7,1120
S00473,2025-02,6253.2,1220
S00473,2025-03,3558.9,1947
S01690,2025-02,8875.5,1243
S01690,2025-03,3531.8,970
S01681,2025-02,32145.0,2840
S01681,2025-03,36474.0,300
S01767,2025-02,27032.6,3024
S01767,2025-03,11844.5,2168
S00573,2025-02,23287.0,209
S00573,2025-03,21374.6,1377
S01453,2025-02,4786.7,825
S01453,2025-03,16496.8,1665
S00557,2025-02,15199.3,1539
S00557,2025-03,2641.1,527
S00501,2025-02,30534.8,658
S00501,2025-03,16833.0,1155
S01075,2025-02,8313.3,2828
S01075,2025-03,38325.7,1754
S00965,2025-02,17580.8,697
S00965,2025-03,10176.4,2016
S00679,2025-02,26946.4,248
S00679,2025-03,3346.7,1231
S00141,2025-02,21008.9,468
S00141,2025-03,20580.3,2728
S00448,2025-02,30336.8,3338
S00448,2025-03,18496.5,3835
S01729,2025-02,16407.8,79
S01729,2025-03,28139.1,1670
S01022,2025-02,11208.4,2569
S01022,2025-03,596.7,1415
S01940,2025-02,1069.1,199
S01940,2025-03,33426.1,1615
S00182,2025-02,9476.8,3969
S00182,2025-03,24573.7,3390
S01458,2025-02,35498.9,3019
S01458,2025-03,2826.4,3934
S00592,2025-02,24292.4,1128
S00592,2025-03,38015.8,1501
