credit_note_id,customer_id,amount_usd,issued
CN00080,C01006,9.58,2025-03-18
CN00081,C01067,19.61,2025-03-02
CN00082,C01311,21.58,2025-03-14
CN00083,C02574,7.16,2025-03-10
CN00084,C02999,27.76,2025-03-25
CN00085,C01170,17.39,2025-03-04
CN00086,C02223,19.33,2025-03-11
CN00087,C01913,29.29,2025-03-05
CN00088,C02069,14.77,2025-03-14
CN00089,C01897,2.60,2025-03-14
CN00090,C01041,5.54,2025-03-03
CN00091,C01659,19.29,2025-03-23
CN00092,C01491,12.13,2025-03-03
CN00093,C01396,10.06,2025-03-08
CN00094,C02721,3.55,2025-03-02
CN00095,C01894,6.39,2025-03-05
CN00096,C01251,19.91,2025-03-25
CN00097,C01844,24.40,2025-03-11
CN00098,C01559,1.82,2025-03-27
CN00099,C01428,14.55,2025-03-04
CN00100,C01528,14.23,2025-03-15
CN00101,C02749,14.50,2025-03-02
CN00102,C01444,27.45,2025-03-25
CN00103,C01086,6.32,2025-03-08
CN00104,C01684,8.65,2025-03-06
CN00105,C02402,24.56,2025-03-13
CN00106,C02639,6.20,2025-03-02
CN00107,C01718,15.86,2025-03-11
CN00108,C01081,13.19,2025-03-07
CN00109,C01514,23.46,2025-03-26
CN00110,C02792,13.43,2025-03-21
CN00111,C02545,13.37,2025-03-23
CN00112,C02655,19.16,2025-03-20
CN00113,C02209,2.56,2025-03-22
CN00114,C01929,17.63,2025-03-24
CN00115,C02938,4.94,2025-03-15
CN00116,C02761,10.95,2025-03-07
CN00117,C01188,24.15,2025-03-26
CN00118,C02105,4.68,2025-03-20
CN00119,C01725,18.90,2025-03-24
CN00120,C01503,7.94,2025-03-17
CN00121,C01295,1.87,2025-03-26
CN00122,C01693,5.03,2025-03-02
CN00123,C01161,20.55,2025-03-19
CN00124,C02243,22.28,2025-03-06
CN00125,C01710,16.37,2025-03-15
CN00126,C01631,12.34,2025-03-27
CN00127,C02368,17.46,2025-03-14
CN00128,C01748,7.10,2025-03-23
CN00129,C02661,2.96,2025-03-28
CN00130,C02267,14.14,2025-03-13
CN00131,C02915,21.44,2025-03-15
CN00132,C01376,26.31,2025-03-16
CN00133,C01838,12.45,2025-03-23
CN00134,C02250,4.25,2025-03-11
CN00135,C01159,5.34,2025-03-18
CN00136,C02211,9.29,2025-03-08
CN00137,C01068,27.59,2025-03-08
CN00138,C02412,24.71,2025-03-15
CN00139,C01352,7.17,2025-03-24
CN00140,C02113,20.88,2025-03-12
CN00141,C01038,10.60,2025-03-20
CN00142,C01208,28.19,2025-03-21
CN00143,C02054,28.53,2025-03-18
CN00144,C02618,9.37,2025-03-01
CN00145,C01651,6.07,2025-03-27
CN00146,C01029,16.30,2025-03-01
CN00147,C01730,1.67,2025-03-13
CN00148,C01886,7.00,2025-03-21
CN00149,C02061,22.31,2025-03-23
CN00150,C01813,7.57,2025-03-05
