subscription_id,customer_id,plan_id,status,cycle_start,cycle_end
S00069,C01069,P4,ACTIVE,2025-03-01,2025-03-31
S00070,C01070,P1,ACTIVE,2025-03-01,2025-03-31
S00071,C01071,P1,SUSPENDED,2025-03-01,2025-03-31
S00072,C01072,P1,CANCELLED,2025-03-01,2025-03-31
S00073,C01073,P1,ACTIVE,2025-03-01,2025-03-31
S00074,C01074,P3,ACTIVE,2025-03-01,2025-03-31
S00075,C01075,P1,ACTIVE,2025-03-01,2025-03-31
S00076,C01076,P1,ACTIVE,2025-03-01,2025-03-31
S00077,C01077,P3,ACTIVE,2025-03-01,2025-03-31
S00078,C01078,P1,ACTIVE,2025-03-01,2025-03-31
S00079,C01079,P3,CANCELLED,2025-03-01,2025-03-31
S00080,C01080,P3,ACTIVE,2025-03-01,2025-03-31
S00081,C01081,P4,ACTIVE,2025-03-01,2025-03-31
S00082,C01082,P1,ACTIVE,2025-03-01,2025-03-31
S00083,C01083,P4,ACTIVE,2025-03-01,2025-03-31
S00084,C01084,P2,ACTIVE,2025-03-01,2025-03-31
S00085,C01085,P2,ACTIVE,2025-03-01,2025-03-31
S00086,C01086,P1,ACTIVE,2025-03-01,2025-03-31
S00087,C01087,P1,ACTIVE,2025-03-01,2025-03-31
S00088,C01088,P2,ACTIVE,2025-03-01,2025-03-31
S00089,C01089,P2,ACTIVE,2025-03-01,2025-03-31
S00090,C01090,P2,SUSPENDED,2025-03-01,2025-03-31
S00091,C01091,P1,ACTIVE,2025-03-01,2025-03-31
S00092,C01092,P3,ACTIVE,2025-03-01,2025-03-31
S00093,C01093,P1,ACTIVE,2025-03-01,2025-03-31
S00094,C01094,P3,ACTIVE,2025-03-01,2025-03-31
S00095,C01095,P1,ACTIVE,2025-03-01,2025-03-31
S00096,C01096,P4,ACTIVE,2025-03-01,2025-03-31
S00097,C01097,P1,ACTIVE,2025-03-01,2025-03-31
S00098,C01098,P3,ACTIVE,2025-03-01,2025-03-31
S00099,C01099,P1,ACTIVE,2025-03-01,2025-03-31
S00100,C01100,P1,ACTIVE,2025-03-01,2025-03-31
S00101,C01101,P1,ACTIVE,2025-03-01,2025-03-31
S00102,C01102,P1,CANCELLED,2025-03-01,2025-03-31
S00103,C01103,P2,SUSPENDED,2025-03-01,2025-03-31
S00104,C01104,P2,ACTIVE,2025-03-01,2025-03-31
S00105,C01105,P1,ACTIVE,2025-03-01,2025-03-31
S00106,C01106,P3,ACTIVE,2025-03-01,2025-03-31
S00107,C01107,P1,ACTIVE,2025-03-01,2025-03-31
S00108,C01108,P2,ACTIVE,2025-03-01,2025-03-31
S00109,C01109,P2,ACTIVE,2025-03-01,2025-03-31
S00110,C01110,P2,ACTIVE,2025-03-01,2025-03-31
S00111,C01111,P2,ACTIVE,2025-03-01,2025-03-31
S00112,C01112,P1,ACTIVE,2025-03-01,2025-03-31
S00113,C01113,P1,ACTIVE,2025-03-01,2025-03-31
S00114,C01114,P3,ACTIVE,2025-03-01,2025-03-31
S00115,C01115,P2,SUSPENDED,2025-03-01,2025-03-31
S00116,C01116,P4,ACTIVE,2025-03-01,2025-03-31
S00117,C01117,P2,ACTIVE,2025-03-01,2025-03-31
S00118,C01118,P1,ACTIVE,2025-03-01,2025-03-31
S00119,C01119,P3,SUSPENDED,2025-03-01,2025-03-31
S00120,C01120,P3,SUSPENDED,2025-03-01,2025-03-31
S00121,C01121,P2,ACTIVE,2025-03-01,2025-03-31
S00122,C01122,P3,ACTIVE,2025-03-01,2025-03-31
S00123,C01123,P1,SUSPENDED,2025-03-01,2025-03-31
S00124,C01124,P1,SUSPENDED,2025-03-01,2025-03-31
S00125,C01125,P4,ACTIVE,2025-03-01,2025-03-31
S00126,C01126,P1,ACTIVE,2025-03-01,2025-03-31
S00127,C01127,P1,ACTIVE,2025-03-01,2025-03-31
S00128,C01128,P2,ACTIVE,2025-03-01,2025-03-31
S00129,C01129,P3,ACTIVE,2025-03-01,2025-03-31
S00130,C01130,P1,ACTIVE,2025-03-01,2025-03-31
S00131,C01131,P1,SUSPENDED,2025-03-01,2025-03-31
S00132,C01132,P2,ACTIVE,2025-03-01,2025-03-31
S00133,C01133,P1,ACTIVE,2025-03-01,2025-03-31
S00134,C01134,P4,ACTIVE,2025-03-01,2025-03-31
S00135,C01135,P1,SUSPENDED,2025-03-01,2025-03-31
S00136,C01136,P3,ACTIVE,2025-03-01,2025-03-31
S00137,C01137,P1,ACTIVE,2025-03-01,2025-03-31
S00138,C01138,P2,ACTIVE,2025-03-01,2025-03-31
S00139,C01139,P3,ACTIVE,2025-03-01,2025-03-31
S00140,C01140,P2,CANCELLED,2025-03-01,2025-03-31
S00141,C01141,P2,ACTIVE,2025-03-01,2025-03-31
S00142,C01142,P1,ACTIVE,2025-03-01,2025-03-31
S00143,C01143,P3,ACTIVE,2025-03-01,2025-03-31
S00144,C01144,P1,CANCELLED,2025-03-01,2025-03-31
S00145,C01145,P2,ACTIVE,2025-03-01,2025-03-31
S00146,C01146,P2,ACTIVE,2025-03-01,2025-03-31
S00147,C01147,P2,ACTIVE,2025-03-01,2025-03-31
S00148,C01148,P1,ACTIVE,2025-03-01,2025-03-31
S00149,C01149,P1,ACTIVE,2025-03-01,2025-03-31
S00150,C01150,P1,ACTIVE,2025-03-01,2025-03-31
S00151,C01151,P1,ACTIVE,2025-03-01,2025-03-31
S00152,C01152,P4,SUSPENDED,2025-03-01,2025-03-31
S00153,C01153,P2,ACTIVE,2025-03-01,2025-03-31
S00154,C01154,P1,CANCELLED,2025-03-01,2025-03-31
S00155,C01155,P2,ACTIVE,2025-03-01,2025-03-31
S00156,C01156,P1,ACTIVE,2025-03-01,2025-03-31
S00157,C01157,P3,ACTIVE,2025-03-01,2025-03-31
S00158,C01158,P1,ACTIVE,2025-03-01,2025-03-31
S00159,C01159,P1,ACTIVE,2025-03-01,2025-03-31
S00160,C01160,P2,ACTIVE,2025-03-01,2025-03-31
S00161,C01161,P1,ACTIVE,2025-03-01,2025-03-31
S00162,C01162,P2,ACTIVE,2025-03-01,2025-03-31
S00163,C01163,P3,ACTIVE,2025-03-01,2025-03-31
S00164,C01164,P2,ACTIVE,2025-03-01,2025-03-31
S00165,C01165,P3,ACTIVE,2025-03-01,2025-03-31
S00166,C01166,P1,ACTIVE,2025-03-01,2025-03-31
S00167,C01167,P1,CANCELLED,2025-03-01,2025-03-31
S00168,C01168,P4,ACTIVE,2025-03-01,2025-03-31
S00169,C01169,P1,SUSPENDED,2025-03-01,2025-03-31
S00170,C01170,P2,ACTIVE,2025-03-01,2025-03-31
S00171,C01171,P1,ACTIVE,2025-03-01,2025-03-31
S00172,C01172,P2,ACTIVE,2025-03-01,2025-03-31
S00173,C01173,P3,SUSPENDED,2025-03-01,2025-03-31
S00174,C01174,P4,ACTIVE,2025-03-01,2025-03-31
S00175,C01175,P2,ACTIVE,2025-03-01,2025-03-31
S00176,C01176,P3,ACTIVE,2025-03-01,2025-03-31
S00177,C01177,P2,ACTIVE,2025-03-01,2025-03-31
S00178,C01178,P1,ACTIVE,2025-03-01,2025-03-31
S00179,C01179,P1,ACTIVE,2025-03-01,2025-03-31
S00180,C01180,P3,ACTIVE,2025-03-01,2025-03-31
S00181,C01181,P2,ACTIVE,2025-03-01,2025-03-31
S00182,C01182,P2,ACTIVE,2025-03-01,2025-03-31
S00183,C01183,P2,ACTIVE,2025-03-01,2025-03-31
S00184,C01184,P2,ACTIVE,2025-03-01,2025-03-31
S00185,C01185,P2,ACTIVE,2025-03-01,2025-03-31
S00186,C01186,P2,ACTIVE,2025-03-01,2025-03-31
S00187,C01187,P1,ACTIVE,2025-03-01,2025-03-31
S00188,C01188,P2,ACTIVE,2025-03-01,2025-03-31
S00189,C01189,P3,ACTIVE,2025-03-01,2025-03-31
S00190,C01190,P1,SUSPENDED,2025-03-01,2025-03-31
S00191,C01191,P3,CANCELLED,2025-03-01,2025-03-31
S00192,C01192,P1,ACTIVE,2025-03-01,2025-03-31
S00193,C01193,P2,ACTIVE,2025-03-01,2025-03-31
S00194,C01194,P2,SUSPENDED,2025-03-01,2025-03-31
S00195,C01195,P2,ACTIVE,2025-03-01,2025-03-31
S00196,C01196,P3,SUSPENDED,2025-03-01,2025-03-31
S00197,C01197,P1,ACTIVE,2025-03-01,2025-03-31
S00198,C01198,P1,SUSPENDED,2025-03-01,2025-03-31
S00199,C01199,P2,ACTIVE,2025-03-01,2025-03-31
S00200,C01200,P4,ACTIVE,2025-03-01,2025-03-31
S00201,C01201,P3,SUSPENDED,2025-03-01,2025-03-31
S00202,C01202,P2,CANCELLED,2025-03-01,2025-03-31
S00203,C01203,P2,ACTIVE,2025-03-01,2025-03-31
S00204,C01204,P1,ACTIVE,2025-03-01,2025-03-31
S00205,C01205,P1,ACTIVE,2025-03-01,2025-03-31
S00206,C01206,P2,ACTIVE,2025-03-01,2025-03-31
S00207,C01207,P1,ACTIVE,2025-03-01,2025-03-31
S00208,C01208,P1,CANCELLED,2025-03-01,2025-03-31
S00209,C01209,P1,ACTIVE,2025-03-01,2025-03-31
S00210,C01210,P2,ACTIVE,2025-03-01,2025-03-31
S00211,C01211,P4,ACTIVE,2025-03-01,2025-03-31
S00212,C01212,P3,ACTIVE,2025-03-01,2025-03-31
S00213,C01213,P4,ACTIVE,2025-03-01,2025-03-31
S00214,C01214,P2,ACTIVE,2025-03-01,2025-03-31
S00215,C01215,P2,ACTIVE,2025-03-01,2025-03-31
S00216,C01216,P2,ACTIVE,2025-03-01,2025-03-31
S00217,C01217,P4,ACTIVE,2025-03-01,2025-03-31
S00218,C01218,P2,ACTIVE,2025-03-01,2025-03-31
S00219,C01219,P1,ACTIVE,2025-03-01,2025-03-31
S00220,C01220,P2,ACTIVE,2025-03-01,2025-03-31
S00221,C01221,P3,ACTIVE,2025-03-01,2025-03-31
S00222,C01222,P2,ACTIVE,2025-03-01,2025-03-31
S00223,C01223,P2,ACTIVE,2025-03-01,2025-03-31
S00224,C01224,P4,SUSPENDED,2025-03-01,2025-03-31
S00225,C01225,P3,ACTIVE,2025-03-01,2025-03-31
S00226,C01226,P4,ACTIVE,2025-03-01,2025-03-31
S00227,C01227,P1,CANCELLED,2025-03-01,2025-03-31
S00228,C01228,P2,ACTIVE,2025-03-01,2025-03-31
S00229,C01229,P3,ACTIVE,2025-03-01,2025-03-31
S00230,C01230,P4,ACTIVE,2025-03-01,2025-03-31
S00231,C01231,P2,ACTIVE,2025-03-01,2025-03-31
S00232,C01232,P3,ACTIVE,2025-03-01,2025-03-31
S00233,C01233,P1,ACTIVE,2025-03-01,2025-03-31
S00234,C01234,P1,ACTIVE,2025-03-01,2025-03-31
S00235,C01235,P1,ACTIVE,2025-03-01,2025-03-31
S00236,C01236,P1,SUSPENDED,2025-03-01,2025-03-31
S00237,C01237,P4,ACTIVE,2025-03-01,2025-03-31
S00238,C01238,P1,ACTIVE,2025-03-01,2025-03-31
S00239,C01239,P1,ACTIVE,2025-03-01,2025-03-31
S00240,C01240,P1,SUSPENDED,2025-03-01,2025-03-31
S00241,C01241,P1,ACTIVE,2025-03-01,2025-03-31
S00242,C01242,P3,ACTIVE,2025-03-01,2025-03-31
S00243,C01243,P2,ACTIVE,2025-03-01,2025-03-31
S00244,C01244,P2,ACTIVE,2025-03-01,2025-03-31
S00245,C01245,P2,ACTIVE,2025-03-01,2025-03-31
S00246,C01246,P1,ACTIVE,2025-03-01,2025-03-31
S00247,C01247,P2,ACTIVE,2025-03-01,2025-03-31
S00248,C01248,P4,ACTIVE,2025-03-01,2025-03-31
S00249,C01249,P2,ACTIVE,2025-03-01,2025-03-31
S00250,C01250,P3,ACTIVE,2025-03-01,2025-03-31
S00251,C01251,P1,ACTIVE,2025-03-01,2025-03-31
S00252,C01252,P2,CANCELLED,2025-03-01,2025-03-31
S00253,C01253,P2,ACTIVE,2025-03-01,2025-03-31
S00254,C01254,P2,SUSPENDED,2025-03-01,2025-03-31
S00255,C01255,P1,ACTIVE,2025-03-01,2025-03-31
S00256,C01256,P2,ACTIVE,2025-03-01,2025-03-31
S00257,C01257,P1,ACTIVE,2025-03-01,2025-03-31
S00258,C01258,P2,ACTIVE,2025-03-01,2025-03-31
S00259,C01259,P2,ACTIVE,2025-03-01,2025-03-31
S00260,C01260,P1,ACTIVE,2025-03-01,2025-03-31
S00261,C01261,P1,SUSPENDED,2025-03-01,2025-03-31
S00262,C01262,P2,ACTIVE,2025-03-01,2025-03-31
S00263,C01263,P3,ACTIVE,2025-03-01,2025-03-31
S00264,C01264,P3,ACTIVE,2025-03-01,2025-03-31
S00265,C01265,P1,ACTIVE,2025-03-01,2025-03-31
S00266,C01266,P3,ACTIVE,2025-03-01,2025-03-31
S00267,C01267,P1,ACTIVE,2025-03-01,2025-03-31
S00268,C01268,P2,ACTIVE,2025-03-01,2025-03-31
S00269,C01269,P1,ACTIVE,2025-03-01,2025-03-31
S00270,C01270,P3,ACTIVE,2025-03-01,2025-03-31
S00271,C01271,P2,SUSPENDED,2025-03-01,2025-03-31
S00272,C01272,P2,ACTIVE,2025-03-01,2025-03-31
S00273,C01273,P3,CANCELLED,2025-03-01,2025-03-31
S00274,C01274,P3,ACTIVE,2025-03-01,2025-03-31
S00275,C01275,P1,ACTIVE,2025-03-01,2025-03-31
S00276,C01276,P2,ACTIVE,2025-03-01,2025-03-31
S00277,C01277,P1,ACTIVE,2025-03-01,2025-03-31
S00278,C01278,P1,ACTIVE,2025-03-01,2025-03-31
S00279,C01279,P4,ACTIVE,2025-03-01,2025-03-31
S00280,C01280,P3,ACTIVE,2025-03-01,2025-03-31
S00281,C01281,P1,ACTIVE,2025-03-01,2025-03-31
S00282,C01282,P2,ACTIVE,2025-03-01,2025-03-31
S00283,C01283,P1,ACTIVE,2025-03-01,2025-03-31
S00284,C01284,P1,ACTIVE,2025-03-01,2025-03-31
S00285,C01285,P1,SUSPENDED,2025-03-01,2025-03-31
S00286,C01286,P2,ACTIVE,2025-03-01,2025-03-31
S00287,C01287,P2,ACTIVE,2025-03-01,2025-03-31
S00288,C01288,P1,SUSPENDED,2025-03-01,2025-03-31
S00289,C01289,P3,ACTIVE,2025-03-01,2025-03-31
S00290,C01290,P2,ACTIVE,2025-03-01,2025-03-31
S00291,C01291,P2,ACTIVE,2025-03-01,2025-03-31
S00292,C01292,P2,ACTIVE,2025-03-01,2025-03-31
S00293,C01293,P2,ACTIVE,2025-03-01,2025-03-31
S00294,C01294,P2,ACTIVE,2025-03-01,2025-03-31
S00295,C01295,P1,ACTIVE,2025-03-01,2025-03-31
S00296,C01296,P3,ACTIVE,2025-03-01,2025-03-31
S00297,C01297,P1,ACTIVE,2025-03-01,2025-03-31
S00298,C01298,P3,ACTIVE,2025-03-01,2025-03-31
S00299,C01299,P1,ACTIVE,2025-03-01,2025-03-31
S00300,C01300,P2,ACTIVE,2025-03-01,2025-03-31
S00301,C01301,P4,ACTIVE,2025-03-01,2025-03-31
S00302,C01302,P1,CANCELLED,2025-03-01,2025-03-31
S00303,C01303,P2,CANCELLED,2025-03-01,2025-03-31
S00304,C01304,P4,ACTIVE,2025-03-01,2025-03-31
S00305,C01305,P2,ACTIVE,2025-03-01,2025-03-31
S00306,C01306,P1,ACTIVE,2025-03-01,2025-03-31
S00307,C01307,P2,ACTIVE,2025-03-01,2025-03-31
S00308,C01308,P1,ACTIVE,2025-03-01,2025-03-31
S00309,C01309,P3,SUSPENDED,2025-03-01,2025-03-31
S00310,C01310,P2,ACTIVE,2025-03-01,2025-03-31
S00311,C01311,P2,CANCELLED,2025-03-01,2025-03-31
S00312,C01312,P1,ACTIVE,2025-03-01,2025-03-31
S00313,C01313,P1,ACTIVE,2025-03-01,2025-03-31
S00314,C01314,P3,ACTIVE,2025-03-01,2025-03-31
S00315,C01315,P1,ACTIVE,2025-03-01,2025-03-31
S00316,C01316,P1,ACTIVE,2025-03-01,2025-03-31
S00317,C01317,P3,ACTIVE,2025-03-01,2025-03-31
S00318,C01318,P2,ACTIVE,2025-03-01,2025-03-31
S00319,C01319,P3,SUSPENDED,2025-03-01,2025-03-31
S00320,C01320,P1,ACTIVE,2025-03-01,2025-03-31
S00321,C01321,P2,ACTIVE,2025-03-01,2025-03-31
S00322,C01322,P3,ACTIVE,2025-03-01,2025-03-31
S00323,C01323,P1,ACTIVE,2025-03-01,2025-03-31
S00324,C01324,P2,ACTIVE,2025-03-01,2025-03-31
S00325,C01325,P2,ACTIVE,2025-03-01,2025-03-31
S00326,C01326,P1,ACTIVE,2025-03-01,2025-03-31
S00327,C01327,P2,ACTIVE,2025-03-01,2025-03-31
S00328,C01328,P1,ACTIVE,2025-03-01,2025-03-31
S00329,C01329,P1,ACTIVE,2025-03-01,2025-03-31
S00330,C01330,P3,ACTIVE,2025-03-01,2025-03-31
S00331,C01331,P2,ACTIVE,2025-03-01,2025-03-31
S00332,C01332,P1,ACTIVE,2025-03-01,2025-03-31
S00333,C01333,P1,ACTIVE,2025-03-01,2025-03-31
S00334,C01334,P2,ACTIVE,2025-03-01,2025-03-31
S00335,C01335,P1,CANCELLED,2025-03-01,2025-03-31
S00336,C01336,P4,ACTIVE,2025-03-01,2025-03-31
S00337,C01337,P2,CANCELLED,2025-03-01,2025-03-31
S00338,C01338,P3,ACTIVE,2025-03-01,2025-03-31
S00339,C01339,P1,ACTIVE,2025-03-01,2025-03-31
S00340,C01340,P3,SUSPENDED,2025-03-01,2025-03-31
S00341,C01341,P2,ACTIVE,2025-03-01,2025-03-31
S00342,C01342,P1,ACTIVE,2025-03-01,2025-03-31
S00343,C01343,P2,SUSPENDED,2025-03-01,2025-03-31
S00344,C01344,P3,ACTIVE,2025-03-01,2025-03-31
S00345,C01345,P4,ACTIVE,2025-03-01,2025-03-31
S00346,C01346,P1,SUSPENDED,2025-03-01,2025-03-31
S00347,C01347,P1,ACTIVE,2025-03-01,2025-03-31
S00348,C01348,P1,ACTIVE,2025-03-01,2025-03-31
S00349,C01349,P4,ACTIVE,2025-03-01,2025-03-31
S00350,C01350,P4,ACTIVE,2025-03-01,2025-03-31
S00351,C01351,P4,ACTIVE,2025-03-01,2025-03-31
S00352,C01352,P1,ACTIVE,2025-03-01,2025-03-31
S00353,C01353,P2,ACTIVE,2025-03-01,2025-03-31
S00354,C01354,P1,ACTIVE,2025-03-01,2025-03-31
S00355,C01355,P1,ACTIVE,2025-03-01,2025-03-31
S00356,C01356,P2,ACTIVE,2025-03-01,2025-03-31
S00357,C01357,P1,ACTIVE,2025-03-01,2025-03-31
S00358,C01358,P2,ACTIVE,2025-03-01,2025-03-31
S00359,C01359,P1,ACTIVE,2025-03-01,2025-03-31
S00360,C01360,P1,ACTIVE,2025-03-01,2025-03-31
S00361,C01361,P3,ACTIVE,2025-03-01,2025-03-31
S00362,C01362,P1,ACTIVE,2025-03-01,2025-03-31
S00363,C01363,P2,ACTIVE,2025-03-01,2025-03-31
S00364,C01364,P1,ACTIVE,2025-03-01,2025-03-31
S00365,C01365,P1,ACTIVE,2025-03-01,2025-03-31
S00366,C01366,P2,ACTIVE,2025-03-01,2025-03-31
S00367,C01367,P1,ACTIVE,2025-03-01,2025-03-31
S00368,C01368,P3,ACTIVE,2025-03-01,2025-03-31
S00369,C01369,P3,ACTIVE,2025-03-01,2025-03-31
S00370,C01370,P1,ACTIVE,2025-03-01,2025-03-31
S00371,C01371,P1,ACTIVE,2025-03-01,2025-03-31
S00372,C01372,P3,ACTIVE,2025-03-01,2025-03-31
S00373,C01373,P1,CANCELLED,2025-03-01,2025-03-31
S00374,C01374,P1,ACTIVE,2025-03-01,2025-03-31
S00375,C01375,P3,ACTIVE,2025-03-01,2025-03-31
S00376,C01376,P2,ACTIVE,2025-03-01,2025-03-31
S00377,C01377,P2,CANCELLED,2025-03-01,2025-03-31
S00378,C01378,P2,ACTIVE,2025-03-01,2025-03-31
S00379,C01379,P1,ACTIVE,2025-03-01,2025-03-31
S00380,C01380,P1,ACTIVE,2025-03-01,2025-03-31
S00381,C01381,P2,ACTIVE,2025-03-01,2025-03-31
S00382,C01382,P1,ACTIVE,2025-03-01,2025-03-31
S00383,C01383,P2,ACTIVE,2025-03-01,2025-03-31
S00384,C01384,P2,ACTIVE,2025-03-01,2025-03-31
S00385,C01385,P2,ACTIVE,2025-03-01,2025-03-31
S00386,C01386,P3,ACTIVE,2025-03-01,2025-03-31
S00387,C01387,P4,CANCELLED,2025-03-01,2025-03-31
S00388,C01388,P2,ACTIVE,2025-03-01,2025-03-31
S00389,C01389,P1,ACTIVE,2025-03-01,2025-03-31
S00390,C01390,P2,ACTIVE,2025-03-01,2025-03-31
S00391,C01391,P1,ACTIVE,2025-03-01,2025-03-31
S00392,C01392,P3,ACTIVE,2025-03-01,2025-03-31
S00393,C01393,P2,ACTIVE,2025-03-01,2025-03-31
S00394,C01394,P1,ACTIVE,2025-03-01,2025-03-31
S00395,C01395,P2,ACTIVE,2025-03-01,2025-03-31
S00396,C01396,P1,ACTIVE,2025-03-01,2025-03-31
S00397,C01397,P4,ACTIVE,2025-03-01,2025-03-31
S00398,C01398,P3,CANCELLED,2025-03-01,2025-03-31
S00399,C01399,P4,ACTIVE,2025-03-01,2025-03-31
S00400,C01400,P3,ACTIVE,2025-03-01,2025-03-31
S00401,C01401,P1,ACTIVE,2025-03-01,2025-03-31
S00402,C01402,P1,ACTIVE,2025-03-01,2025-03-31
S00403,C01403,P2,ACTIVE,2025-03-01,2025-03-31
S00404,C01404,P4,CANCELLED,2025-03-01,2025-03-31
S00405,C01405,P2,ACTIVE,2025-03-01,2025-03-31
S00406,C01406,P3,ACTIVE,2025-03-01,2025-03-31
S00407,C01407,P2,ACTIVE,2025-03-01,2025-03-31
S00408,C01408,P1,ACTIVE,2025-03-01,2025-03-31
S00409,C01409,P1,ACTIVE,2025-03-01,2025-03-31
S00410,C01410,P1,ACTIVE,2025-03-01,2025-03-31
S00411,C01411,P1,ACTIVE,2025-03-01,2025-03-31
S00412,C01412,P1,ACTIVE,2025-03-01,2025-03-31
S00413,C01413,P2,ACTIVE,2025-03-01,2025-03-31
S00414,C01414,P3,ACTIVE,2025-03-01,2025-03-31
S00415,C01415,P2,ACTIVE,2025-03-01,2025-03-31
S00416,C01416,P1,ACTIVE,2025-03-01,2025-03-31
S00417,C01417,P1,CANCELLED,2025-03-01,2025-03-31
S00418,C01418,P1,ACTIVE,2025-03-01,2025-03-31
S00419,C01419,P3,ACTIVE,2025-03-01,2025-03-31
S00420,C01420,P1,ACTIVE,2025-03-01,2025-03-31
S00421,C01421,P1,ACTIVE,2025-03-01,2025-03-31
S00422,C01422,P1,ACTIVE,2025-03-01,2025-03-31
S00423,C01423,P1,ACTIVE,2025-03-01,2025-03-31
S00424,C01424,P2,ACTIVE,2025-03-01,2025-03-31
S00425,C01425,P1,ACTIVE,2025-03-01,2025-03-31
S00426,C01426,P1,ACTIVE,2025-03-01,2025-03-31
S00427,C01427,P1,ACTIVE,2025-03-01,2025-03-31
S00428,C01428,P4,ACTIVE,2025-03-01,2025-03-31
S00429,C01429,P3,ACTIVE,2025-03-01,2025-03-31
S00430,C01430,P1,CANCELLED,2025-03-01,2025-03-31
S00431,C01431,P1,ACTIVE,2025-03-01,2025-03-31
S00432,C01432,P3,ACTIVE,2025-03-01,2025-03-31
S00433,C01433,P4,ACTIVE,2025-03-01,2025-03-31
S00434,C01434,P3,ACTIVE,2025-03-01,2025-03-31
