subscription_id,corrected_status,correction_date
S00629,ACTIVE,2025-04-08
S01096,CANCELLED,2025-03-31
S01000,CANCELLED,2025-03-09
S01885,ACTIVE,2025-04-26
S00656,CANCELLED,2025-04-05
S01751,ACTIVE,2025-01-06
S00045,CANCELLED,2025-03-11
S00865,ACTIVE,2025-01-19
S00121,CANCELLED,2025-04-23
S00555,CANCELLED,2025-04-21
S00146,CANCELLED,2025-03-18
S00311,ACTIVE,2025-03-14
S00417,ACTIVE,2025-01-08
S01549,CANCELLED,2025-04-15
S01705,ACTIVE,2025-02-01
S00099,CANCELLED,2025-04-18
S01403,CANCELLED,2025-04-16
S01113,CANCELLED,2025-04-06
S01165,CANCELLED,2025-03-14
S01850,CANCELLED,2025-04-22
S00194,ACTIVE,2025-03-14
S01909,ACTIVE,2025-01-06
S00795,ACTIVE,2025-03-13
S00890,CANCELLED,2025-03-16
S00372,CANCELLED,2025-04-14
S00739,ACTIVE,2025-03-04
S01979,CANCELLED,2025-03-27
S00222,CANCELLED,2025-04-28
S00794,CANCELLED,2025-03-10
S01820,CANCELLED,2025-03-18
S01368,CANCELLED,2025-04-28
S01214,CANCELLED,2025-03-11
S01494,CANCELLED,2025-03-18
S00232,CANCELLED,2025-03-18
S01296,CANCELLED,2025-03-21
S00708,ACTIVE,2025-02-14
S01701,ACTIVE,2025-03-03
S00929,ACTIVE,2025-03-24
S01473,CANCELLED,2025-04-03
S00273,ACTIVE,2025-04-25
S00745,ACTIVE,2025-01-21
S01988,CANCELLED,2025-04-15
S00191,ACTIVE,2025-03-21
S01600,ACTIVE,2025-02-08
S00091,CANCELLED,2025-03-27
S01874,ACTIVE,2025-01-07
S00447,CANCELLED,2025-04-25
S01039,CANCELLED,2025-04-19
S00956,CANCELLED,2025-04-23
S00470,CANCELLED,2025-04-14
S00051,CANCELLED,2025-04-14
S00813,CANCELLED,2025-03-13
S00608,CANCELLED,2025-04-13
S00103,ACTIVE,2025-03-11
S00167,ACTIVE,2025-02-11
S01133,CANCELLED,2025-03-14
S00325,CANCELLED,2025-04-15
S01267,CANCELLED,2025-04-23
S01811,CANCELLED,2025-03-04
S01680,CANCELLED,2025-04-22
S01940,ACTIVE,2025-02-12
S00421,CANCELLED,2025-04-14
S01908,ACTIVE,2025-04-15
S00383,CANCELLED,2025-04-28
S01128,CANCELLED,2025-03-03
S00897,ACTIVE,2025-01-07
S00528,CANCELLED,2025-04-23
S00321,CANCELLED,2025-04-25
S00476,CANCELLED,2025-04-03
S01991,CANCELLED,2025-04-08
S01732,ACTIVE,2025-02-07
S00990,ACTIVE,2025-01-26
S00790,CANCELLED,2025-03-16
S01007,CANCELLED,2025-03-15
S00144,ACTIVE,2025-01-17
S01842,ACTIVE,2025-03-21
S01936,CANCELLED,2025-04-03
S00198,ACTIVE,2025-03-28
S00075,CANCELLED,2025-04-06
S01203,CANCELLED,2025-03-07
S00746,CANCELLED,2025-04-16
S00237,CANCELLED,2025-04-10
S00637,CANCELLED,2025-04-06
S01035,CANCELLED,2025-04-07
S01525,CANCELLED,2025-04-14
S01224,CANCELLED,2025-03-13
S00556,CANCELLED,2025-04-23
S00071,ACTIVE,2025-03-12
S01639,CANCELLED,2025-04-06
S01432,ACTIVE,2025-02-16
S01656,CANCELLED,2025-04-20
S01422,ACTIVE,2025-03-04
S01622,CANCELLED,2025-04-18
S01157,CANCELLED,2025-04-17
S00221,CANCELLED,2025-04-10
S00772,ACTIVE,2025-03-23
S00265,CANCELLED,2025-04-28
S01263,CANCELLED,2025-04-20
S01823,CANCELLED,2025-04-21
S01508,ACTIVE,2025-02-15
S01892,CANCELLED,2025-04-02
S00054,CANCELLED,2025-04-16
S01704,CANCELLED,2025-03-31
S01689,CANCELLED,2025-04-03
S01460,CANCELLED,2025-04-22
S01313,CANCELLED,2025-04-13
S00156,CANCELLED,2025-04-06
S00759,ACTIVE,2025-01-22
S01914,ACTIVE,2025-02-27
S00335,ACTIVE,2025-02-01
S01407,CANCELLED,2025-04-23
S01817,CANCELLED,2025-04-11
S00607,CANCELLED,2025-04-02
S00757,CANCELLED,2025-04-07
S01063,CANCELLED,2025-04-07
S00721,CANCELLED,2025-03-23
S01158,CANCELLED,2025-04-01
S01554,ACTIVE,2025-01-20
S00658,CANCELLED,2025-04-20
S00676,ACTIVE,2025-03-06
S01430,CANCELLED,2025-04-27
S01391,ACTIVE,2025-03-25
S01033,CANCELLED,2025-04-17
S00996,CANCELLED,2025-04-10
S01743,CANCELLED,2025-04-25
S00328,CANCELLED,2025-04-17
S01197,CANCELLED,2025-04-14
S00955,CANCELLED,2025-04-20
S00188,CANCELLED,2025-04-18
S00885,ACTIVE,2025-01-15
S01505,ACTIVE,2025-01-19
S01290,ACTIVE,2025-01-16
S01534,CANCELLED,2025-04-20
S01859,CANCELLED,2025-04-04
S01401,CANCELLED,2025-04-02
