tower_id,subscription_id,rsrp_dbm,ts
T0380,S00890,-68,2025-03-02T09:45:00Z
T0076,S00849,-114,2025-03-17T14:19:00Z
T0304,S00372,-82,2025-03-16T11:01:00Z
T0453,S00046,-98,2025-03-27T11:22:00Z
T0106,S01123,-115,2025-03-26T08:11:00Z
T0274,S01074,-91,2025-03-27T07:38:00Z
T0366,S00941,-96,2025-03-27T16:20:00Z
T0447,S00787,-61,2025-03-04T06:05:00Z
T0216,S00511,-117,2025-03-12T08:22:00Z
T0044,S00486,-74,2025-03-09T21:26:00Z
T0324,S00809,-101,2025-03-09T00:46:00Z
T0468,S01495,-119,2025-03-11T21:34:00Z
T0167,S00691,-87,2025-03-17T02:47:00Z
T0315,S01174,-107,2025-03-05T16:52:00Z
T0411,S00888,-106,2025-03-12T06:39:00Z
T0069,S00205,-98,2025-03-14T12:25:00Z
T0279,S00585,-109,2025-03-23T10:30:00Z
T0309,S01417,-108,2025-03-10T08:18:00Z
T0124,S00541,-112,2025-03-27T05:58:00Z
T0238,S00654,-69,2025-03-24T01:05:00Z
T0226,S01553,-109,2025-03-06T03:16:00Z
T0251,S01022,-100,2025-03-27T04:16:00Z
T0058,S01225,-104,2025-03-13T22:37:00Z
T0333,S01142,-115,2025-03-20T14:47:00Z
T0319,S00827,-83,2025-03-19T18:51:00Z
T0014,S00298,-115,2025-03-13T14:23:00Z
T0073,S00175,-63,2025-03-04T13:44:00Z
T0205,S01167,-82,2025-03-17T21:09:00Z
T0466,S00427,-88,2025-03-05T13:01:00Z
T0041,S00218,-74,2025-03-06T07:56:00Z
T0216,S01634,-71,2025-03-27T15:32:00Z
T0418,S01163,-119,2025-03-24T06:14:00Z
T0484,S00974,-64,2025-03-19T03:45:00Z
T0389,S00240,-78,2025-03-11T17:38:00Z
T0272,S00457,-73,2025-03-10T13:18:00Z
T0244,S01007,-110,2025-03-18T19:38:00Z
T0383,S00821,-71,2025-03-16T01:47:00Z
T0225,S00967,-88,2025-03-17T09:51:00Z
T0312,S01800,-80,2025-03-21T09:20:00Z
T0382,S00319,-62,2025-03-26T21:43:00Z
T0428,S01593,-99,2025-03-19T15:16:00Z
T0346,S01002,-79,2025-03-17T02:51:00Z
T0038,S00648,-107,2025-03-07T08:30:00Z
T0437,S00733,-82,2025-03-25T09:05:00Z
T0272,S01564,-79,2025-03-02T11:42:00Z
T0200,S01032,-111,2025-03-07T14:59:00Z
T0096,S01900,-100,2025-03-25T21:42:00Z
T0075,S00620,-87,2025-03-02T11:05:00Z
T0347,S00804,-114,2025-03-04T15:11:00Z
T0068,S01303,-94,2025-03-12T14:30:00Z
T0435,S01989,-111,2025-03-09T17:06:00Z
T0085,S01278,-107,2025-03-26T06:14:00Z
T0443,S01973,-86,2025-03-22T20:20:00Z
T0071,S00355,-108,2025-03-14T09:47:00Z
T0014,S00681,-77,2025-03-14T11:16:00Z
T0322,S01638,-73,2025-03-28T15:54:00Z
T0015,S00157,-71,2025-03-23T07:38:00Z
T0145,S01946,-80,2025-03-11T02:02:00Z
T0479,S00334,-87,2025-03-25T09:36:00Z
T0215,S01007,-62,2025-03-15T23:33:00Z
T0318,S00663,-64,2025-03-05T21:29:00Z
T0467,S00117,-73,2025-03-22T14:30:00Z
T0293,S00718,-103,2025-03-24T05:18:00Z
T0014,S00185,-60,2025-03-17T07:55:00Z
T0120,S00507,-107,2025-03-22T07:21:00Z
T0444,S00536,-90,2025-03-23T16:09:00Z
T0209,S01115,-118,2025-03-12T01:10:00Z
T0216,S00644,-67,2025-03-05T19:08:00Z
T0140,S00017,-104,2025-03-25T19:54:00Z
T0262,S00641,-95,2025-03-28T18:20:00Z
T0493,S00069,-107,2025-03-02T12:34:00Z
T0450,S00367,-79,2025-03-07T13:06:00Z
T0280,S01032,-69,2025-03-15T22:52:00Z
T0474,S00987,-77,2025-03-21T07:56:00Z
T0287,S01542,-65,2025-03-24T18:55:00Z
T0269,S00843,-115,2025-03-17T10:40:00Z
T0052,S01398,-120,2025-03-12T17:42:00Z
T0197,S00199,-70,2025-03-26T10:08:00Z
T0465,S00755,-73,2025-03-26T22:32:00Z
T0066,S01708,-104,2025-03-16T02:35:00Z
T0325,S00613,-66,2025-03-02T09:45:00Z
T0139,S00466,-86,2025-03-25T16:10:00Z
T0279,S00364,-88,2025-03-04T00:59:00Z
T0236,S00271,-109,2025-03-24T16:27:00Z
T0025,S01998,-89,2025-03-03T02:57:00Z
T0113,S00140,-80,2025-03-05T03:34:00Z
T0189,S01792,-74,2025-03-10T06:05:00Z
T0474,S00129,-92,2025-03-22T05:35:00Z
T0158,S01592,-84,2025-03-23T00:56:00Z
T0054,S01558,-60,2025-03-10T22:22:00Z
T0067,S01470,-64,2025-03-05T10:02:00Z
T0203,S01954,-75,2025-03-25T02:49:00Z
T0017,S01622,-61,2025-03-19T13:06:00Z
T0033,S01593,-91,2025-03-17T08:32:00Z
T0303,S01244,-119,2025-03-07T23:50:00Z
T0372,S01424,-90,2025-03-09T01:38:00Z
T0473,S01252,-70,2025-03-28T04:55:00Z
T0339,S00212,-80,2025-03-13T03:28:00Z
T0118,S01582,-88,2025-03-05T17:32:00Z
T0009,S00988,-67,2025-03-15T14:35:00Z
T0231,S01295,-88,2025-03-13T02:44:00Z
T0492,S00651,-61,2025-03-12T04:16:00Z
T0110,S00767,-102,2025-03-23T19:49:00Z
T0063,S00451,-64,2025-03-18T22:33:00Z
T0353,S01477,-95,2025-03-25T00:31:00Z
T0131,S01786,-96,2025-03-10T09:52:00Z
T0290,S01162,-66,2025-03-07T19:00:00Z
T0312,S00783,-116,2025-03-17T13:07:00Z
T0171,S01274,-85,2025-03-11T21:15:00Z
T0175,S00845,-116,2025-03-15T08:17:00Z
T0266,S00053,-65,2025-03-19T21:17:00Z
T0257,S00255,-84,2025-03-07T09:30:00Z
T0275,S00695,-97,2025-03-08T05:24:00Z
T0134,S00408,-100,2025-03-04T07:30:00Z
T0480,S00097,-97,2025-03-04T02:08:00Z
T0242,S00068,-95,2025-03-13T00:34:00Z
T0053,S01344,-101,2025-03-16T11:45:00Z
T0365,S00157,-84,2025-03-22T22:56:00Z
T0433,S01724,-111,2025-03-26T19:16:00Z
T0295,S00818,-84,2025-03-10T06:09:00Z
T0147,S01015,-89,2025-03-14T12:12:00Z
T0085,S00704,-115,2025-03-04T19:23:00Z
T0066,S00001,-109,2025-03-17T18:34:00Z
T0389,S01494,-66,2025-03-02T03:33:00Z
T0066,S01512,-77,2025-03-28T22:30:00Z
T0247,S01690,-98,2025-03-22T21:29:00Z
T0009,S01814,-85,2025-03-16T18:59:00Z
T0367,S01936,-107,2025-03-06T22:08:00Z
T0083,S01326,-76,2025-03-26T06:19:00Z
T0468,S00240,-77,2025-03-28T12:20:00Z
T0340,S01756,-86,2025-03-27T22:05:00Z
T0179,S00448,-116,2025-03-20T11:45:00Z
T0465,S00459,-61,2025-03-13T13:13:00Z
T0220,S00800,-66,2025-03-11T23:20:00Z
T0284,S01565,-86,2025-03-24T00:56:00Z
T0018,S00230,-67,2025-03-08T02:40:00Z
T0429,S01900,-110,2025-03-11T04:54:00Z
T0147,S00103,-77,2025-03-01T19:54:00Z
T0134,S00221,-66,2025-03-03T02:42:00Z
T0479,S01011,-104,2025-03-24T23:57:00Z
T0050,S00672,-77,2025-03-15T14:40:00Z
T0079,S01738,-108,2025-03-17T14:45:00Z
T0343,S00675,-105,2025-03-07T07:23:00Z
T0096,S00246,-120,2025-03-16T21:03:00Z
T0024,S00331,-119,2025-03-10T00:48:00Z
T0054,S01305,-60,2025-03-09T21:45:00Z
T0353,S01503,-77,2025-03-25T16:50:00Z
T0218,S00313,-86,2025-03-04T22:22:00Z
T0075,S01559,-82,2025-03-25T09:31:00Z
T0296,S00670,-104,2025-03-01T11:49:00Z
T0489,S01990,-90,2025-03-17T02:43:00Z
T0176,S01154,-102,2025-03-04T17:20:00Z
T0285,S00452,-100,2025-03-19T13:15:00Z
T0477,S01259,-84,2025-03-23T18:16:00Z
T0183,S01766,-111,2025-03-07T04:07:00Z
T0155,S01108,-104,2025-03-23T02:24:00Z
T0359,S01019,-104,2025-03-12T17:53:00Z
T0089,S01486,-61,2025-03-14T10:59:00Z
T0057,S01439,-110,2025-03-03T22:17:00Z
T0036,S00286,-78,2025-03-06T21:28:00Z
T0143,S00905,-67,2025-03-18T14:42:00Z
T0142,S00724,-82,2025-03-10T16:22:00Z
T0392,S00799,-105,2025-03-27T04:15:00Z
T0226,S01970,-104,2025-03-08T19:13:00Z
T0087,S01916,-78,2025-03-10T08:30:00Z
T0240,S00984,-108,2025-03-21T09:23:00Z
T0115,S01192,-68,2025-03-16T05:54:00Z
T0231,S01409,-101,2025-03-10T08:10:00Z
T0321,S00016,-100,2025-03-24T15:07:00Z
T0400,S00165,-105,2025-03-20T01:20:00Z
T0275,S01059,-69,2025-03-28T15:33:00Z
T0341,S01219,-99,2025-03-24T08:23:00Z
T0163,S00240,-66,2025-03-15T00:27:00Z
T0417,S01607,-87,2025-03-14T13:55:00Z
T0152,S01726,-82,2025-03-06T09:26:00Z
T0313,S00881,-92,2025-03-27T09:10:00Z
T0480,S00603,-91,2025-03-03T20:10:00Z
T0331,S00935,-112,2025-03-09T09:19:00Z
T0309,S00839,-117,2025-03-22T08:30:00Z
T0379,S00651,-110,2025-03-24T09:38:00Z
T0349,S01260,-87,2025-03-27T09:04:00Z
T0089,S01296,-119,2025-03-02T14:49:00Z
T0097,S00607,-93,2025-03-19T09:09:00Z
T0198,S00813,-117,2025-03-05T01:56:00Z
T0335,S01938,-70,2025-03-02T11:17:00Z
T0486,S01674,-95,2025-03-12T18:41:00Z
T0319,S01294,-97,2025-03-12T05:55:00Z
T0313,S01264,-71,2025-03-10T19:05:00Z
T0146,S01400,-97,2025-03-26T00:44:00Z
T0052,S01119,-63,2025-03-13T10:25:00Z
T0231,S00580,-60,2025-03-03T22:21:00Z
T0153,S00816,-77,2025-03-27T21:13:00Z
T0472,S00243,-64,2025-03-11T07:19:00Z
T0218,S01660,-62,2025-03-13T07:56:00Z
T0282,S00533,-77,2025-03-09T16:28:00Z
T0375,S00218,-87,2025-03-09T11:16:00Z
T0207,S00452,-87,2025-03-27T05:59:00Z
T0455,S00770,-84,2025-03-24T18:14:00Z
T0393,S00751,-88,2025-03-11T06:42:00Z
T0017,S00952,-86,2025-03-07T11:16:00Z
T0038,S01950,-118,2025-03-25T12:57:00Z
T0409,S01773,-88,2025-03-14T14:35:00Z
T0090,S01356,-120,2025-03-25T04:55:00Z
T0333,S00221,-75,2025-03-10T11:50:00Z
T0391,S00516,-112,2025-03-18T03:46:00Z
T0293,S00741,-79,2025-03-23T00:52:00Z
T0485,S00485,-72,2025-03-09T09:55:00Z
T0455,S01308,-89,2025-03-26T07:56:00Z
T0396,S01242,-82,2025-03-08T18:04:00Z
T0123,S01492,-97,2025-03-14T12:40:00Z
T0333,S01479,-85,2025-03-13T14:25:00Z
T0189,S00259,-68,2025-03-07T22:38:00Z
T0005,S01700,-70,2025-03-11T14:23:00Z
T0138,S00149,-96,2025-03-20T09:06:00Z
T0486,S00825,-78,2025-03-11T15:11:00Z
T0126,S01786,-85,2025-03-16T21:53:00Z
T0018,S00727,-98,2025-03-22T00:31:00Z
T0485,S00721,-81,2025-03-16T12:23:00Z
T0480,S01385,-76,2025-03-17T13:43:00Z
T0094,S00860,-63,2025-03-02T06:01:00Z
T0192,S01950,-85,2025-03-08T18:40:00Z
T0227,S01181,-90,2025-03-17T15:07:00Z
T0013,S00952,-86,2025-03-01T07:02:00Z
T0044,S01970,-61,2025-03-20T02:48:00Z
T0205,S00200,-100,2025-03-02T14:46:00Z
T0410,S01515,-115,2025-03-10T11:20:00Z
T0245,S00285,-119,2025-03-14T07:21:00Z
T0040,S00005,-65,2025-03-23T05:10:00Z
T0297,S01738,-85,2025-03-08T03:16:00Z
T0022,S01267,-90,2025-03-23T22:08:00Z
T0123,S01791,-120,2025-03-22T22:43:00Z
T0300,S00016,-113,2025-03-08T15:16:00Z
T0248,S01132,-98,2025-03-22T16:40:00Z
T0183,S00148,-65,2025-03-11T15:59:00Z
T0028,S01832,-116,2025-03-19T18:18:00Z
T0055,S00039,-116,2025-03-10T14:23:00Z
T0465,S01761,-97,2025-03-16T22:01:00Z
T0214,S00298,-64,2025-03-24T06:54:00Z
T0231,S00709,-115,2025-03-05T15:16:00Z
T0178,S01228,-70,2025-03-13T06:02:00Z
T0138,S01929,-67,2025-03-26T00:57:00Z
T0461,S00422,-89,2025-03-28T19:39:00Z
T0487,S01239,-74,2025-03-07T21:36:00Z
T0244,S01044,-87,2025-03-03T03:13:00Z
T0368,S00255,-72,2025-03-24T07:54:00Z
T0161,S01145,-74,2025-03-09T23:22:00Z
T0112,S01468,-62,2025-03-17T04:02:00Z
T0478,S01683,-73,2025-03-25T02:32:00Z
T0201,S01632,-105,2025-03-12T14:28:00Z
T0060,S01218,-108,2025-03-25T06:37:00Z
T0004,S01907,-84,2025-03-25T03:36:00Z
T0319,S00740,-87,2025-03-05T08:17:00Z
T0415,S00620,-63,2025-03-16T16:44:00Z
T0200,S01187,-63,2025-03-19T03:52:00Z
T0353,S00861,-111,2025-03-09T13:43:00Z
T0361,S01794,-120,2025-03-17T10:09:00Z
T0153,S01312,-88,2025-03-25T14:54:00Z
T0181,S00322,-72,2025-03-07T06:16:00Z
T0209,S00111,-83,2025-03-20T21:18:00Z
T0066,S01083,-103,2025-03-03T09:14:00Z
T0309,S01956,-71,2025-03-02T23:24:00Z
T0031,S00930,-91,2025-03-07T13:32:00Z
T0213,S00434,-80,2025-03-04T04:39:00Z
T0362,S00361,-118,2025-03-11T16:03:00Z
T0398,S01040,-94,2025-03-18T04:28:00Z
T0448,S01380,-76,2025-03-03T15:17:00Z
T0104,S01132,-78,2025-03-24T09:22:00Z
T0243,S00657,-102,2025-03-01T04:25:00Z
T0303,S01209,-115,2025-03-25T20:09:00Z
T0384,S01538,-73,2025-03-10T15:23:00Z
T0185,S01844,-104,2025-03-14T23:54:00Z
T0242,S00275,-93,2025-03-23T17:18:00Z
T0006,S01436,-108,2025-03-28T05:19:00Z
T0132,S00467,-89,2025-03-14T05:04:00Z
T0426,S01223,-113,2025-03-13T19:48:00Z
T0496,S00258,-118,2025-03-02T17:27:00Z
T0070,S01751,-98,2025-03-05T10:40:00Z
T0427,S01988,-98,2025-03-05T05:17:00Z
T0304,S00726,-106,2025-03-24T18:48:00Z
T0453,S01825,-60,2025-03-18T06:12:00Z
T0242,S01408,-67,2025-03-03T00:25:00Z
T0330,S00421,-74,2025-03-14T16:46:00Z
T0298,S01812,-60,2025-03-15T12:34:00Z
T0057,S00171,-82,2025-03-09T05:07:00Z
T0364,S01135,-113,2025-03-11T14:19:00Z
T0317,S01167,-95,2025-03-02T12:31:00Z
T0206,S01689,-119,2025-03-12T04:55:00Z
T0402,S01803,-116,2025-03-23T07:56:00Z
T0229,S01873,-112,2025-03-15T03:26:00Z
T0333,S00473,-74,2025-03-10T13:54:00Z
T0189,S01758,-67,2025-03-20T06:00:00Z
T0184,S01151,-70,2025-03-21T03:12:00Z
T0123,S00128,-61,2025-03-15T04:24:00Z
T0443,S00587,-100,2025-03-03T08:55:00Z
T0329,S00137,-73,2025-03-23T21:06:00Z
T0104,S01740,-113,2025-03-25T00:27:00Z
T0048,S01752,-96,2025-03-09T01:48:00Z
T0324,S01219,-76,2025-03-18T01:16:00Z
T0028,S01399,-110,2025-03-24T17:08:00Z
T0242,S00620,-65,2025-03-13T13:28:00Z
T0146,S00084,-90,2025-03-25T13:49:00Z
T0229,S01814,-94,2025-03-03T22:31:00Z
T0240,S00224,-73,2025-03-06T07:21:00Z
T0185,S00677,-86,2025-03-07T02:39:00Z
T0227,S00453,-61,2025-03-02T09:53:00Z
T0051,S00786,-108,2025-03-16T15:14:00Z
T0067,S01591,-84,2025-03-15T11:40:00Z
T0387,S01933,-90,2025-03-11T00:22:00Z
T0115,S01621,-115,2025-03-27T21:31:00Z
T0410,S01375,-83,2025-03-15T03:01:00Z
T0173,S00442,-88,2025-03-13T09:51:00Z
T0353,S01254,-113,2025-03-28T13:58:00Z
T0232,S00834,-80,2025-03-08T20:19:00Z
T0254,S00751,-115,2025-03-18T09:21:00Z
T0228,S01957,-109,2025-03-22T17:49:00Z
T0022,S00407,-68,2025-03-12T14:57:00Z
T0319,S00266,-66,2025-03-26T18:21:00Z
T0428,S01841,-100,2025-03-12T22:24:00Z
T0296,S00422,-88,2025-03-27T07:56:00Z
T0050,S01290,-71,2025-03-01T14:37:00Z
T0390,S01028,-78,2025-03-28T07:42:00Z
T0385,S01564,-71,2025-03-06T03:43:00Z
T0463,S00146,-90,2025-03-05T17:26:00Z
T0002,S00928,-109,2025-03-25T21:34:00Z
T0393,S00620,-118,2025-03-12T18:46:00Z
T0202,S00598,-111,2025-03-14T03:48:00Z
T0055,S01806,-62,2025-03-28T02:54:00Z
T0298,S01930,-110,2025-03-22T03:31:00Z
T0359,S00342,-88,2025-03-13T23:14:00Z
T0227,S00100,-117,2025-03-15T11:09:00Z
T0235,S01785,-61,2025-03-24T12:29:00Z
T0415,S00204,-79,2025-03-21T13:37:00Z
T0091,S01087,-113,2025-03-28T12:23:00Z
T0404,S01193,-77,2025-03-05T23:48:00Z
T0154,S00897,-104,2025-03-26T13:22:00Z
T0414,S00144,-82,2025-03-03T18:56:00Z
T0410,S01583,-106,2025-03-19T11:13:00Z
T0128,S00969,-106,2025-03-19T14:03:00Z
T0074,S01863,-109,2025-03-06T20:47:00Z
T0180,S00860,-88,2025-03-08T04:40:00Z
T0352,S00394,-112,2025-03-15T04:28:00Z
T0385,S01564,-80,2025-03-09T03:18:00Z
T0471,S00094,-87,2025-03-16T19:42:00Z
T0235,S01660,-74,2025-03-18T01:18:00Z
T0005,S00165,-95,2025-03-17T22:35:00Z
T0153,S01623,-119,2025-03-24T13:23:00Z
T0470,S01962,-91,2025-03-17T01:37:00Z
T0003,S00155,-63,2025-03-27T11:59:00Z
T0308,S01774,-83,2025-03-23T21:04:00Z
T0480,S00776,-83,2025-03-02T05:37:00Z
T0362,S01872,-89,2025-03-22T18:03:00Z
T0243,S00727,-98,2025-03-15T17:42:00Z
T0196,S01677,-112,2025-03-02T11:04:00Z
T0194,S00445,-100,2025-03-27T16:37:00Z
T0265,S00496,-81,2025-03-01T17:50:00Z
T0452,S00762,-85,2025-03-19T02:28:00Z
T0477,S01974,-93,2025-03-11T14:55:00Z
T0164,S00477,-97,2025-03-01T02:00:00Z
T0373,S00330,-101,2025-03-13T05:09:00Z
T0289,S00369,-78,2025-03-18T02:58:00Z
T0418,S00884,-114,2025-03-14T19:38:00Z
T0127,S00194,-83,2025-03-23T01:26:00Z
T0419,S00225,-88,2025-03-18T11:25:00Z
T0173,S01571,-101,2025-03-25T06:02:00Z
T0289,S01966,-81,2025-03-05T13:21:00Z
T0028,S00033,-63,2025-03-20T19:05:00Z
T0008,S00192,-83,2025-03-14T03:26:00Z
T0457,S01089,-107,2025-03-23T12:41:00Z
T0287,S01835,-104,2025-03-26T17:53:00Z
T0054,S00962,-68,2025-03-21T16:12:00Z
T0146,S01026,-88,2025-03-18T00:13:00Z
T0168,S00527,-110,2025-03-13T21:06:00Z
T0039,S00423,-99,2025-03-17T08:54:00Z
T0183,S00757,-86,2025-03-08T04:49:00Z
T0400,S00936,-73,2025-03-18T17:06:00Z
T0176,S01825,-73,2025-03-16T17:23:00Z
T0382,S01754,-94,2025-03-22T02:05:00Z
T0480,S00100,-108,2025-03-03T13:14:00Z
T0161,S00670,-84,2025-03-15T20:42:00Z
T0418,S00618,-92,2025-03-09T17:36:00Z
T0250,S00060,-81,2025-03-24T13:50:00Z
T0278,S01106,-75,2025-03-06T16:21:00Z
T0337,S01616,-71,2025-03-21T12:29:00Z
T0106,S00630,-70,2025-03-24T01:24:00Z
T0437,S01261,-64,2025-03-09T16:16:00Z
T0448,S00874,-98,2025-03-21T10:13:00Z
T0246,S00248,-119,2025-03-16T13:51:00Z
T0333,S00135,-61,2025-03-12T15:13:00Z
T0352,S00062,-68,2025-03-27T15:15:00Z
T0150,S01589,-71,2025-03-26T10:32:00Z
T0212,S01096,-102,2025-03-03T09:43:00Z
T0198,S00942,-115,2025-03-24T09:55:00Z
T0065,S00491,-69,2025-03-08T12:19:00Z
T0007,S01840,-64,2025-03-12T02:26:00Z
T0089,S01441,-105,2025-03-23T16:51:00Z
T0483,S00264,-107,2025-03-06T07:44:00Z
T0162,S00193,-81,2025-03-05T02:07:00Z
T0446,S00157,-69,2025-03-02T13:51:00Z
T0309,S00307,-71,2025-03-04T18:08:00Z
T0120,S00339,-68,2025-03-27T02:14:00Z
T0267,S00386,-62,2025-03-19T07:20:00Z
T0148,S01337,-93,2025-03-28T05:15:00Z
T0397,S01283,-112,2025-03-01T21:50:00Z
T0023,S01255,-92,2025-03-14T10:49:00Z
T0496,S00452,-71,2025-03-09T05:48:00Z
T0215,S00535,-93,2025-03-09T23:10:00Z
T0352,S00122,-117,2025-03-02T04:44:00Z
T0475,S00548,-78,2025-03-04T13:08:00Z
T0462,S01854,-65,2025-03-14T06:27:00Z
T0171,S01288,-90,2025-03-22T19:30:00Z
T0191,S01235,-109,2025-03-07T22:27:00Z
T0426,S01538,-81,2025-03-25T19:35:00Z
T0437,S01908,-93,2025-03-07T22:04:00Z
T0330,S00468,-106,2025-03-22T11:16:00Z
T0002,S01734,-112,2025-03-19T23:22:00Z
T0300,S00667,-102,2025-03-25T13:24:00Z
T0122,S00216,-101,2025-03-13T03:17:00Z
T0362,S00839,-70,2025-03-11T04:52:00Z
T0484,S00853,-64,2025-03-12T04:17:00Z
T0009,S00090,-102,2025-03-15T22:29:00Z
T0489,S00212,-64,2025-03-28T07:22:00Z
T0366,S00757,-82,2025-03-21T23:06:00Z
T0285,S00947,-89,2025-03-10T22:10:00Z
T0166,S00756,-76,2025-03-12T03:00:00Z
T0276,S00909,-80,2025-03-18T21:22:00Z
T0458,S01463,-104,2025-03-25T15:27:00Z
T0280,S00696,-84,2025-03-21T10:45:00Z
T0431,S01452,-82,2025-03-03T07:32:00Z
T0287,S01337,-109,2025-03-13T16:43:00Z
T0290,S01134,-62,2025-03-13T12:17:00Z
T0225,S01547,-88,2025-03-01T20:51:00Z
T0369,S01092,-104,2025-03-04T05:11:00Z
T0492,S01437,-86,2025-03-25T09:28:00Z
T0412,S01584,-98,2025-03-20T00:44:00Z
T0222,S01361,-120,2025-03-26T08:23:00Z
T0365,S00951,-71,2025-03-08T07:24:00Z
T0255,S00521,-91,2025-03-08T15:46:00Z
