installment_id,customer_id,device_id,monthly_amount_usd,remaining_months
IN00192,C02717,DV00813,8.62,3
IN00193,C02154,DV00797,28.59,24
IN00194,C01203,DV00745,17.37,9
IN00195,C02343,DV00863,31.33,16
IN00196,C02644,DV00289,26.10,0
IN00197,C01378,DV00100,24.43,24
IN00198,C01117,DV00322,9.42,9
IN00199,C01924,DV00843,19.04,13
IN00200,C02276,DV01614,34.90,4
IN00201,C02724,DV00647,11.38,13
IN00202,C01744,DV00410,25.29,21
IN00203,C02007,DV01663,14.69,23
IN00204,C02146,DV00093,16.65,0
IN00205,C01703,DV01666,44.94,4
IN00206,C01753,DV01415,5.01,13
IN00207,C01002,DV00384,13.83,10
IN00208,C02061,DV00191,40.58,0
IN00209,C01003,DV00493,43.40,6
IN00210,C02257,DV00683,27.81,17
IN00211,C01745,DV01589,5.25,22
IN00212,C02397,DV00032,32.22,21
IN00213,C01970,DV00555,34.00,14
IN00214,C01275,DV00438,8.01,16
IN00215,C02386,DV01758,27.97,23
IN00216,C02241,DV01583,40.59,2
IN00217,C01015,DV00761,10.04,19
IN00218,C02729,DV00133,21.88,4
IN00219,C02995,DV01117,15.04,12
IN00220,C01086,DV00106,10.76,23
IN00221,C02433,DV00421,20.96,1
IN00222,C01747,DV01048,31.11,2
IN00223,C02151,DV01546,14.35,0
IN00224,C01869,DV00245,34.21,16
IN00225,C01042,DV00030,12.09,13
IN00226,C01451,DV01559,19.15,15
IN00227,C01662,DV00265,19.65,0
IN00228,C01607,DV00755,13.38,24
IN00229,C02665,DV01531,5.10,19
IN00230,C02567,DV00781,26.76,24
IN00231,C01771,DV00183,13.15,8
IN00232,C01228,DV01621,24.13,10
IN00233,C02954,DV00718,36.08,15
IN00234,C02115,DV00766,25.56,21
IN00235,C02121,DV01728,17.86,9
IN00236,C01624,DV00345,16.97,8
IN00237,C02834,DV01398,38.89,17
IN00238,C02237,DV00675,29.22,14
IN00239,C01728,DV01506,42.01,20
IN00240,C02078,DV00307,16.30,18
IN00241,C02267,DV00264,13.45,13
IN00242,C01851,DV01235,44.47,23
IN00243,C01387,DV01611,11.27,15
IN00244,C02788,DV00389,6.25,7
IN00245,C01164,DV00835,13.51,15
IN00246,C01404,DV01784,31.93,24
IN00247,C01783,DV01597,18.69,18
IN00248,C02146,DV01038,41.42,4
IN00249,C02948,DV00951,5.97,24
IN00250,C01774,DV00706,22.54,20
IN00251,C01906,DV00300,26.33,21
IN00252,C01169,DV01177,18.06,20
IN00253,C01795,DV01000,21.79,15
IN00254,C01691,DV01243,44.10,12
IN00255,C02100,DV00966,8.95,21
IN00256,C01478,DV00744,20.96,9
IN00257,C01241,DV01132,16.76,24
IN00258,C02763,DV01744,33.57,16
IN00259,C01067,DV00549,36.36,7
IN00260,C02486,DV01197,23.31,4
IN00261,C02852,DV00349,20.12,6
IN00262,C02234,DV00530,15.01,2
IN00263,C01318,DV00725,9.97,21
IN00264,C02655,DV00029,43.27,0
IN00265,C01423,DV00220,34.53,22
IN00266,C02819,DV00186,37.43,10
IN00267,C01716,DV01699,41.08,13
IN00268,C02603,DV01049,7.61,6
IN00269,C02224,DV00959,29.62,18
IN00270,C02985,DV01446,23.90,1
IN00271,C02680,DV00336,12.80,10
IN00272,C02833,DV01310,7.49,6
IN00273,C02984,DV01379,29.79,9
IN00274,C01760,DV00617,29.28,20
IN00275,C01140,DV00498,20.05,15
IN00276,C02248,DV00930,43.20,20
IN00277,C02229,DV01032,26.01,20
IN00278,C02175,DV00961,5.54,14
IN00279,C02369,DV01111,26.92,14
IN00280,C01627,DV01430,12.61,12
IN00281,C02668,DV01181,6.40,5
IN00282,C02101,DV01690,35.63,24
IN00283,C01185,DV01068,26.31,4
IN00284,C02997,DV01466,39.83,13
IN00285,C02703,DV00858,5.11,19
IN00286,C01148,DV00056,38.32,22
IN00287,C01613,DV01750,17.70,13
IN00288,C01097,DV00245,39.27,11
IN00289,C01345,DV00934,11.65,5
IN00290,C01923,DV00322,25.01,14
IN00291,C01020,DV00857,19.06,19
IN00292,C01494,DV01373,40.76,22
IN00293,C02573,DV01472,41.99,12
IN00294,C01190,DV01473,34.92,22
IN00295,C01088,DV01776,43.32,11
IN00296,C01774,DV00475,22.31,18
IN00297,C01192,DV01548,36.30,3
IN00298,C01084,DV00764,43.22,19
IN00299,C01276,DV01269,27.59,18
IN00300,C02441,DV00589,37.04,4
IN00301,C02511,DV00732,30.02,6
IN00302,C02117,DV00714,12.05,6
IN00303,C01705,DV00138,16.73,6
IN00304,C01999,DV01399,24.90,15
IN00305,C02502,DV00925,6.47,15
IN00306,C02803,DV00643,12.77,16
IN00307,C01554,DV00626,44.94,7
IN00308,C02926,DV00553,25.47,21
IN00309,C01948,DV01558,17.94,15
IN00310,C02143,DV00918,38.92,4
IN00311,C01999,DV01793,10.49,6
IN00312,C01696,DV00077,26.73,7
IN00313,C01517,DV00470,23.41,7
IN00314,C01444,DV00654,32.50,2
IN00315,C02728,DV01463,40.80,12
IN00316,C02671,DV00250,27.03,18
IN00317,C02635,DV01305,27.32,22
IN00318,C01826,DV00581,31.02,15
IN00319,C02414,DV01457,15.78,21
IN00320,C01210,DV00283,23.49,0
IN00321,C01713,DV00838,32.80,0
IN00322,C02270,DV01477,35.55,11
IN00323,C01780,DV01059,18.71,0
IN00324,C01274,DV00468,32.29,9
IN00325,C01894,DV00346,19.33,19
IN00326,C02553,DV00690,7.05,8
IN00327,C01414,DV00725,22.74,9
IN00328,C01399,DV01733,12.90,18
IN00329,C01241,DV01128,10.24,5
IN00330,C02673,DV01273,43.52,16
IN00331,C02440,DV00763,44.87,21
IN00332,C01206,DV01469,15.98,9
IN00333,C01301,DV00880,10.08,2
IN00334,C01175,DV00355,17.78,11
IN00335,C02692,DV00594,18.84,7
IN00336,C01492,DV01552,39.81,4
IN00337,C01681,DV01008,42.93,17
IN00338,C02972,DV00966,16.47,0
IN00339,C01748,DV01567,13.88,19
IN00340,C01110,DV00684,5.47,10
IN00341,C01586,DV01271,39.49,23
IN00342,C01709,DV00634,31.30,7
IN00343,C01549,DV00819,7.60,16
IN00344,C02374,DV00569,32.49,12
IN00345,C01717,DV01455,14.16,21
IN00346,C01457,DV00933,10.62,11
IN00347,C01089,DV01354,37.11,21
IN00348,C02184,DV00023,27.30,7
IN00349,C01416,DV01347,19.23,18
IN00350,C01235,DV00028,33.76,11
IN00351,C02100,DV00439,13.43,2
IN00352,C02223,DV00513,38.81,10
IN00353,C01872,DV00781,35.38,13
IN00354,C02238,DV00528,23.14,6
IN00355,C02189,DV01752,20.56,14
IN00356,C02026,DV00882,25.45,14
IN00357,C01815,DV00499,22.29,10
IN00358,C02870,DV01406,29.48,19
IN00359,C01652,DV00804,11.44,17
IN00360,C01767,DV01495,19.29,6
IN00361,C01045,DV00950,14.96,12
IN00362,C02131,DV01783,44.91,8
IN00363,C02252,DV00220,7.21,19
IN00364,C02244,DV01192,29.80,10
IN00365,C01913,DV01508,13.04,17
IN00366,C01057,DV00895,6.64,16
IN00367,C02674,DV00324,15.72,13
IN00368,C02699,DV00482,12.90,9
IN00369,C02515,DV01239,33.11,12
IN00370,C01546,DV01231,9.06,12
IN00371,C01541,DV00269,18.54,19
IN00372,C01784,DV00793,6.11,12
IN00373,C01729,DV00009,28.62,19
IN00374,C01388,DV00857,10.97,14
IN00375,C01141,DV00022,13.81,8
IN00376,C02351,DV00281,40.31,1
IN00377,C01541,DV01467,16.54,9
IN00378,C02392,DV00304,33.21,10
IN00379,C02581,DV00575,18.65,15
IN00380,C02629,DV01290,26.24,16
IN00381,C01417,DV01407,19.12,23
IN00382,C02226,DV01139,24.96,10
IN00383,C02329,DV01507,25.64,15
IN00384,C01390,DV00617,32.14,8
IN00385,C01118,DV01528,10.72,22
IN00386,C02121,DV01118,14.80,18
IN00387,C02197,DV00164,24.71,18
IN00388,C01505,DV01215,5.01,16
IN00389,C01908,DV01604,19.47,17
IN00390,C02845,DV00761,44.65,13
IN00391,C02962,DV00176,44.38,10
IN00392,C02932,DV01128,42.80,14
IN00393,C01010,DV00656,16.57,6
IN00394,C02591,DV01571,13.91,1
IN00395,C02053,DV00928,9.78,2
IN00396,C02636,DV00912,41.31,9
IN00397,C02228,DV01522,39.57,23
IN00398,C02428,DV01332,36.12,14
IN00399,C01231,DV00491,14.68,17
IN00400,C02200,DV00948,27.78,3
IN00401,C01341,DV00386,21.86,3
IN00402,C02572,DV00713,31.40,1
IN00403,C02836,DV00453,38.85,23
IN00404,C01409,DV01783,44.66,20
IN00405,C02175,DV00263,15.22,21
IN00406,C02469,DV01404,30.25,20
IN00407,C02611,DV00122,43.35,0
IN00408,C02084,DV00444,13.71,24
IN00409,C02419,DV00465,29.99,14
IN00410,C02979,DV01256,34.92,20
IN00411,C02030,DV01770,8.93,3
IN00412,C02081,DV01507,30.97,7
IN00413,C02443,DV00363,10.10,8
IN00414,C02088,DV01727,44.16,2
IN00415,C02523,DV00659,6.24,2
IN00416,C02346,DV00308,31.52,7
IN00417,C02614,DV01305,5.51,9
IN00418,C01984,DV01193,25.89,1
IN00419,C01560,DV00187,44.24,3
IN00420,C02958,DV01319,33.91,24
IN00421,C01831,DV00074,40.46,12
IN00422,C01686,DV01394,31.20,18
IN00423,C01828,DV00719,29.15,9
IN00424,C02711,DV00697,31.87,18
IN00425,C02355,DV01646,29.89,2
IN00426,C01781,DV01637,39.85,5
IN00427,C01562,DV00113,30.57,17
IN00428,C01007,DV00660,29.59,24
IN00429,C02984,DV01691,26.38,9
IN00430,C02624,DV00712,25.89,4
IN00431,C02730,DV00816,26.87,2
IN00432,C02476,DV01503,16.05,0
IN00433,C01090,DV00112,31.91,10
IN00434,C01239,DV00858,34.85,11
IN00435,C01901,DV00526,7.13,14
IN00436,C01016,DV01615,19.00,24
IN00437,C01085,DV01039,42.78,24
IN00438,C02884,DV01451,13.77,5
IN00439,C01295,DV01187,30.88,5
IN00440,C02440,DV01159,20.91,19
IN00441,C02793,DV00014,36.34,8
IN00442,C01801,DV01368,27.24,7
IN00443,C01592,DV01460,16.30,13
IN00444,C01048,DV01742,11.54,4
IN00445,C01885,DV01220,22.60,13
IN00446,C02542,DV01430,14.60,11
IN00447,C01092,DV01636,29.83,14
IN00448,C02290,DV01014,14.38,11
IN00449,C01061,DV00711,25.54,0
IN00450,C02521,DV01155,13.82,0
IN00451,C01127,DV00245,29.78,7
IN00452,C01593,DV01332,37.36,10
IN00453,C02039,DV01476,15.76,16
IN00454,C02577,DV00683,44.52,13
IN00455,C01943,DV00033,30.68,10
IN00456,C02238,DV00685,13.22,0
IN00457,C02555,DV00673,6.14,16
IN00458,C01599,DV01030,10.97,4
IN00459,C01900,DV00252,30.47,3
IN00460,C02450,DV01188,24.50,15
IN00461,C02747,DV01709,33.05,12
IN00462,C02530,DV01400,34.95,13
IN00463,C01011,DV00391,43.62,12
IN00464,C02612,DV00586,7.06,11
IN00465,C02166,DV01075,23.94,6
IN00466,C01353,DV00873,37.07,10
IN00467,C02934,DV01091,38.92,16
IN00468,C01218,DV00990,43.45,2
IN00469,C02487,DV01436,14.64,9
IN00470,C01965,DV01383,43.90,9
IN00471,C02315,DV00049,27.27,14
IN00472,C02800,DV01265,34.94,15
IN00473,C02014,DV01682,9.95,18
IN00474,C01933,DV01695,30.42,4
IN00475,C02518,DV00024,39.83,20
IN00476,C01955,DV01201,11.51,4
IN00477,C01021,DV00511,41.21,4
IN00478,C02073,DV01051,10.83,24
IN00479,C01407,DV00100,25.25,8
IN00480,C02263,DV00503,19.77,6
IN00481,C01900,DV00138,36.06,4
IN00482,C01994,DV00085,37.10,8
IN00483,C02450,DV00917,11.56,2
IN00484,C01955,DV01700,41.38,8
IN00485,C02612,DV01755,21.74,16
IN00486,C02357,DV01757,28.78,12
IN00487,C02976,DV00423,9.31,18
IN00488,C02223,DV00667,34.47,10
IN00489,C01907,DV01742,28.31,12
IN00490,C01149,DV00693,15.32,6
IN00491,C01926,DV01541,24.70,17
IN00492,C02037,DV00768,13.53,17
IN00493,C02505,DV01070,15.54,10
IN00494,C01400,DV00910,13.59,5
IN00495,C02090,DV01196,9.62,7
IN00496,C02104,DV01496,20.59,14
IN00497,C01957,DV00548,12.92,23
IN00498,C02237,DV00239,33.31,9
IN00499,C01612,DV01095,6.52,18
IN00500,C02948,DV00395,15.72,21
IN00501,C01713,DV00272,24.77,7
IN00502,C01410,DV00724,40.76,3
IN00503,C02790,DV00463,39.25,6
IN00504,C02359,DV00012,11.09,13
IN00505,C01015,DV01203,13.59,2
IN00506,C01990,DV00882,6.99,8
IN00507,C01831,DV01535,12.75,8
IN00508,C01406,DV00910,7.68,11
IN00509,C01034,DV00839,13.22,12
IN00510,C01751,DV00905,5.39,20
IN00511,C01085,DV00101,31.53,6
IN00512,C02180,DV01161,24.20,14
IN00513,C01023,DV01377,12.08,23
IN00514,C02849,DV00174,26.95,0
IN00515,C01516,DV00546,14.41,21
IN00516,C01023,DV00527,34.49,2
IN00517,C01314,DV01563,10.74,18
IN00518,C01886,DV00704,35.11,23
IN00519,C02545,DV01625,28.23,6
IN00520,C01966,DV01101,37.68,7
IN00521,C02287,DV00007,19.38,13
IN00522,C01809,DV00839,11.31,2
IN00523,C01120,DV01015,19.58,4
IN00524,C02154,DV00029,22.52,6
IN00525,C02651,DV00217,32.59,1
IN00526,C02636,DV00841,25.17,3
IN00527,C01215,DV00485,28.02,14
IN00528,C01587,DV00640,10.80,20
IN00529,C01005,DV01386,32.96,7
IN00530,C01908,DV01242,37.06,19
IN00531,C02428,DV00176,20.86,24
IN00532,C02528,DV00458,10.00,6
IN00533,C01664,DV00538,10.61,8
IN00534,C02177,DV01329,33.74,10
IN00535,C02959,DV01155,17.65,8
IN00536,C02434,DV00849,14.70,23
IN00537,C02095,DV00873,28.72,8
IN00538,C02873,DV01072,33.03,12
IN00539,C02205,DV01208,18.58,23
IN00540,C02018,DV00789,42.78,2
IN00541,C02970,DV00492,10.15,17
IN00542,C02464,DV00743,10.73,19
IN00543,C02823,DV01452,28.49,6
IN00544,C02584,DV01468,26.84,15
IN00545,C02661,DV01646,32.41,5
IN00546,C02129,DV01012,20.72,19
IN00547,C02827,DV00136,44.75,3
IN00548,C01154,DV00249,23.81,18
IN00549,C01849,DV00560,8.30,3
IN00550,C01681,DV00356,17.74,13
IN00551,C01134,DV00128,29.72,22
IN00552,C02827,DV00465,8.98,1
IN00553,C01514,DV00323,41.18,18
IN00554,C01367,DV00732,26.36,9
IN00555,C02765,DV00558,28.71,7
IN00556,C02622,DV00039,6.02,15
IN00557,C01942,DV01707,7.66,17
IN00558,C01051,DV00411,22.37,7
IN00559,C02126,DV00306,9.24,10
IN00560,C02622,DV00939,42.13,12
IN00561,C01791,DV00050,20.83,15
IN00562,C02034,DV01186,32.30,9
IN00563,C01749,DV00916,34.18,8
IN00564,C02232,DV00454,40.97,2
IN00565,C02934,DV01203,24.30,19
IN00566,C01531,DV00130,10.44,17
IN00567,C02899,DV01075,33.34,17
IN00568,C02620,DV01584,7.63,9
IN00569,C02671,DV00620,41.74,3
IN00570,C01139,DV01200,33.78,12
IN00571,C02394,DV00049,38.30,19
IN00572,C01522,DV01523,41.34,24
IN00573,C01569,DV00841,44.56,14
IN00574,C02341,DV01063,30.03,1
IN00575,C01143,DV00065,15.62,20
IN00576,C02188,DV00351,18.96,0
IN00577,C01897,DV00616,22.52,1
IN00578,C02742,DV00040,6.65,16
IN00579,C02114,DV01490,22.55,18
IN00580,C01362,DV00996,40.69,3
IN00581,C02893,DV00776,15.72,1
IN00582,C02053,DV01512,14.06,16
IN00583,C01582,DV00714,28.97,8
IN00584,C02215,DV00892,39.67,21
IN00585,C02542,DV00985,16.68,15
IN00586,C01334,DV00257,42.16,17
IN00587,C01019,DV00107,31.83,2
IN00588,C02534,DV00423,27.76,14
IN00589,C02791,DV01233,6.53,1
IN00590,C01366,DV01250,38.81,2
IN00591,C02324,DV01671,25.20,18
IN00592,C01956,DV01024,32.95,8
IN00593,C02691,DV01524,8.85,19
IN00594,C01024,DV00550,5.22,8
IN00595,C02918,DV01720,21.97,22
IN00596,C02868,DV01064,39.92,24
IN00597,C01080,DV00042,14.62,3
IN00598,C01102,DV01057,24.88,14
IN00599,C02154,DV00835,5.80,5
IN00600,C02412,DV01087,20.82,19
IN00601,C01873,DV00740,11.29,1
IN00602,C02335,DV00221,38.46,13
IN00603,C01436,DV00174,37.82,16
IN00604,C02291,DV00581,20.58,10
IN00605,C02551,DV01693,41.44,14
IN00606,C02671,DV01411,22.22,3
IN00607,C02120,DV00839,17.14,5
IN00608,C01926,DV01730,22.21,17
IN00609,C01351,DV00196,13.60,17
IN00610,C01885,DV01174,33.84,18
IN00611,C02434,DV01619,24.85,18
IN00612,C02683,DV01066,21.16,2
IN00613,C01197,DV00325,36.18,10
IN00614,C01442,DV01099,40.81,21
IN00615,C02788,DV00208,43.20,14
IN00616,C02381,DV00196,33.63,15
IN00617,C01984,DV01215,44.81,10
IN00618,C02048,DV00655,37.36,15
IN00619,C02411,DV01589,39.01,3
IN00620,C01654,DV00680,33.85,1
IN00621,C02474,DV00971,31.48,18
IN00622,C02969,DV00456,26.51,16
IN00623,C02427,DV01360,29.96,10
IN00624,C01459,DV00225,10.55,14
IN00625,C01982,DV00872,27.98,24
IN00626,C01125,DV00537,29.03,23
IN00627,C01618,DV00991,34.26,10
IN00628,C01167,DV00921,44.65,4
IN00629,C01876,DV01169,32.80,20
IN00630,C01593,DV00789,40.75,22
IN00631,C01026,DV00180,38.25,7
IN00632,C02901,DV00636,34.04,21
IN00633,C02915,DV00828,15.00,22
IN00634,C01764,DV01767,39.78,1
IN00635,C01054,DV01214,33.60,14
IN00636,C01997,DV01455,23.35,15
IN00637,C01401,DV00659,13.07,0
IN00638,C02604,DV00141,12.89,14
IN00639,C02542,DV01302,27.85,5
IN00640,C02975,DV00434,35.00,12
IN00641,C01261,DV01010,38.90,9
IN00642,C02448,DV00301,17.69,11
IN00643,C01499,DV00958,29.72,22
IN00644,C01125,DV00470,42.51,24
IN00645,C01097,DV01130,34.48,10
IN00646,C01340,DV00473,18.51,22
IN00647,C02269,DV01338,5.76,20
IN00648,C01669,DV00070,19.24,18
IN00649,C02377,DV00503,7.39,4
IN00650,C02493,DV00413,17.22,6
IN00651,C02747,DV01288,27.61,1
IN00652,C02109,DV00450,6.56,0
IN00653,C02225,DV00860,41.45,1
IN00654,C01906,DV01192,10.75,20
IN00655,C01635,DV00468,16.18,20
IN00656,C01692,DV00093,29.63,13
IN00657,C01341,DV00375,13.74,2
IN00658,C01217,DV01293,36.37,3
IN00659,C02163,DV00082,37.70,19
IN00660,C01132,DV00865,8.57,4
IN00661,C01292,DV01534,39.60,4
IN00662,C01214,DV00736,6.07,8
IN00663,C01268,DV01312,9.99,4
IN00664,C02300,DV01556,9.31,3
IN00665,C01712,DV00571,32.78,15
IN00666,C01531,DV00199,28.24,14
IN00667,C01331,DV00620,16.87,14
IN00668,C02168,DV01482,21.16,15
IN00669,C01854,DV01205,30.53,13
IN00670,C01355,DV00535,30.35,9
IN00671,C01125,DV01541,6.32,2
IN00672,C02628,DV01566,5.44,9
IN00673,C01525,DV01257,19.34,6
IN00674,C02711,DV00149,21.91,19
IN00675,C02945,DV01446,24.16,3
IN00676,C01897,DV00411,38.43,19
IN00677,C02037,DV01132,10.43,14
IN00678,C02166,DV00776,10.64,18
IN00679,C02533,DV00148,8.08,9
IN00680,C01682,DV00196,42.18,10
IN00681,C01133,DV01489,11.29,14
IN00682,C02817,DV01361,15.67,12
IN00683,C02067,DV01608,43.01,15
IN00684,C02174,DV01182,10.09,12
IN00685,C01105,DV01640,19.46,14
IN00686,C02034,DV01722,32.49,24
IN00687,C02242,DV01767,42.59,17
IN00688,C01822,DV00779,41.04,21
IN00689,C02843,DV00154,27.65,9
IN00690,C01156,DV00460,38.76,16
IN00691,C02270,DV00851,38.81,20
IN00692,C01165,DV00370,24.25,3
IN00693,C01505,DV00515,10.39,16
IN00694,C01591,DV00372,29.81,21
IN00695,C01139,DV00917,9.50,16
IN00696,C01364,DV00392,44.09,10
IN00697,C01403,DV01688,38.66,7
