subscription_id,country,charge_usd,ts
S01135,DE,42.60,2025-03-15T20:15:00Z
S00736,MX,41.89,2025-03-20T17:02:00Z
S00006,DE,35.57,2025-03-21T00:06:00Z
S00950,JP,38.72,2025-03-04T22:59:00Z
S01282,DE,24.93,2025-03-17T20:50:00Z
S00934,UK,5.89,2025-03-22T13:06:00Z
S00129,JP,47.37,2025-03-20T07:48:00Z
S00195,CA,47.65,2025-03-28T03:25:00Z
S00067,DE,7.73,2025-03-26T02:22:00Z
S00107,UK,23.15,2025-03-13T05:57:00Z
S01982,MX,43.96,2025-03-05T19:49:00Z
S01536,UK,49.99,2025-03-21T23:27:00Z
S01041,DE,1.83,2025-03-02T09:08:00Z
S01369,JP,40.34,2025-03-09T03:07:00Z
S00730,MX,23.87,2025-03-10T23:34:00Z
S00838,CA,18.05,2025-03-14T02:51:00Z
S01008,CA,21.62,2025-03-13T21:54:00Z
S00256,CA,41.32,2025-03-01T00:51:00Z
S01751,MX,2.73,2025-03-18T18:24:00Z
S01694,MX,32.69,2025-03-04T01:06:00Z
S00014,CA,17.46,2025-03-09T19:30:00Z
S01657,JP,19.82,2025-03-22T11:51:00Z
S00975,DE,18.48,2025-03-10T21:19:00Z
S00143,CA,30.71,2025-03-20T06:59:00Z
S00476,UK,37.92,2025-03-17T20:37:00Z
S01319,JP,35.83,2025-03-10T15:36:00Z
S01508,DE,46.95,2025-03-14T06:45:00Z
S00985,MX,22.22,2025-03-10T15:04:00Z
S01360,JP,47.11,2025-03-07T22:28:00Z
S01162,UK,42.24,2025-03-18T15:24:00Z
S01697,CA,37.41,2025-03-01T17:57:00Z
S01511,UK,27.80,2025-03-19T19:18:00Z
S01015,UK,2.79,2025-03-15T17:59:00Z
S00774,DE,17.63,2025-03-04T12:22:00Z
S00177,JP,48.70,2025-03-05T12:33:00Z
S00430,MX,17.91,2025-03-23T15:32:00Z
S00984,MX,35.45,2025-03-09T10:51:00Z
S00205,JP,5.51,2025-03-06T08:48:00Z
S00399,CA,44.25,2025-03-06T05:40:00Z
S00948,DE,11.29,2025-03-11T14:51:00Z
S01248,UK,15.02,2025-03-26T21:18:00Z
S00154,JP,29.69,2025-03-22T01:32:00Z
S00663,CA,46.24,2025-03-05T11:20:00Z
S01542,JP,21.80,2025-03-11T22:35:00Z
S00320,JP,38.32,2025-03-20T16:13:00Z
S00852,MX,16.82,2025-03-13T21:34:00Z
S00561,UK,39.49,2025-03-26T07:34:00Z
S00868,UK,49.94,2025-03-12T04:54:00Z
S01329,DE,14.41,2025-03-11T11:40:00Z
S00501,JP,37.38,2025-03-14T04:38:00Z
S01315,DE,33.41,2025-03-06T09:53:00Z
S00378,CA,35.08,2025-03-17T21:02:00Z
S00488,DE,26.24,2025-03-20T11:11:00Z
S00403,UK,26.94,2025-03-05T04:12:00Z
S01644,DE,17.06,2025-03-17T16:14:00Z
S00223,JP,8.01,2025-03-11T10:32:00Z
S00949,MX,43.98,2025-03-26T01:01:00Z
S00116,DE,10.81,2025-03-13T10:19:00Z
S01664,DE,44.56,2025-03-26T19:35:00Z
S00403,UK,2.27,2025-03-18T09:14:00Z
S00659,MX,40.91,2025-03-08T22:39:00Z
S00395,UK,12.07,2025-03-15T19:48:00Z
S01901,MX,22.47,2025-03-04T08:09:00Z
S00502,UK,31.38,2025-03-28T17:20:00Z
S00089,CA,5.75,2025-03-23T02:39:00Z
S01978,JP,22.74,2025-03-08T13:43:00Z
S01650,DE,29.12,2025-03-25T10:17:00Z
S00969,CA,12.57,2025-03-24T21:46:00Z
S01542,UK,41.60,2025-03-14T23:04:00Z
S01961,CA,48.33,2025-03-17T22:04:00Z
S00146,CA,7.20,2025-03-12T07:56:00Z
S01537,DE,45.39,2025-03-24T11:58:00Z
S00561,MX,46.50,2025-03-24T12:32:00Z
S00970,CA,7.78,2025-03-25T17:47:00Z
S01240,MX,25.07,2025-03-09T05:07:00Z
S00783,MX,42.20,2025-03-17T20:51:00Z
S01227,DE,26.28,2025-03-08T02:59:00Z
S00184,JP,15.82,2025-03-24T02:31:00Z
S01008,UK,9.47,2025-03-21T06:17:00Z
S00857,CA,39.77,2025-03-25T10:02:00Z
S01701,DE,27.51,2025-03-22T05:51:00Z
S01616,UK,3.27,2025-03-10T17:07:00Z
S00108,DE,5.33,2025-03-08T06:32:00Z
S01526,DE,21.35,2025-03-15T23:01:00Z
S01297,JP,1.41,2025-03-15T06:24:00Z
S01127,UK,24.50,2025-03-15T19:11:00Z
S00788,UK,11.38,2025-03-19T02:53:00Z
S00679,UK,11.68,2025-03-25T09:45:00Z
S01485,CA,23.50,2025-03-08T06:10:00Z
S01671,JP,35.08,2025-03-16T16:01:00Z
S01611,CA,45.96,2025-03-27T09:56:00Z
S00558,UK,2.52,2025-03-25T05:52:00Z
S01389,UK,21.92,2025-03-09T02:19:00Z
S00338,JP,23.16,2025-03-26T18:40:00Z
S00747,DE,6.80,2025-03-03T18:46:00Z
S01376,UK,13.06,2025-03-12T05:12:00Z
S01512,UK,6.35,2025-03-20T18:02:00Z
S00026,CA,47.16,2025-03-17T03:55:00Z
S01127,DE,2.12,2025-03-01T14:37:00Z
S00730,MX,28.78,2025-03-17T12:13:00Z
S00678,DE,29.02,2025-03-07T22:53:00Z
S01888,MX,45.23,2025-03-16T20:30:00Z
S00011,UK,28.58,2025-03-10T15:32:00Z
S01240,CA,20.07,2025-03-05T19:10:00Z
S00049,UK,44.75,2025-03-02T18:10:00Z
S01014,JP,20.40,2025-03-07T10:37:00Z
S00043,JP,16.60,2025-03-15T00:59:00Z
S01301,MX,49.34,2025-03-07T12:18:00Z
S00036,JP,43.97,2025-03-23T12:23:00Z
S00598,MX,11.84,2025-03-27T19:00:00Z
S00934,MX,8.92,2025-03-27T15:56:00Z
S00715,UK,25.39,2025-03-20T23:43:00Z
S00572,CA,26.27,2025-03-11T12:47:00Z
S00951,MX,3.15,2025-03-07T12:59:00Z
S01902,DE,31.58,2025-03-06T13:11:00Z
S01511,MX,28.49,2025-03-11T12:05:00Z
S00712,MX,18.70,2025-03-17T10:14:00Z
S00394,JP,32.55,2025-03-18T18:14:00Z
S00763,JP,38.90,2025-03-16T10:35:00Z
S00259,CA,38.24,2025-03-25T22:07:00Z
S00837,DE,13.26,2025-03-12T02:02:00Z
S00093,CA,3.78,2025-03-04T13:41:00Z
S00245,UK,15.63,2025-03-02T15:50:00Z
S00937,MX,45.06,2025-03-13T13:52:00Z
S01480,UK,37.99,2025-03-22T05:33:00Z
S01121,JP,38.19,2025-03-28T15:06:00Z
S00605,UK,29.90,2025-03-11T17:15:00Z
S01572,CA,14.59,2025-03-20T13:38:00Z
S01176,MX,45.22,2025-03-15T13:44:00Z
S01370,CA,25.27,2025-03-16T12:41:00Z
S01612,UK,29.03,2025-03-13T09:02:00Z
S01207,CA,33.75,2025-03-22T21:11:00Z
S00491,JP,27.41,2025-03-09T08:35:00Z
S00643,CA,47.35,2025-03-08T06:57:00Z
S00014,UK,18.76,2025-03-05T20:48:00Z
S00370,MX,26.85,2025-03-14T17:57:00Z
S00335,JP,10.37,2025-03-24T02:55:00Z
S01899,DE,43.29,2025-03-08T21:18:00Z
S00972,MX,11.81,2025-03-03T19:59:00Z
S01934,JP,6.43,2025-03-04T22:21:00Z
S01373,DE,2.11,2025-03-06T14:41:00Z
S01363,UK,31.32,2025-03-20T17:20:00Z
S00737,MX,9.36,2025-03-01T03:32:00Z
S01829,UK,1.20,2025-03-27T10:20:00Z
S00094,UK,27.22,2025-03-12T10:43:00Z
S01380,DE,11.16,2025-03-13T13:18:00Z
S00250,DE,11.16,2025-03-06T15:12:00Z
S00529,CA,29.78,2025-03-09T09:50:00Z
S00711,UK,20.53,2025-03-23T20:53:00Z
S00616,JP,44.14,2025-03-25T08:02:00Z
S00193,DE,32.11,2025-03-27T23:20:00Z
S01580,UK,1.19,2025-03-22T20:30:00Z
S00843,JP,36.29,2025-03-21T01:30:00Z
S01880,CA,5.21,2025-03-10T13:43:00Z
S01841,JP,38.50,2025-03-23T07:20:00Z
S01366,DE,47.01,2025-03-25T11:34:00Z
S01729,CA,28.41,2025-03-24T03:25:00Z
S01465,DE,4.38,2025-03-13T21:36:00Z
S00870,DE,33.75,2025-03-14T16:21:00Z
S01239,DE,33.37,2025-03-13T02:03:00Z
S00831,UK,27.67,2025-03-17T18:28:00Z
S01353,UK,12.03,2025-03-16T21:36:00Z
S00663,JP,26.15,2025-03-09T15:11:00Z
S01438,MX,42.20,2025-03-02T01:49:00Z
S01498,JP,2.56,2025-03-12T08:10:00Z
S00899,UK,43.39,2025-03-21T10:21:00Z
S01553,UK,37.25,2025-03-19T01:15:00Z
S01085,DE,48.59,2025-03-28T09:09:00Z
S01150,UK,3.60,2025-03-07T17:14:00Z
S01406,DE,42.04,2025-03-08T19:10:00Z
S00047,MX,33.79,2025-03-05T16:55:00Z
S01402,DE,12.43,2025-03-21T00:05:00Z
S01259,CA,47.40,2025-03-23T23:44:00Z
S01724,UK,19.62,2025-03-16T10:48:00Z
S00075,JP,32.36,2025-03-27T00:09:00Z
S00862,UK,38.69,2025-03-17T01:24:00Z
S01165,MX,6.13,2025-03-20T07:47:00Z
S01531,JP,27.03,2025-03-23T10:41:00Z
S01758,CA,11.23,2025-03-05T06:13:00Z
S00907,DE,25.68,2025-03-09T17:37:00Z
S01841,UK,18.69,2025-03-13T16:36:00Z
S01836,UK,25.18,2025-03-15T03:31:00Z
S00446,MX,33.52,2025-03-25T08:51:00Z
S00153,CA,9.69,2025-03-28T23:04:00Z
S00845,UK,44.51,2025-03-08T14:31:00Z
S00420,UK,15.89,2025-03-20T00:12:00Z
S01000,CA,1.15,2025-03-19T15:02:00Z
S01047,JP,33.91,2025-03-09T20:18:00Z
S01509,UK,11.05,2025-03-09T11:31:00Z
S00194,CA,34.76,2025-03-07T09:52:00Z
S01803,UK,25.99,2025-03-16T18:58:00Z
S00604,CA,42.71,2025-03-02T11:38:00Z
S01024,DE,38.00,2025-03-25T16:54:00Z
S00736,UK,21.29,2025-03-10T00:09:00Z
S01605,MX,2.59,2025-03-28T03:50:00Z
S00662,JP,9.31,2025-03-24T16:00:00Z
S00396,CA,43.55,2025-03-08T20:25:00Z
S01867,CA,35.82,2025-03-20T12:39:00Z
S00675,MX,46.18,2025-03-07T14:41:00Z
S00609,CA,36.77,2025-03-09T05:36:00Z
S01822,DE,32.73,2025-03-08T21:13:00Z
S01611,MX,27.72,2025-03-04T12:05:00Z
S00595,MX,23.60,2025-03-26T05:06:00Z
S01814,UK,22.14,2025-03-09T00:14:00Z
S00635,JP,27.01,2025-03-11T02:13:00Z
S01153,MX,15.12,2025-03-25T10:30:00Z
S00264,UK,31.34,2025-03-04T06:39:00Z
S01229,UK,22.34,2025-03-17T03:11:00Z
S01429,UK,38.15,2025-03-21T08:36:00Z
S00947,MX,46.28,2025-03-10T17:01:00Z
S00297,DE,32.34,2025-03-18T22:36:00Z
S00927,CA,18.31,2025-03-08T07:49:00Z
S00545,CA,46.10,2025-03-16T16:28:00Z
S00789,UK,45.24,2025-03-02T10:04:00Z
S00053,CA,20.74,2025-03-18T06:57:00Z
S00700,CA,37.42,2025-03-08T04:26:00Z
S01146,MX,7.35,2025-03-19T08:15:00Z
S01186,DE,33.81,2025-03-01T20:27:00Z
S00834,JP,22.51,2025-03-04T08:33:00Z
S00491,MX,37.97,2025-03-08T10:12:00Z
S00143,DE,41.47,2025-03-10T19:24:00Z
S00759,MX,42.44,2025-03-25T06:57:00Z
S00788,UK,48.63,2025-03-28T15:40:00Z
S01370,UK,5.09,2025-03-27T08:06:00Z
S01962,CA,44.82,2025-03-28T15:23:00Z
S01312,MX,14.98,2025-03-28T14:55:00Z
S01568,JP,42.27,2025-03-06T10:25:00Z
S00809,JP,44.04,2025-03-23T09:02:00Z
S01091,JP,42.38,2025-03-23T01:25:00Z
S01489,UK,3.72,2025-03-18T10:36:00Z
S01851,CA,47.97,2025-03-25T07:31:00Z
S00290,CA,45.40,2025-03-21T14:54:00Z
S00453,MX,5.36,2025-03-27T16:25:00Z
S01218,JP,10.11,2025-03-16T10:03:00Z
S01185,CA,14.04,2025-03-02T14:10:00Z
S00880,CA,8.93,2025-03-15T20:12:00Z
S00982,UK,2.38,2025-03-03T06:23:00Z
S01741,MX,12.74,2025-03-19T17:32:00Z
S01365,JP,48.73,2025-03-16T20:18:00Z
S01530,UK,45.59,2025-03-26T03:18:00Z
S01568,DE,19.09,2025-03-19T18:07:00Z
S00739,DE,1.21,2025-03-10T20:26:00Z
S01675,DE,30.45,2025-03-04T19:32:00Z
S01119,DE,11.59,2025-03-25T01:57:00Z
S01143,UK,43.34,2025-03-18T12:23:00Z
S00047,JP,19.11,2025-03-07T07:09:00Z
S01769,CA,2.80,2025-03-27T16:36:00Z
S00235,CA,35.15,2025-03-05T23:20:00Z
S00068,UK,42.31,2025-03-12T18:24:00Z
S01839,JP,47.60,2025-03-28T18:21:00Z
S00504,UK,2.42,2025-03-04T14:37:00Z
S00230,UK,3.47,2025-03-24T15:15:00Z
S01537,CA,43.22,2025-03-07T19:24:00Z
S00584,DE,18.10,2025-03-02T18:34:00Z
S01049,DE,42.39,2025-03-15T05:27:00Z
S01086,MX,45.49,2025-03-07T18:55:00Z
S01767,MX,49.28,2025-03-03T22:27:00Z
S00693,CA,22.20,2025-03-06T18:51:00Z
S01816,MX,7.02,2025-03-20T21:34:00Z
S01244,CA,31.55,2025-03-07T22:23:00Z
S00576,DE,40.78,2025-03-20T23:17:00Z
S01079,DE,6.64,2025-03-14T18:55:00Z
S00553,UK,32.67,2025-03-02T21:40:00Z
S01553,JP,4.71,2025-03-13T09:19:00Z
S01359,CA,32.19,2025-03-07T21:02:00Z
S00730,DE,11.50,2025-03-06T06:12:00Z
S00779,JP,17.88,2025-03-28T07:28:00Z
S00183,DE,46.54,2025-03-09T20:49:00Z
S00395,DE,35.64,2025-03-08T00:53:00Z
S01133,MX,35.30,2025-03-09T00:06:00Z
S01374,MX,36.14,2025-03-09T06:13:00Z
S00039,JP,35.32,2025-03-04T08:03:00Z
S00243,CA,38.46,2025-03-28T21:48:00Z
S01901,MX,13.65,2025-03-03T19:10:00Z
S00999,UK,26.04,2025-03-23T03:42:00Z
S00737,CA,35.28,2025-03-12T12:01:00Z
S00963,JP,18.76,2025-03-24T17:09:00Z
S00177,DE,23.45,2025-03-12T23:56:00Z
S00112,UK,42.46,2025-03-11T21:58:00Z
S01200,JP,14.16,2025-03-18T16:03:00Z
S01891,JP,41.23,2025-03-18T15:16:00Z
S01032,JP,37.07,2025-03-06T04:06:00Z
S01202,JP,42.71,2025-03-12T08:51:00Z
S01517,UK,1.72,2025-03-25T11:47:00Z
S01109,CA,35.25,2025-03-21T15:46:00Z
S01266,JP,43.07,2025-03-22T02:15:00Z
S00087,CA,23.06,2025-03-09T12:00:00Z
S00378,DE,37.38,2025-03-08T13:09:00Z
S00804,UK,28.48,2025-03-15T22:27:00Z
S00431,JP,1.36,2025-03-12T17:59:00Z
S00938,CA,9.18,2025-03-07T05:17:00Z
S00962,CA,28.23,2025-03-16T18:45:00Z
S00362,MX,40.78,2025-03-05T23:31:00Z
S01052,DE,18.64,2025-03-26T08:11:00Z
S00516,DE,20.05,2025-03-09T07:22:00Z
S00766,CA,40.41,2025-03-11T03:26:00Z
S01451,CA,42.90,2025-03-20T04:33:00Z
S00360,JP,48.16,2025-03-12T22:31:00Z
S00922,JP,25.25,2025-03-22T07:46:00Z
S00467,DE,17.66,2025-03-09T12:03:00Z
S00211,MX,35.59,2025-03-13T12:43:00Z
S00595,MX,25.44,2025-03-26T02:20:00Z
S01597,UK,31.57,2025-03-18T21:35:00Z
S01364,CA,8.47,2025-03-08T19:09:00Z
S00087,CA,45.08,2025-03-09T08:25:00Z
S00169,CA,24.93,2025-03-14T08:52:00Z
S01797,MX,14.38,2025-03-21T05:46:00Z
S00802,JP,39.28,2025-03-02T05:37:00Z
S00336,DE,11.80,2025-03-27T17:44:00Z
S00624,DE,32.61,2025-03-19T07:52:00Z
S00053,UK,34.03,2025-03-06T20:08:00Z
S00817,JP,30.74,2025-03-10T11:11:00Z
S01802,DE,3.87,2025-03-28T22:42:00Z
S01116,CA,42.24,2025-03-09T08:55:00Z
S01361,JP,21.87,2025-03-12T18:24:00Z
S01747,JP,41.53,2025-03-17T14:56:00Z
S00143,UK,34.50,2025-03-20T00:57:00Z
S00185,MX,34.65,2025-03-28T18:21:00Z
S00218,MX,8.55,2025-03-08T05:12:00Z
S01391,MX,48.56,2025-03-24T09:06:00Z
S00414,UK,2.78,2025-03-18T21:38:00Z
S01281,UK,16.61,2025-03-20T07:50:00Z
S01011,CA,35.42,2025-03-16T20:54:00Z
S01205,UK,29.07,2025-03-02T02:00:00Z
S01433,MX,31.18,2025-03-14T06:00:00Z
S01704,UK,47.46,2025-03-22T06:23:00Z
S00940,JP,40.57,2025-03-11T14:11:00Z
S01031,MX,18.84,2025-03-23T11:03:00Z
S00217,DE,36.25,2025-03-26T13:20:00Z
S00266,DE,11.28,2025-03-04T18:02:00Z
S01516,MX,9.64,2025-03-05T10:45:00Z
S01608,JP,26.70,2025-03-13T00:30:00Z
S01280,MX,37.22,2025-03-13T21:21:00Z
S01341,DE,18.56,2025-03-24T19:54:00Z
S01832,UK,7.88,2025-03-11T13:23:00Z
S01456,DE,16.33,2025-03-27T22:39:00Z
S00908,MX,39.43,2025-03-27T20:32:00Z
S01116,JP,12.59,2025-03-12T11:45:00Z
S00701,JP,28.65,2025-03-25T11:25:00Z
S01852,DE,20.48,2025-03-27T04:46:00Z
S00278,MX,49.44,2025-03-03T19:52:00Z
S00672,MX,41.48,2025-03-07T04:49:00Z
S00107,MX,37.24,2025-03-05T16:22:00Z
S01028,MX,10.05,2025-03-19T20:41:00Z
S01435,MX,9.39,2025-03-10T06:29:00Z
S01087,DE,14.53,2025-03-23T06:13:00Z
S00346,UK,4.96,2025-03-17T10:16:00Z
S00993,CA,42.44,2025-03-20T07:05:00Z
S00347,UK,36.82,2025-03-06T10:58:00Z
S00824,JP,32.58,2025-03-18T13:01:00Z
S01573,MX,38.17,2025-03-10T14:07:00Z
S01077,CA,12.18,2025-03-18T11:14:00Z
S00886,CA,48.03,2025-03-14T01:25:00Z
S00256,CA,2.61,2025-03-26T19:40:00Z
S01905,MX,20.25,2025-03-12T12:00:00Z
S00039,CA,21.03,2025-03-28T22:24:00Z
S00312,MX,27.22,2025-03-02T14:36:00Z
S00426,UK,39.10,2025-03-07T16:09:00Z
S01847,UK,12.86,2025-03-17T18:47:00Z
S01579,CA,24.48,2025-03-03T16:05:00Z
S00282,MX,6.90,2025-03-20T01:33:00Z
S01234,MX,9.74,2025-03-24T15:14:00Z
S00279,DE,10.53,2025-03-11T17:48:00Z
S00267,JP,38.37,2025-03-03T15:28:00Z
S01890,CA,10.15,2025-03-23T00:38:00Z
S01745,MX,40.42,2025-03-25T14:21:00Z
S00775,DE,1.75,2025-03-23T21:00:00Z
S00119,JP,16.20,2025-03-07T16:34:00Z
S00799,MX,4.76,2025-03-14T06:07:00Z
S00017,DE,2.02,2025-03-04T20:20:00Z
S00902,MX,12.40,2025-03-18T05:02:00Z
S00016,DE,4.78,2025-03-02T08:31:00Z
S01791,DE,42.75,2025-03-18T11:27:00Z
S00784,DE,42.23,2025-03-05T01:52:00Z
S00970,CA,28.85,2025-03-02T02:29:00Z
S00470,DE,2.95,2025-03-18T11:06:00Z
S00856,JP,1.68,2025-03-04T18:02:00Z
S01395,DE,14.46,2025-03-26T19:26:00Z
S01980,CA,11.34,2025-03-26T20:33:00Z
S01046,MX,16.04,2025-03-14T23:28:00Z
S01708,CA,19.98,2025-03-01T17:33:00Z
S00919,UK,36.78,2025-03-20T14:34:00Z
S00565,UK,45.56,2025-03-02T00:54:00Z
S01631,DE,28.87,2025-03-02T06:56:00Z
S00320,UK,37.74,2025-03-14T16:22:00Z
S02000,MX,23.38,2025-03-09T11:58:00Z
S00577,CA,13.09,2025-03-09T06:53:00Z
S00612,UK,1.52,2025-03-03T02:49:00Z
S00652,DE,36.40,2025-03-04T14:51:00Z
S01082,CA,38.92,2025-03-15T16:00:00Z
S01797,MX,10.87,2025-03-04T19:42:00Z
S01001,DE,7.24,2025-03-27T02:43:00Z
S00149,DE,45.97,2025-03-24T20:29:00Z
S00624,CA,19.17,2025-03-01T17:22:00Z
S01169,DE,29.20,2025-03-18T11:16:00Z
S01143,MX,46.19,2025-03-21T14:49:00Z
S00244,MX,19.03,2025-03-27T05:28:00Z
S00616,JP,1.07,2025-03-23T13:02:00Z
S00236,CA,47.69,2025-03-04T10:55:00Z
S00823,MX,11.47,2025-03-26T12:33:00Z
S01557,MX,24.48,2025-03-23T09:46:00Z
S00469,MX,25.32,2025-03-05T12:19:00Z
S01985,CA,34.12,2025-03-12T10:07:00Z
S01746,CA,11.56,2025-03-19T02:20:00Z
S00131,CA,8.57,2025-03-04T14:47:00Z
S01229,DE,34.96,2025-03-26T21:41:00Z
S01126,UK,30.15,2025-03-28T08:19:00Z
S01684,UK,5.45,2025-03-09T02:28:00Z
S00642,UK,12.86,2025-03-06T05:36:00Z
S01668,MX,47.37,2025-03-26T19:44:00Z
S01367,DE,2.68,2025-03-24T08:26:00Z
S01463,JP,11.42,2025-03-03T20:38:00Z
S00369,CA,3.53,2025-03-07T08:48:00Z
S01381,DE,21.86,2025-03-05T22:07:00Z
