adjustment_id,subscription_id,amount_usd,reason
AD00236,S01252,11.33,DISPUTE
AD00237,S00557,4.92,GOODWILL
AD00238,S01679,-4.81,ERROR
AD00239,S01991,8.05,GOODWILL
AD00240,S01287,12.76,ERROR
AD00241,S00574,-3.35,ERROR
AD00242,S01440,4.85,GOODWILL
AD00243,S00295,3.14,ERROR
AD00244,S00702,-19.02,ERROR
AD00245,S01300,-9.13,ERROR
AD00246,S00229,-10.21,GOODWILL
AD00247,S01398,1.59,GOODWILL
AD00248,S01850,0.78,ERROR
AD00249,S00615,-3.22,GOODWILL
AD00250,S00238,-11.59,DISPUTE
