subscription_id,prev_plan_id,new_plan_id,effective_date
S00115,P4,P2,2025-03-28
S01268,P3,P4,2025-03-20
S00090,P4,P2,2025-03-01
S01146,P1,P4,2025-03-02
S00848,P3,P2,2025-03-17
S00391,P4,P1,2025-03-25
S00840,P2,P1,2025-03-22
S01478,P4,P1,2025-04-23
S01563,P2,P4,2025-03-30
S00040,P4,P1,2025-03-14
S00428,P1,P4,2025-03-01
S00519,P4,P2,2025-03-14
S00602,P4,P1,2025-03-28
S01772,P4,P2,2025-03-30
S01632,P2,P2,2025-03-05
S01650,P1,P1,2025-01-25
S01163,P4,P1,2025-04-11
S01681,P1,P4,2025-03-01
S00802,P4,P2,2025-03-03
S01591,P2,P1,2025-03-10
S00187,P3,P1,2025-03-12
S00166,P3,P1,2025-03-07
S01606,P4,P2,2025-03-09
S00257,P1,P1,2025-01-05
S00886,P2,P3,2025-03-03
S01288,P2,P1,2025-04-10
S00503,P2,P1,2025-04-24
S01140,P1,P3,2025-03-05
S00607,P3,P1,2025-04-27
S01888,P3,P1,2025-03-27
S01623,P4,P1,2025-03-07
S01434,P3,P1,2025-03-23
S00126,P4,P1,2025-03-07
S00976,P4,P1,2025-04-03
S00430,P1,P1,2025-03-22
S01225,P2,P3,2025-02-11
S01242,P3,P1,2025-01-13
S00324,P4,P2,2025-01-21
S01556,P4,P1,2025-03-05
S01085,P3,P1,2025-04-06
S00074,P1,P3,2025-01-07
S00214,P3,P2,2025-03-09
S00942,P4,P1,2025-03-28
S01765,P1,P1,2025-03-24
S01248,P4,P2,2025-03-14
S01298,P1,P2,2025-03-16
S00281,P2,P1,2025-03-20
S01829,P4,P2,2025-01-27
S01646,P1,P4,2025-04-14
S01024,P3,P1,2025-03-19
S01428,P1,P2,2025-03-21
S00190,P1,P1,2025-03-22
S00769,P3,P2,2025-03-18
S00208,P2,P1,2025-03-12
S00548,P2,P1,2025-03-09
S01099,P2,P1,2025-02-27
S01738,P2,P3,2025-03-19
S01555,P3,P3,2025-03-31
S00749,P3,P1,2025-03-15
S00732,P1,P2,2025-03-02
S00577,P3,P1,2025-02-17
S00175,P3,P2,2025-04-11
S00484,P4,P3,2025-03-15
S00526,P1,P3,2025-03-22
S01814,P1,P2,2025-01-08
S01739,P2,P4,2025-03-15
S01982,P3,P1,2025-01-14
S00987,P3,P2,2025-04-01
S00524,P1,P1,2025-01-11
S01189,P2,P1,2025-03-21
S00064,P2,P1,2025-04-09
S01694,P2,P3,2025-03-10
S00246,P4,P1,2025-02-26
S01233,P1,P4,2025-03-14
S00292,P1,P2,2025-03-31
S00529,P3,P4,2025-02-20
S01147,P3,P4,2025-03-21
S01012,P4,P2,2025-03-13
S01590,P4,P3,2025-03-17
S00476,P1,P2,2025-03-19
S01216,P4,P1,2025-03-19
S00791,P4,P2,2025-03-03
S00273,P3,P3,2025-03-03
S00341,P2,P2,2025-01-10
S01786,P1,P3,2025-01-12
S00377,P1,P2,2025-03-24
S01636,P4,P3,2025-03-23
S00663,P1,P1,2025-01-24
S00069,P3,P4,2025-04-03
S00547,P3,P3,2025-01-06
S00210,P3,P2,2025-03-03
S00073,P2,P1,2025-03-19
S00265,P4,P1,2025-03-07
S00009,P4,P3,2025-03-27
S01616,P3,P1,2025-04-06
S00720,P1,P3,2025-03-22
S00991,P2,P3,2025-03-14
S01564,P1,P1,2025-02-05
S00915,P4,P1,2025-02-23
S00789,P2,P1,2025-03-07
S01365,P3,P2,2025-03-20
S00038,P1,P2,2025-03-17
S01974,P3,P1,2025-03-08
S01126,P2,P1,2025-03-16
S00728,P1,P1,2025-02-13
S01819,P2,P3,2025-01-09
S00665,P4,P2,2025-04-27
S01297,P4,P1,2025-03-27
S01513,P1,P3,2025-01-11
S00940,P4,P2,2025-03-27
S01621,P1,P3,2025-03-08
S01858,P4,P3,2025-02-02
S00029,P4,P3,2025-03-11
S01191,P3,P1,2025-03-04
S01920,P1,P2,2025-03-19
S01340,P1,P3,2025-03-01
S00518,P4,P2,2025-03-05
S01769,P4,P1,2025-03-08
S01303,P4,P2,2025-03-02
S01472,P1,P1,2025-04-24
S00261,P2,P1,2025-03-05
S00610,P4,P1,2025-03-27
S00080,P1,P3,2025-03-01
S00252,P3,P2,2025-03-09
S01329,P3,P1,2025-03-01
S00105,P3,P1,2025-02-13
S00867,P2,P3,2025-04-24
S00303,P1,P2,2025-03-28
S00888,P1,P3,2025-03-11
S00160,P1,P2,2025-01-15
S01625,P1,P4,2025-01-16
S01665,P1,P2,2025-03-08
S00585,P2,P1,2025-03-22
S00899,P1,P2,2025-03-13
S01504,P4,P2,2025-03-23
S00422,P3,P1,2025-03-17
S01230,P2,P1,2025-03-11
S01385,P4,P2,2025-03-20
S00279,P2,P4,2025-03-09
S00606,P2,P1,2025-03-13
S01417,P4,P1,2025-03-18
S01211,P1,P2,2025-03-06
S00055,P1,P2,2025-02-11
S00353,P2,P2,2025-02-17
S01197,P4,P3,2025-03-08
S00924,P4,P1,2025-01-20
S01615,P3,P2,2025-03-20
S01926,P4,P2,2025-01-13
S00280,P1,P3,2025-04-04
S00470,P4,P3,2025-03-04
S00361,P3,P3,2025-04-13
S01050,P3,P2,2025-03-02
S01883,P3,P4,2025-03-23
S01885,P1,P3,2025-03-10
S00297,P4,P1,2025-02-02
S01323,P4,P1,2025-03-23
S01208,P1,P2,2025-01-01
S01686,P2,P2,2025-01-27
S01521,P3,P2,2025-02-02
S00669,P4,P1,2025-03-04
S01533,P4,P2,2025-03-24
S01257,P2,P2,2025-02-20
S00525,P4,P2,2025-03-02
S01726,P3,P1,2025-03-02
S01682,P2,P4,2025-01-26
S00908,P1,P2,2025-03-01
S00641,P1,P1,2025-02-02
S01679,P3,P3,2025-03-31
S01637,P1,P4,2025-04-18
S00006,P3,P2,2025-03-17
S01538,P2,P3,2025-03-21
S00081,P1,P4,2025-03-21
S00455,P2,P1,2025-03-21
S01240,P3,P2,2025-03-29
S00651,P2,P4,2025-03-02
S00119,P4,P3,2025-03-02
S00835,P3,P1,2025-04-10
S00296,P1,P3,2025-03-03
S01973,P4,P1,2025-01-13
S01657,P2,P3,2025-04-20
S01390,P1,P3,2025-03-11
S00619,P3,P1,2025-01-26
S00892,P4,P1,2025-01-03
S00957,P1,P4,2025-03-30
S00971,P1,P2,2025-02-09
S01278,P3,P2,2025-02-23
S00561,P2,P4,2025-03-28
S00201,P1,P3,2025-03-02
S00337,P3,P2,2025-03-06
S00181,P1,P2,2025-03-14
S01722,P4,P1,2025-03-06
S01763,P2,P2,2025-02-10
S00673,P4,P1,2025-03-08
S00580,P4,P2,2025-03-22
S00462,P3,P1,2025-03-14
S00637,P1,P2,2025-04-06
S00209,P3,P1,2025-01-26
S01253,P4,P1,2025-03-26
S01462,P3,P3,2025-01-14
S00222,P1,P2,2025-03-06
S01721,P3,P2,2025-01-08
S01194,P1,P4,2025-03-15
S01104,P1,P4,2025-03-25
S00636,P1,P2,2025-03-14
S00169,P2,P1,2025-03-24
S00452,P4,P1,2025-03-09
S00514,P3,P2,2025-03-26
S00322,P4,P3,2025-03-08
S00556,P4,P1,2025-03-09
S01968,P3,P2,2025-02-01
S00599,P4,P3,2025-03-13
S01713,P1,P3,2025-03-26
S01141,P4,P2,2025-03-08
S01175,P3,P2,2025-03-18
S00932,P3,P2,2025-03-22
S01036,P1,P4,2025-03-28
S00478,P3,P1,2025-03-22
S01866,P2,P1,2025-03-22
S01562,P2,P1,2025-03-25
S00964,P4,P2,2025-03-27
S00834,P1,P1,2025-01-01
S01810,P3,P1,2025-03-19
S00583,P4,P1,2025-03-06
S01550,P2,P1,2025-03-20
S01438,P2,P3,2025-03-28
S01647,P1,P3,2025-02-11
S00010,P1,P1,2025-02-13
S00140,P2,P2,2025-03-11
S00648,P3,P1,2025-03-28
S00495,P1,P3,2025-03-08
S00148,P4,P1,2025-03-22
S01089,P1,P1,2025-04-04
S00777,P2,P2,2025-02-26
S01404,P3,P2,2025-02-14
S01971,P2,P2,2025-03-10
S00135,P3,P1,2025-03-07
S00005,P1,P1,2025-02-13
S01553,P4,P1,2025-03-21
S01730,P4,P1,2025-03-28
S01172,P1,P1,2025-04-22
S01881,P3,P1,2025-03-12
S01598,P4,P1,2025-03-18
S01613,P3,P3,2025-03-03
S01487,P4,P2,2025-03-12
S01999,P2,P2,2025-04-18
S00612,P4,P2,2025-03-03
S01594,P3,P1,2025-03-04
S00137,P3,P1,2025-03-30
S01373,P2,P2,2025-03-09
S01666,P1,P2,2025-03-23
S01806,P4,P1,2025-03-19
S01299,P2,P1,2025-01-11
S01984,P3,P1,2025-03-24
S01827,P3,P1,2025-03-04
S01699,P1,P1,2025-03-02
S01944,P1,P1,2025-02-18
S00047,P2,P1,2025-01-22
S00437,P4,P2,2025-03-16
S01652,P4,P2,2025-03-28
S01587,P3,P3,2025-01-05
S00072,P1,P1,2025-03-11
S00141,P4,P2,2025-03-30
S01309,P1,P3,2025-04-21
S01361,P4,P2,2025-02-15
S01019,P4,P1,2025-03-08
S01413,P4,P1,2025-03-02
S00123,P1,P1,2025-03-24
S01801,P4,P1,2025-04-06
S01443,P3,P2,2025-03-06
S01716,P4,P2,2025-01-14
S01274,P3,P2,2025-04-01
S00390,P3,P2,2025-03-29
S00475,P3,P1,2025-03-01
S01849,P4,P1,2025-03-29
S01910,P1,P2,2025-03-14
S00893,P2,P4,2025-03-12
S00109,P1,P2,2025-02-10
S01908,P2,P1,2025-03-05
S00456,P2,P1,2025-03-18
S01660,P1,P4,2025-03-12
S01301,P3,P3,2025-01-01
S01384,P2,P4,2025-03-19
S00701,P1,P2,2025-03-22
S01379,P3,P2,2025-03-27
S00084,P4,P2,2025-03-20
S01503,P3,P2,2025-03-15
S00629,P4,P1,2025-03-12
S00157,P2,P3,2025-03-01
S01359,P4,P3,2025-03-17
S01907,P4,P2,2025-03-11
S00925,P3,P2,2025-03-08
S00999,P1,P3,2025-02-08
S00092,P1,P3,2025-03-26
S00937,P1,P2,2025-01-12
S00443,P1,P1,2025-03-21
S00588,P2,P1,2025-04-04
S00714,P1,P2,2025-04-02
S00564,P3,P2,2025-03-10
S01162,P2,P1,2025-01-01
S01868,P4,P1,2025-01-01
S00131,P3,P1,2025-03-01
S01038,P3,P4,2025-01-09
S00076,P2,P1,2025-03-07
S00070,P2,P1,2025-04-03
S01180,P4,P1,2025-04-02
S01640,P1,P4,2025-03-25
S01917,P4,P2,2025-03-17
S00576,P4,P2,2025-03-25
S01575,P1,P2,2025-01-04
S00603,P4,P3,2025-03-18
S01018,P4,P1,2025-03-04
S01872,P2,P1,2025-03-25
S00692,P2,P2,2025-03-11
S01490,P3,P1,2025-03-30
S01605,P2,P1,2025-03-01
S00285,P4,P1,2025-03-28
S00489,P2,P1,2025-01-20
S00650,P2,P2,2025-03-07
S01528,P3,P3,2025-03-04
S01878,P2,P1,2025-03-01
S00378,P1,P2,2025-03-09
S01322,P3,P1,2025-03-17
S00059,P4,P1,2025-03-27
S01027,P4,P1,2025-03-18
S00917,P4,P4,2025-03-06
S01087,P4,P1,2025-03-17
S00851,P3,P1,2025-03-12
S01577,P3,P1,2025-03-05
S01934,P2,P1,2025-03-04
S01326,P4,P3,2025-01-11
S01437,P3,P1,2025-03-13
S00494,P3,P4,2025-03-14
S01033,P4,P3,2025-03-02
S00368,P4,P3,2025-04-09
S01066,P1,P2,2025-03-12
S00986,P2,P3,2025-03-17
S01145,P4,P2,2025-03-19
S01764,P3,P2,2025-03-19
S00771,P1,P2,2025-03-20
S01207,P4,P1,2025-02-22
S00099,P3,P1,2025-02-21
S00967,P4,P1,2025-03-12
S01201,P1,P2,2025-02-20
S01448,P4,P3,2025-03-20
S00573,P4,P1,2025-03-16
S00408,P4,P1,2025-03-14
S00596,P4,P1,2025-03-08
S00836,P4,P2,2025-02-12
S01343,P1,P2,2025-03-11
S00027,P4,P2,2025-03-27
S01796,P1,P2,2025-03-01
S00642,P2,P1,2025-03-28
S01703,P2,P1,2025-03-05
S00657,P2,P4,2025-01-14
S00773,P1,P4,2025-03-28
S00508,P1,P2,2025-02-19
S01622,P2,P1,2025-01-26
S00147,P1,P2,2025-03-30
S01807,P4,P1,2025-03-08
S01970,P3,P3,2025-01-19
S01310,P1,P3,2025-03-28
S01736,P4,P1,2025-03-22
S01542,P3,P1,2025-02-07
S00857,P2,P1,2025-02-20
S00951,P2,P1,2025-03-20
S00366,P2,P2,2025-04-14
S00304,P2,P4,2025-03-26
S00763,P4,P1,2025-01-07
S00712,P2,P2,2025-01-03
S01005,P4,P3,2025-03-21
S01795,P4,P2,2025-03-04
S01345,P3,P2,2025-03-07
S00863,P3,P3,2025-04-14
S01105,P3,P3,2025-03-08
S00302,P1,P1,2025-03-30
S00660,P3,P1,2025-03-04
S00319,P4,P3,2025-03-20
S00294,P3,P2,2025-02-17
S01362,P3,P1,2025-03-26
S00035,P4,P1,2025-03-29
S00919,P4,P1,2025-03-30
S01607,P2,P4,2025-03-24
S00044,P1,P2,2025-03-29
S01724,P4,P3,2025-03-12
S01809,P1,P4,2025-03-19
S01834,P3,P2,2025-03-17
S01836,P1,P1,2025-03-20
S00112,P2,P1,2025-03-14
S01008,P3,P1,2025-03-01
S01321,P3,P2,2025-03-18
S01013,P4,P3,2025-03-30
S01076,P2,P2,2025-01-03
S01065,P3,P2,2025-02-25
S01710,P1,P1,2025-02-11
S01913,P3,P1,2025-03-08
S01850,P3,P1,2025-03-15
S01144,P2,P1,2025-03-14
S00994,P4,P3,2025-03-01
S00948,P3,P1,2025-03-02
S01224,P3,P4,2025-04-15
S00975,P1,P1,2025-01-06
S01752,P2,P2,2025-02-24
S01963,P1,P2,2025-01-12
S00440,P3,P1,2025-03-24
