subscription_id,snapshot_date,status,plan_id
S01376,2025-02-01,CANCELLED,P1
S01331,2025-02-07,CANCELLED,P3
S00503,2025-01-21,CANCELLED,P3
S00788,2025-02-21,SUSPENDED,P3
S00332,2025-02-28,SUSPENDED,P2
S01635,2025-02-02,SUSPENDED,P1
S01418,2025-01-18,CANCELLED,P2
S01153,2025-02-12,CANCELLED,P2
S01785,2025-02-05,SUSPENDED,P2
S01512,2025-01-22,CANCELLED,P4
S00698,2025-02-13,CANCELLED,P4
S00849,2025-02-21,ACTIVE,P1
S01240,2025-01-06,CANCELLED,P2
S00279,2025-02-17,ACTIVE,P1
S00889,2025-02-20,CANCELLED,P4
S00672,2025-01-23,CANCELLED,P2
S00067,2025-01-15,ACTIVE,P3
S00402,2025-01-21,SUSPENDED,P3
S01899,2025-01-02,CANCELLED,P2
S01980,2025-01-10,ACTIVE,P3
S00901,2025-02-08,SUSPENDED,P1
S00842,2025-01-04,ACTIVE,P2
S01911,2025-01-05,SUSPENDED,P2
S00810,2025-02-11,CANCELLED,P1
S01668,2025-02-13,CANCELLED,P4
S00723,2025-01-23,CANCELLED,P3
S00864,2025-01-28,SUSPENDED,P1
S01006,2025-02-26,ACTIVE,P4
S00911,2025-01-15,CANCELLED,P3
S01338,2025-02-24,ACTIVE,P2
S01333,2025-01-25,ACTIVE,P4
S00352,2025-02-25,ACTIVE,P3
S01869,2025-01-21,ACTIVE,P4
S01900,2025-01-21,ACTIVE,P2
S00635,2025-01-21,CANCELLED,P3
S01127,2025-02-05,CANCELLED,P3
S01472,2025-01-18,SUSPENDED,P3
S00215,2025-02-07,SUSPENDED,P4
S01657,2025-01-09,ACTIVE,P4
S00239,2025-01-15,ACTIVE,P2
S01865,2025-02-03,SUSPENDED,P2
S01260,2025-01-12,ACTIVE,P2
S01557,2025-01-16,ACTIVE,P4
S00703,2025-02-11,CANCELLED,P3
S00233,2025-02-10,CANCELLED,P1
S01555,2025-02-15,CANCELLED,P2
S00249,2025-01-28,SUSPENDED,P3
S00267,2025-01-27,CANCELLED,P1
S01396,2025-01-16,CANCELLED,P1
S00796,2025-02-06,CANCELLED,P1
S00832,2025-01-12,CANCELLED,P2
S00728,2025-02-05,CANCELLED,P4
S01225,2025-01-20,CANCELLED,P3
S00960,2025-02-24,CANCELLED,P3
S00687,2025-01-06,SUSPENDED,P4
S01607,2025-02-26,CANCELLED,P4
S01122,2025-01-06,ACTIVE,P2
S00837,2025-01-11,SUSPENDED,P2
S00462,2025-02-19,ACTIVE,P1
S00942,2025-02-14,CANCELLED,P4
S01811,2025-01-23,CANCELLED,P1
S01906,2025-01-20,SUSPENDED,P3
S00343,2025-01-16,CANCELLED,P2
S00341,2025-02-10,SUSPENDED,P2
S00258,2025-02-10,CANCELLED,P4
S00817,2025-01-06,ACTIVE,P2
S00287,2025-01-22,ACTIVE,P1
S01416,2025-02-28,ACTIVE,P2
S01713,2025-02-11,CANCELLED,P1
S01574,2025-02-18,ACTIVE,P4
S00176,2025-01-27,ACTIVE,P2
S01459,2025-01-08,ACTIVE,P4
S01651,2025-01-21,ACTIVE,P4
S01723,2025-02-06,ACTIVE,P1
S00446,2025-02-18,SUSPENDED,P3
S00959,2025-02-20,ACTIVE,P2
S01150,2025-01-18,CANCELLED,P2
S01405,2025-02-05,ACTIVE,P1
S00431,2025-02-21,ACTIVE,P1
S01089,2025-01-15,SUSPENDED,P3
S01885,2025-01-07,CANCELLED,P2
S00854,2025-01-14,SUSPENDED,P4
S00276,2025-02-12,CANCELLED,P3
S00848,2025-01-22,SUSPENDED,P1
S00327,2025-01-21,ACTIVE,P2
S01102,2025-02-25,ACTIVE,P3
S01172,2025-01-17,ACTIVE,P2
S00590,2025-02-12,CANCELLED,P1
S01160,2025-01-22,SUSPENDED,P1
S00264,2025-02-26,CANCELLED,P4
S00065,2025-01-11,SUSPENDED,P2
S01870,2025-02-22,CANCELLED,P3
S00166,2025-02-11,SUSPENDED,P4
S01678,2025-02-18,SUSPENDED,P2
S00281,2025-02-01,SUSPENDED,P3
S01689,2025-02-08,ACTIVE,P3
S01215,2025-01-16,CANCELLED,P2
S01136,2025-02-19,SUSPENDED,P4
S01914,2025-02-22,ACTIVE,P3
S01921,2025-01-13,ACTIVE,P4
S00226,2025-01-18,CANCELLED,P4
S00551,2025-02-27,ACTIVE,P1
S00023,2025-01-27,CANCELLED,P2
S00359,2025-02-17,SUSPENDED,P1
S00940,2025-01-10,SUSPENDED,P4
S00783,2025-02-06,ACTIVE,P3
S01434,2025-02-27,CANCELLED,P3
S00493,2025-02-02,SUSPENDED,P1
S00838,2025-01-26,CANCELLED,P2
S01907,2025-01-24,SUSPENDED,P3
S01606,2025-01-11,CANCELLED,P2
S00746,2025-01-22,SUSPENDED,P2
S01604,2025-02-28,CANCELLED,P4
S01340,2025-02-06,SUSPENDED,P1
S01511,2025-02-18,SUSPENDED,P3
S01968,2025-02-11,ACTIVE,P3
S01504,2025-01-17,ACTIVE,P2
S01833,2025-01-26,ACTIVE,P4
S01055,2025-02-21,CANCELLED,P3
S01702,2025-02-02,SUSPENDED,P1
S01985,2025-02-16,SUSPENDED,P1
S00850,2025-02-19,SUSPENDED,P4
S01505,2025-01-01,ACTIVE,P1
S00905,2025-01-05,CANCELLED,P2
S01936,2025-01-04,SUSPENDED,P3
S01613,2025-02-22,CANCELLED,P4
S00159,2025-01-23,CANCELLED,P3
S01366,2025-02-06,ACTIVE,P4
S01662,2025-02-05,ACTIVE,P4
S00847,2025-01-17,CANCELLED,P3
S00297,2025-01-11,ACTIVE,P4
S00784,2025-02-10,ACTIVE,P2
S01001,2025-01-27,SUSPENDED,P3
S01724,2025-01-19,CANCELLED,P1
S01573,2025-02-26,ACTIVE,P2
S00429,2025-02-08,CANCELLED,P2
S01490,2025-01-10,CANCELLED,P2
S01100,2025-01-23,ACTIVE,P2
S00185,2025-01-07,CANCELLED,P2
S00907,2025-01-21,CANCELLED,P4
S01920,2025-02-21,SUSPENDED,P3
S01611,2025-01-22,CANCELLED,P3
S00652,2025-01-19,CANCELLED,P2
S01786,2025-02-08,ACTIVE,P4
S00831,2025-02-25,SUSPENDED,P2
S01958,2025-01-01,CANCELLED,P3
S01590,2025-01-11,CANCELLED,P3
S01714,2025-01-03,SUSPENDED,P2
S00441,2025-01-22,CANCELLED,P1
S00688,2025-01-11,ACTIVE,P2
S00054,2025-01-25,ACTIVE,P4
S01307,2025-02-28,SUSPENDED,P3
S01418,2025-02-17,SUSPENDED,P4
S01350,2025-02-12,CANCELLED,P3
S00582,2025-01-27,ACTIVE,P1
S01299,2025-01-04,CANCELLED,P1
S01358,2025-01-02,SUSPENDED,P1
S01517,2025-02-22,ACTIVE,P4
S01738,2025-01-19,ACTIVE,P2
S01972,2025-01-24,SUSPENDED,P3
S01292,2025-02-23,CANCELLED,P3
S01290,2025-01-11,CANCELLED,P4
S00710,2025-02-15,ACTIVE,P1
S00427,2025-02-16,CANCELLED,P2
S00208,2025-02-18,ACTIVE,P4
S01537,2025-01-14,ACTIVE,P3
S01615,2025-02-09,SUSPENDED,P2
S01433,2025-01-02,CANCELLED,P2
S01256,2025-01-19,CANCELLED,P3
S01572,2025-02-26,SUSPENDED,P3
S00576,2025-02-05,ACTIVE,P1
S00234,2025-01-21,SUSPENDED,P2
S01876,2025-02-03,CANCELLED,P4
S00260,2025-01-15,CANCELLED,P3
S01024,2025-01-10,CANCELLED,P4
S00676,2025-01-03,CANCELLED,P4
S01286,2025-01-14,CANCELLED,P1
S00454,2025-01-25,ACTIVE,P2
S00485,2025-02-13,CANCELLED,P3
S00971,2025-01-15,CANCELLED,P3
S01532,2025-02-08,ACTIVE,P3
S01765,2025-02-26,SUSPENDED,P2
S01303,2025-01-26,ACTIVE,P3
S01036,2025-01-13,ACTIVE,P3
S01066,2025-02-12,SUSPENDED,P4
S00963,2025-01-23,ACTIVE,P4
S01989,2025-02-08,CANCELLED,P2
S01134,2025-01-21,SUSPENDED,P4
S01227,2025-01-03,SUSPENDED,P1
S01701,2025-02-17,SUSPENDED,P4
S00517,2025-02-04,CANCELLED,P4
S00138,2025-02-12,CANCELLED,P1
S00816,2025-02-02,SUSPENDED,P3
S00775,2025-02-02,ACTIVE,P1
S00804,2025-02-18,SUSPENDED,P2
S01761,2025-02-24,ACTIVE,P3
S00713,2025-02-10,CANCELLED,P3
S01766,2025-01-20,SUSPENDED,P1
S00029,2025-01-20,CANCELLED,P4
S00553,2025-02-20,CANCELLED,P4
S00031,2025-02-13,ACTIVE,P4
S01807,2025-02-19,SUSPENDED,P4
S01945,2025-02-06,CANCELLED,P4
S00335,2025-02-19,ACTIVE,P3
S00374,2025-02-12,CANCELLED,P4
S00746,2025-02-12,SUSPENDED,P1
S00356,2025-01-19,CANCELLED,P2
S01277,2025-01-28,CANCELLED,P2
S01912,2025-02-25,ACTIVE,P3
S01209,2025-01-06,CANCELLED,P2
S01463,2025-02-20,ACTIVE,P3
S01273,2025-02-26,SUSPENDED,P2
S00942,2025-02-12,SUSPENDED,P1
S01337,2025-02-21,ACTIVE,P2
S01721,2025-02-28,SUSPENDED,P3
S01873,2025-01-09,CANCELLED,P4
S00397,2025-02-24,CANCELLED,P3
S00393,2025-01-17,SUSPENDED,P2
S00791,2025-02-14,CANCELLED,P3
S01560,2025-01-26,CANCELLED,P3
S01785,2025-02-27,CANCELLED,P2
S01502,2025-01-09,CANCELLED,P4
S01641,2025-02-05,CANCELLED,P1
S01748,2025-01-23,SUSPENDED,P1
S01501,2025-02-17,ACTIVE,P3
S01559,2025-01-10,SUSPENDED,P2
S00572,2025-01-02,ACTIVE,P4
S00765,2025-01-02,ACTIVE,P3
S00208,2025-01-27,CANCELLED,P1
S01197,2025-02-18,SUSPENDED,P3
S01802,2025-02-03,CANCELLED,P3
S01666,2025-01-21,SUSPENDED,P3
S00783,2025-02-28,SUSPENDED,P3
S01443,2025-01-07,CANCELLED,P4
S01490,2025-01-20,ACTIVE,P2
S01856,2025-01-16,ACTIVE,P4
S00050,2025-01-12,SUSPENDED,P2
S00792,2025-01-02,CANCELLED,P1
S00750,2025-01-11,CANCELLED,P2
S01664,2025-01-19,ACTIVE,P4
S00955,2025-01-19,SUSPENDED,P3
S00860,2025-02-20,SUSPENDED,P3
S01874,2025-01-15,ACTIVE,P4
S01589,2025-01-20,ACTIVE,P4
S00151,2025-02-05,SUSPENDED,P2
S00306,2025-01-24,SUSPENDED,P2
S00199,2025-01-13,SUSPENDED,P2
S01106,2025-02-24,SUSPENDED,P1
S00696,2025-02-06,ACTIVE,P3
S01586,2025-01-14,CANCELLED,P4
S01770,2025-02-05,CANCELLED,P2
S01530,2025-01-18,ACTIVE,P1
S00859,2025-02-08,ACTIVE,P4
S00094,2025-01-27,CANCELLED,P1
S01642,2025-02-26,SUSPENDED,P4
S01571,2025-01-07,SUSPENDED,P3
S00540,2025-02-09,SUSPENDED,P4
S00601,2025-01-06,CANCELLED,P1
S00743,2025-01-25,ACTIVE,P4
S01137,2025-02-20,ACTIVE,P4
S00977,2025-01-08,CANCELLED,P4
S01569,2025-01-27,ACTIVE,P3
S01846,2025-02-20,SUSPENDED,P4
S01144,2025-02-04,SUSPENDED,P1
S01521,2025-02-21,ACTIVE,P2
S00250,2025-02-10,SUSPENDED,P4
S01863,2025-01-22,SUSPENDED,P1
S00168,2025-01-12,ACTIVE,P2
S01024,2025-02-27,ACTIVE,P2
S01125,2025-02-23,CANCELLED,P3
S01882,2025-01-25,ACTIVE,P3
S01547,2025-01-19,SUSPENDED,P2
S00809,2025-02-13,SUSPENDED,P3
S01164,2025-02-24,CANCELLED,P1
S00685,2025-02-21,ACTIVE,P4
S00381,2025-02-07,CANCELLED,P1
S01938,2025-02-21,SUSPENDED,P4
S00146,2025-02-26,CANCELLED,P3
S00132,2025-02-05,ACTIVE,P4
S00329,2025-02-09,ACTIVE,P2
S01667,2025-01-03,ACTIVE,P1
S00650,2025-01-03,CANCELLED,P4
S00599,2025-02-26,SUSPENDED,P4
S00259,2025-01-03,ACTIVE,P3
S01530,2025-02-26,CANCELLED,P4
S01785,2025-01-14,SUSPENDED,P2
S00731,2025-02-24,ACTIVE,P1
S01643,2025-02-03,ACTIVE,P3
S01008,2025-02-13,ACTIVE,P3
S01800,2025-01-21,ACTIVE,P2
S01579,2025-01-07,ACTIVE,P2
S01511,2025-02-21,ACTIVE,P4
S00146,2025-02-06,SUSPENDED,P1
S00848,2025-02-01,CANCELLED,P4
S01699,2025-01-06,ACTIVE,P4
S01849,2025-02-23,SUSPENDED,P1
S01456,2025-02-12,ACTIVE,P4
S00870,2025-01-01,SUSPENDED,P1
S00481,2025-01-28,SUSPENDED,P4
S01562,2025-01-27,ACTIVE,P3
S01210,2025-02-01,ACTIVE,P2
S01331,2025-02-09,SUSPENDED,P1
S01730,2025-02-15,CANCELLED,P2
S01338,2025-02-10,ACTIVE,P4
S01294,2025-02-16,SUSPENDED,P2
S01789,2025-01-24,CANCELLED,P3
S01841,2025-02-11,ACTIVE,P3
S00873,2025-01-20,CANCELLED,P4
S01607,2025-01-03,SUSPENDED,P4
S00170,2025-02-27,CANCELLED,P4
S01681,2025-02-09,CANCELLED,P3
S01649,2025-02-01,ACTIVE,P4
S00434,2025-01-15,CANCELLED,P2
S00503,2025-02-17,ACTIVE,P3
S01397,2025-02-12,SUSPENDED,P2
S01700,2025-02-23,SUSPENDED,P3
S00827,2025-01-24,ACTIVE,P1
S00238,2025-02-20,ACTIVE,P4
S01157,2025-02-06,SUSPENDED,P3
S00944,2025-02-27,SUSPENDED,P3
S00760,2025-01-23,CANCELLED,P3
S01091,2025-02-28,CANCELLED,P1
S00780,2025-01-27,CANCELLED,P3
S00631,2025-01-14,SUSPENDED,P1
S00061,2025-01-16,ACTIVE,P4
S01554,2025-02-22,CANCELLED,P2
S01660,2025-02-12,CANCELLED,P4
S01438,2025-02-14,CANCELLED,P1
S00223,2025-01-20,ACTIVE,P4
S00544,2025-02-11,CANCELLED,P4
S00965,2025-02-20,ACTIVE,P2
S01711,2025-01-09,CANCELLED,P4
S01309,2025-02-17,CANCELLED,P1
S01009,2025-02-15,ACTIVE,P1
S00901,2025-01-28,CANCELLED,P3
S01984,2025-02-19,ACTIVE,P2
S00956,2025-01-08,SUSPENDED,P4
S01830,2025-01-04,SUSPENDED,P3
S00787,2025-01-06,ACTIVE,P1
S00585,2025-01-19,CANCELLED,P4
S01695,2025-02-10,CANCELLED,P1
S01967,2025-01-17,SUSPENDED,P3
S01403,2025-01-23,SUSPENDED,P2
S00703,2025-01-22,CANCELLED,P3
S01417,2025-02-13,SUSPENDED,P4
S00206,2025-02-15,SUSPENDED,P3
S00343,2025-02-19,SUSPENDED,P3
S00053,2025-01-17,SUSPENDED,P1
S01404,2025-02-21,SUSPENDED,P1
S00748,2025-02-05,CANCELLED,P1
S01816,2025-01-25,CANCELLED,P3
S01578,2025-01-09,SUSPENDED,P2
S01877,2025-02-20,CANCELLED,P1
S00107,2025-01-25,CANCELLED,P2
S01956,2025-02-08,CANCELLED,P3
S01387,2025-01-14,SUSPENDED,P4
