ticket_id,customer_id,category,opened
TK00149,C02528,BILLING,2025-03-26
TK00150,C02026,OTHER,2025-03-03
TK00151,C01412,DEVICE,2025-03-13
TK00152,C02811,DEVICE,2025-03-08
TK00153,C01713,BILLING,2025-03-24
TK00154,C02702,DEVICE,2025-03-16
TK00155,C02972,OTHER,2025-03-16
TK00156,C01944,NETWORK,2025-03-07
TK00157,C01257,NETWORK,2025-03-21
TK00158,C02915,DEVICE,2025-03-18
TK00159,C01643,NETWORK,2025-03-23
TK00160,C01438,DEVICE,2025-03-05
TK00161,C01786,OTHER,2025-03-07
TK00162,C02896,DEVICE,2025-03-14
TK00163,C02045,BILLING,2025-03-25
TK00164,C01538,OTHER,2025-03-27
TK00165,C01719,NETWORK,2025-03-19
TK00166,C01235,BILLING,2025-03-05
TK00167,C01291,DEVICE,2025-03-19
TK00168,C02831,DEVICE,2025-03-10
TK00169,C02375,OTHER,2025-03-12
TK00170,C02550,NETWORK,2025-03-14
TK00171,C01855,OTHER,2025-03-03
TK00172,C01477,NETWORK,2025-03-17
TK00173,C01419,NETWORK,2025-03-09
TK00174,C01424,OTHER,2025-03-11
TK00175,C01405,BILLING,2025-03-19
TK00176,C02784,BILLING,2025-03-02
TK00177,C02281,NETWORK,2025-03-11
TK00178,C01736,OTHER,2025-03-01
TK00179,C02327,NETWORK,2025-03-27
TK00180,C02468,DEVICE,2025-03-12
TK00181,C01289,BILLING,2025-03-25
TK00182,C01319,OTHER,2025-03-20
TK00183,C02153,DEVICE,2025-03-03
TK00184,C02797,NETWORK,2025-03-14
TK00185,C02419,DEVICE,2025-03-02
TK00186,C02410,NETWORK,2025-03-28
TK00187,C01235,BILLING,2025-03-27
TK00188,C01353,OTHER,2025-03-23
TK00189,C01964,BILLING,2025-03-19
TK00190,C02684,NETWORK,2025-03-06
TK00191,C01047,NETWORK,2025-03-04
TK00192,C02747,OTHER,2025-03-14
TK00193,C01621,BILLING,2025-03-03
TK00194,C01759,BILLING,2025-03-15
TK00195,C01106,DEVICE,2025-03-10
TK00196,C01907,NETWORK,2025-03-20
TK00197,C01175,BILLING,2025-03-26
TK00198,C01145,NETWORK,2025-03-12
TK00199,C01993,DEVICE,2025-03-22
TK00200,C01582,BILLING,2025-03-25
TK00201,C02280,OTHER,2025-03-13
TK00202,C01809,BILLING,2025-03-02
TK00203,C02778,NETWORK,2025-03-28
TK00204,C01991,NETWORK,2025-03-21
TK00205,C01477,OTHER,2025-03-24
TK00206,C02452,OTHER,2025-03-18
TK00207,C02253,OTHER,2025-03-12
TK00208,C02458,BILLING,2025-03-21
TK00209,C01727,NETWORK,2025-03-04
TK00210,C02919,NETWORK,2025-03-15
TK00211,C02330,DEVICE,2025-03-13
TK00212,C01460,OTHER,2025-03-13
TK00213,C02239,DEVICE,2025-03-13
TK00214,C02331,DEVICE,2025-03-10
TK00215,C02069,DEVICE,2025-03-05
TK00216,C02894,OTHER,2025-03-17
TK00217,C01080,BILLING,2025-03-22
TK00218,C01659,NETWORK,2025-03-15
TK00219,C02617,BILLING,2025-03-13
TK00220,C01084,OTHER,2025-03-19
TK00221,C01688,NETWORK,2025-03-06
TK00222,C01358,DEVICE,2025-03-19
TK00223,C02169,OTHER,2025-03-18
TK00224,C02545,BILLING,2025-03-16
TK00225,C02060,OTHER,2025-03-23
TK00226,C02249,DEVICE,2025-03-20
TK00227,C02431,BILLING,2025-03-06
TK00228,C02057,NETWORK,2025-03-10
TK00229,C01046,OTHER,2025-03-01
TK00230,C02708,OTHER,2025-03-22
TK00231,C01414,NETWORK,2025-03-03
TK00232,C02242,DEVICE,2025-03-11
TK00233,C01500,BILLING,2025-03-21
TK00234,C02904,OTHER,2025-03-27
TK00235,C02555,OTHER,2025-03-05
TK00236,C01038,OTHER,2025-03-23
TK00237,C02017,OTHER,2025-03-23
TK00238,C02022,NETWORK,2025-03-04
TK00239,C01022,NETWORK,2025-03-22
TK00240,C01602,BILLING,2025-03-28
TK00241,C01552,NETWORK,2025-03-04
TK00242,C01764,NETWORK,2025-03-19
TK00243,C02268,OTHER,2025-03-06
TK00244,C02134,BILLING,2025-03-26
TK00245,C01488,NETWORK,2025-03-08
TK00246,C02843,DEVICE,2025-03-10
TK00247,C02555,OTHER,2025-03-23
TK00248,C02216,DEVICE,2025-03-24
TK00249,C02558,NETWORK,2025-03-22
TK00250,C02531,BILLING,2025-03-18
TK00251,C01702,DEVICE,2025-03-01
TK00252,C01254,DEVICE,2025-03-17
TK00253,C02329,BILLING,2025-03-09
TK00254,C02011,NETWORK,2025-03-16
TK00255,C01039,BILLING,2025-03-14
TK00256,C01523,OTHER,2025-03-12
TK00257,C02894,NETWORK,2025-03-27
TK00258,C01868,NETWORK,2025-03-19
TK00259,C01678,OTHER,2025-03-18
TK00260,C01819,OTHER,2025-03-28
TK00261,C02807,OTHER,2025-03-14
TK00262,C02806,NETWORK,2025-03-12
TK00263,C02135,NETWORK,2025-03-10
TK00264,C01444,NETWORK,2025-03-26
TK00265,C01487,DEVICE,2025-03-28
TK00266,C01919,DEVICE,2025-03-27
TK00267,C02256,DEVICE,2025-03-21
TK00268,C01658,NETWORK,2025-03-17
TK00269,C02367,DEVICE,2025-03-26
TK00270,C01834,OTHER,2025-03-15
TK00271,C01890,BILLING,2025-03-14
TK00272,C02927,DEVICE,2025-03-03
TK00273,C02106,BILLING,2025-03-27
TK00274,C01090,DEVICE,2025-03-22
TK00275,C01861,BILLING,2025-03-26
TK00276,C02070,OTHER,2025-03-21
TK00277,C01186,BILLING,2025-03-03
TK00278,C02624,BILLING,2025-03-03
TK00279,C02538,DEVICE,2025-03-15
TK00280,C01814,DEVICE,2025-03-18
TK00281,C02075,BILLING,2025-03-09
TK00282,C01595,OTHER,2025-03-28
TK00283,C01248,BILLING,2025-03-18
TK00284,C02356,DEVICE,2025-03-10
TK00285,C01456,DEVICE,2025-03-04
TK00286,C01688,BILLING,2025-03-15
TK00287,C01335,NETWORK,2025-03-27
TK00288,C02792,OTHER,2025-03-19
TK00289,C02551,BILLING,2025-03-20
TK00290,C01646,OTHER,2025-03-12
TK00291,C01996,BILLING,2025-03-19
TK00292,C01856,OTHER,2025-03-15
TK00293,C02653,DEVICE,2025-03-05
TK00294,C01028,DEVICE,2025-03-27
TK00295,C02444,NETWORK,2025-03-10
TK00296,C02981,OTHER,2025-03-03
TK00297,C01503,OTHER,2025-03-05
TK00298,C01892,BILLING,2025-03-14
TK00299,C01999,DEVICE,2025-03-20
TK00300,C02580,BILLING,2025-03-04
TK00301,C02555,DEVICE,2025-03-01
TK00302,C01189,BILLING,2025-03-23
TK00303,C02871,BILLING,2025-03-27
TK00304,C01760,BILLING,2025-03-27
TK00305,C02480,OTHER,2025-03-09
TK00306,C01543,OTHER,2025-03-04
TK00307,C02882,DEVICE,2025-03-16
TK00308,C01946,NETWORK,2025-03-15
TK00309,C01933,NETWORK,2025-03-05
TK00310,C01994,BILLING,2025-03-15
TK00311,C02097,BILLING,2025-03-19
TK00312,C01364,OTHER,2025-03-03
TK00313,C02804,NETWORK,2025-03-03
TK00314,C01704,DEVICE,2025-03-18
TK00315,C01047,DEVICE,2025-03-12
TK00316,C02322,DEVICE,2025-03-21
TK00317,C02136,DEVICE,2025-03-19
TK00318,C02266,DEVICE,2025-03-09
TK00319,C02687,NETWORK,2025-03-20
TK00320,C02649,NETWORK,2025-03-25
TK00321,C02022,OTHER,2025-03-15
TK00322,C02361,BILLING,2025-03-06
TK00323,C01873,NETWORK,2025-03-10
TK00324,C01501,NETWORK,2025-03-06
TK00325,C01609,BILLING,2025-03-11
TK00326,C01461,OTHER,2025-03-16
TK00327,C01544,DEVICE,2025-03-22
TK00328,C01107,BILLING,2025-03-08
TK00329,C01368,BILLING,2025-03-11
TK00330,C02511,NETWORK,2025-03-01
TK00331,C02516,OTHER,2025-03-21
TK00332,C02632,BILLING,2025-03-23
TK00333,C02958,NETWORK,2025-03-19
TK00334,C02200,NETWORK,2025-03-16
TK00335,C02259,NETWORK,2025-03-21
TK00336,C02702,BILLING,2025-03-16
TK00337,C02810,BILLING,2025-03-04
TK00338,C02884,NETWORK,2025-03-13
TK00339,C02059,BILLING,2025-03-12
TK00340,C02597,OTHER,2025-03-08
TK00341,C02494,BILLING,2025-03-09
TK00342,C01660,OTHER,2025-03-22
TK00343,C02400,BILLING,2025-03-17
TK00344,C01307,NETWORK,2025-03-21
TK00345,C01393,NETWORK,2025-03-26
TK00346,C02877,DEVICE,2025-03-03
TK00347,C01253,DEVICE,2025-03-14
TK00348,C02419,DEVICE,2025-03-13
TK00349,C02589,DEVICE,2025-03-27
TK00350,C02282,DEVICE,2025-03-24
TK00351,C02746,DEVICE,2025-03-16
TK00352,C02286,DEVICE,2025-03-26
TK00353,C02244,BILLING,2025-03-23
TK00354,C03000,DEVICE,2025-03-18
TK00355,C01357,DEVICE,2025-03-07
TK00356,C02119,OTHER,2025-03-21
TK00357,C02326,NETWORK,2025-03-09
TK00358,C01109,BILLING,2025-03-23
TK00359,C02587,DEVICE,2025-03-15
TK00360,C02315,DEVICE,2025-03-06
TK00361,C01676,BILLING,2025-03-16
TK00362,C02985,BILLING,2025-03-14
TK00363,C01028,BILLING,2025-03-08
TK00364,C01857,DEVICE,2025-03-24
TK00365,C01243,NETWORK,2025-03-28
TK00366,C01845,NETWORK,2025-03-15
TK00367,C01834,OTHER,2025-03-24
TK00368,C02820,OTHER,2025-03-19
TK00369,C01676,BILLING,2025-03-17
TK00370,C02268,DEVICE,2025-03-22
TK00371,C01677,NETWORK,2025-03-05
TK00372,C01414,NETWORK,2025-03-13
TK00373,C01370,BILLING,2025-03-24
TK00374,C01698,OTHER,2025-03-06
TK00375,C02434,NETWORK,2025-03-10
TK00376,C01246,DEVICE,2025-03-24
TK00377,C02167,BILLING,2025-03-01
TK00378,C02658,BILLING,2025-03-03
TK00379,C02556,OTHER,2025-03-26
TK00380,C02607,DEVICE,2025-03-13
TK00381,C02906,OTHER,2025-03-04
TK00382,C01723,DEVICE,2025-03-12
TK00383,C02233,NETWORK,2025-03-05
TK00384,C01427,DEVICE,2025-03-01
TK00385,C02230,BILLING,2025-03-18
TK00386,C02768,DEVICE,2025-03-18
TK00387,C01605,DEVICE,2025-03-05
TK00388,C01065,OTHER,2025-03-23
TK00389,C01949,OTHER,2025-03-20
TK00390,C02909,DEVICE,2025-03-12
TK00391,C01449,OTHER,2025-03-28
TK00392,C02528,BILLING,2025-03-16
TK00393,C01379,OTHER,2025-03-26
TK00394,C02785,BILLING,2025-03-26
TK00395,C01966,BILLING,2025-03-02
TK00396,C01845,BILLING,2025-03-09
TK00397,C02781,BILLING,2025-03-07
TK00398,C02642,BILLING,2025-03-28
TK00399,C01659,NETWORK,2025-03-12
TK00400,C01911,BILLING,2025-03-27
TK00401,C01306,DEVICE,2025-03-18
TK00402,C01865,OTHER,2025-03-08
TK00403,C01676,NETWORK,2025-03-21
TK00404,C02822,NETWORK,2025-03-11
TK00405,C01011,BILLING,2025-03-06
TK00406,C02226,DEVICE,2025-03-07
TK00407,C02628,DEVICE,2025-03-18
TK00408,C01542,OTHER,2025-03-24
TK00409,C02716,OTHER,2025-03-26
TK00410,C02996,DEVICE,2025-03-28
TK00411,C01947,NETWORK,2025-03-14
TK00412,C01262,BILLING,2025-03-01
TK00413,C02750,BILLING,2025-03-09
TK00414,C01878,NETWORK,2025-03-14
TK00415,C02571,OTHER,2025-03-09
TK00416,C02722,BILLING,2025-03-17
TK00417,C01128,BILLING,2025-03-12
TK00418,C02957,DEVICE,2025-03-05
TK00419,C02260,NETWORK,2025-03-07
TK00420,C02807,NETWORK,2025-03-21
TK00421,C01678,NETWORK,2025-03-07
TK00422,C02184,NETWORK,2025-03-21
TK00423,C01768,DEVICE,2025-03-05
TK00424,C01819,BILLING,2025-03-10
TK00425,C02557,OTHER,2025-03-05
TK00426,C02746,DEVICE,2025-03-03
TK00427,C02815,OTHER,2025-03-21
TK00428,C01349,OTHER,2025-03-14
TK00429,C02327,OTHER,2025-03-09
TK00430,C01502,BILLING,2025-03-24
TK00431,C01094,NETWORK,2025-03-28
TK00432,C01430,DEVICE,2025-03-26
TK00433,C01926,OTHER,2025-03-25
TK00434,C02801,OTHER,2025-03-22
TK00435,C01952,OTHER,2025-03-13
TK00436,C02030,BILLING,2025-03-04
TK00437,C02182,BILLING,2025-03-08
TK00438,C02849,DEVICE,2025-03-05
TK00439,C01108,DEVICE,2025-03-22
TK00440,C01018,BILLING,2025-03-10
TK00441,C02034,NETWORK,2025-03-19
TK00442,C01075,NETWORK,2025-03-23
TK00443,C01533,NETWORK,2025-03-28
TK00444,C01946,BILLING,2025-03-15
TK00445,C02395,OTHER,2025-03-11
TK00446,C02362,BILLING,2025-03-16
TK00447,C01280,NETWORK,2025-03-06
TK00448,C02258,DEVICE,2025-03-25
TK00449,C02392,BILLING,2025-03-01
TK00450,C01894,NETWORK,2025-03-09
TK00451,C01407,NETWORK,2025-03-07
TK00452,C02858,OTHER,2025-03-14
TK00453,C01133,NETWORK,2025-03-11
TK00454,C01492,NETWORK,2025-03-12
TK00455,C01692,DEVICE,2025-03-14
TK00456,C02399,BILLING,2025-03-17
TK00457,C02479,BILLING,2025-03-10
TK00458,C02836,OTHER,2025-03-22
TK00459,C02132,NETWORK,2025-03-17
TK00460,C01294,BILLING,2025-03-14
TK00461,C02668,NETWORK,2025-03-06
TK00462,C02350,BILLING,2025-03-18
TK00463,C01753,OTHER,2025-03-11
TK00464,C02007,NETWORK,2025-03-19
TK00465,C01202,NETWORK,2025-03-20
TK00466,C02540,OTHER,2025-03-19
TK00467,C01561,DEVICE,2025-03-07
TK00468,C01091,DEVICE,2025-03-23
TK00469,C01403,DEVICE,2025-03-07
TK00470,C02257,OTHER,2025-03-21
TK00471,C01509,OTHER,2025-03-24
TK00472,C01992,BILLING,2025-03-18
TK00473,C02004,OTHER,2025-03-25
TK00474,C01714,OTHER,2025-03-24
TK00475,C01461,DEVICE,2025-03-26
TK00476,C01573,DEVICE,2025-03-16
TK00477,C01036,NETWORK,2025-03-05
TK00478,C02722,OTHER,2025-03-23
TK00479,C02381,NETWORK,2025-03-04
TK00480,C01537,BILLING,2025-03-23
TK00481,C02767,DEVICE,2025-03-04
TK00482,C01471,OTHER,2025-03-14
TK00483,C01959,NETWORK,2025-03-13
TK00484,C02951,OTHER,2025-03-08
TK00485,C02574,BILLING,2025-03-13
TK00486,C02010,OTHER,2025-03-18
TK00487,C02211,DEVICE,2025-03-06
TK00488,C01852,BILLING,2025-03-20
TK00489,C01474,BILLING,2025-03-27
TK00490,C01832,OTHER,2025-03-22
TK00491,C02670,NETWORK,2025-03-10
TK00492,C01633,DEVICE,2025-03-26
TK00493,C01374,NETWORK,2025-03-19
TK00494,C02027,OTHER,2025-03-10
TK00495,C01486,NETWORK,2025-03-27
TK00496,C01015,NETWORK,2025-03-22
TK00497,C01681,BILLING,2025-03-26
TK00498,C02739,BILLING,2025-03-09
TK00499,C01323,DEVICE,2025-03-04
TK00500,C02212,BILLING,2025-03-26
TK00501,C01892,NETWORK,2025-03-09
TK00502,C01294,NETWORK,2025-03-12
TK00503,C02894,OTHER,2025-03-10
TK00504,C01942,NETWORK,2025-03-17
TK00505,C02872,BILLING,2025-03-18
TK00506,C02631,BILLING,2025-03-01
TK00507,C01879,NETWORK,2025-03-01
TK00508,C02506,NETWORK,2025-03-28
TK00509,C02867,DEVICE,2025-03-12
TK00510,C01834,BILLING,2025-03-12
TK00511,C02362,OTHER,2025-03-18
TK00512,C02635,DEVICE,2025-03-18
TK00513,C01221,DEVICE,2025-03-05
TK00514,C02359,OTHER,2025-03-23
TK00515,C02663,OTHER,2025-03-25
TK00516,C02324,NETWORK,2025-03-20
TK00517,C01203,BILLING,2025-03-17
TK00518,C02593,NETWORK,2025-03-22
TK00519,C01758,DEVICE,2025-03-01
TK00520,C01281,DEVICE,2025-03-06
TK00521,C01332,NETWORK,2025-03-07
TK00522,C01366,OTHER,2025-03-25
TK00523,C01359,DEVICE,2025-03-12
TK00524,C01167,NETWORK,2025-03-11
TK00525,C01699,NETWORK,2025-03-21
TK00526,C02713,OTHER,2025-03-15
TK00527,C02868,NETWORK,2025-03-15
TK00528,C01020,DEVICE,2025-03-13
TK00529,C01634,BILLING,2025-03-04
TK00530,C02298,NETWORK,2025-03-27
TK00531,C01466,OTHER,2025-03-24
TK00532,C01356,DEVICE,2025-03-16
TK00533,C01593,BILLING,2025-03-22
TK00534,C01723,DEVICE,2025-03-15
TK00535,C01303,DEVICE,2025-03-01
TK00536,C01853,OTHER,2025-03-05
TK00537,C02716,DEVICE,2025-03-13
TK00538,C01076,BILLING,2025-03-01
TK00539,C01508,DEVICE,2025-03-22
TK00540,C01591,NETWORK,2025-03-06
TK00541,C01148,DEVICE,2025-03-18
TK00542,C01670,BILLING,2025-03-08
TK00543,C01167,BILLING,2025-03-12
TK00544,C02619,OTHER,2025-03-22
TK00545,C02340,NETWORK,2025-03-13
TK00546,C02837,NETWORK,2025-03-28
TK00547,C01802,OTHER,2025-03-03
TK00548,C01611,DEVICE,2025-03-12
TK00549,C02318,OTHER,2025-03-11
TK00550,C02779,BILLING,2025-03-24
TK00551,C01530,NETWORK,2025-03-27
TK00552,C01399,DEVICE,2025-03-05
TK00553,C02217,NETWORK,2025-03-07
TK00554,C02476,NETWORK,2025-03-21
TK00555,C01658,BILLING,2025-03-20
TK00556,C01351,NETWORK,2025-03-21
TK00557,C02446,DEVICE,2025-03-25
TK00558,C02897,BILLING,2025-03-17
TK00559,C02535,NETWORK,2025-03-27
TK00560,C02724,BILLING,2025-03-16
TK00561,C01358,OTHER,2025-03-21
TK00562,C02849,OTHER,2025-03-28
TK00563,C02054,NETWORK,2025-03-15
TK00564,C01774,NETWORK,2025-03-01
TK00565,C02029,OTHER,2025-03-22
TK00566,C02730,OTHER,2025-03-17
TK00567,C02989,OTHER,2025-03-17
TK00568,C01997,OTHER,2025-03-28
TK00569,C01501,NETWORK,2025-03-24
TK00570,C01326,BILLING,2025-03-09
TK00571,C01868,BILLING,2025-03-27
TK00572,C02237,NETWORK,2025-03-22
TK00573,C02066,NETWORK,2025-03-28
TK00574,C01299,DEVICE,2025-03-13
TK00575,C01860,DEVICE,2025-03-19
TK00576,C02662,OTHER,2025-03-21
TK00577,C02702,DEVICE,2025-03-19
TK00578,C02437,BILLING,2025-03-11
TK00579,C02010,BILLING,2025-03-12
TK00580,C01760,DEVICE,2025-03-09
TK00581,C01277,NETWORK,2025-03-17
TK00582,C02731,DEVICE,2025-03-06
TK00583,C01365,NETWORK,2025-03-18
TK00584,C01849,DEVICE,2025-03-26
TK00585,C01515,OTHER,2025-03-01
TK00586,C01668,DEVICE,2025-03-18
TK00587,C02020,OTHER,2025-03-02
TK00588,C02686,OTHER,2025-03-23
TK00589,C01417,OTHER,2025-03-27
TK00590,C02487,NETWORK,2025-03-10
TK00591,C02041,DEVICE,2025-03-23
TK00592,C01314,NETWORK,2025-03-12
TK00593,C02437,DEVICE,2025-03-18
TK00594,C01641,DEVICE,2025-03-26
TK00595,C02129,BILLING,2025-03-04
TK00596,C02750,BILLING,2025-03-22
TK00597,C01113,DEVICE,2025-03-04
TK00598,C01632,BILLING,2025-03-23
TK00599,C02486,DEVICE,2025-03-14
TK00600,C02924,NETWORK,2025-03-04
