device_id,customer_id,model,imei
DV00214,C02384,X9,560256448347646
DV00215,C02806,X9,356056368428362
DV00216,C01118,A12,419059098610973
DV00217,C02612,Lite,784028059665311
DV00218,C02958,Z5,155676929601540
DV00219,C01071,X9,055284117034573
DV00220,C02434,A13,352708518826086
DV00221,C01628,A13,151058831347344
DV00222,C02725,A12,453437567909979
DV00223,C01164,Z5,179586544846525
DV00224,C01736,A12,364878425904787
DV00225,C02008,Lite,081973300179986
DV00226,C02838,Lite,777287290593707
DV00227,C02156,A13,426073017820921
DV00228,C02324,X9,415434427596470
DV00229,C02581,A12,480598593410651
DV00230,C02202,Lite,566347120178854
DV00231,C02656,Z5,945112115375479
DV00232,C01093,A13,476823889341766
DV00233,C01472,A12,036825859265251
DV00234,C02119,A12,069167513350523
DV00235,C01565,X9,423326542101736
DV00236,C01925,A13,519921638940962
DV00237,C02821,A13,349630510845173
DV00238,C01687,X9,024397480418012
DV00239,C01859,A13,077963398453766
DV00240,C02295,A13,952323477481996
DV00241,C02090,X9,740843374170537
DV00242,C01165,A13,398942503506706
DV00243,C02296,X9,875458763101201
DV00244,C02491,Z5,419758994341522
DV00245,C02610,Z5,198236645789157
DV00246,C02789,A13,127590599121932
DV00247,C01048,A12,191034837646703
DV00248,C02293,Z5,601351437185319
DV00249,C01137,X9,956188204664811
DV00250,C02352,A13,684116764005155
DV00251,C02623,Lite,301085355228222
DV00252,C01889,Lite,703222602119510
DV00253,C02059,Lite,496750809252011
DV00254,C01701,A13,797385018748179
DV00255,C02320,Z5,295748799160355
DV00256,C01754,X9,483378282814356
DV00257,C01108,A12,439315518277291
DV00258,C01084,A12,979628920950977
DV00259,C01228,X9,597366195724072
DV00260,C02609,A13,111877417138889
DV00261,C02647,A12,667374999910812
DV00262,C02582,Z5,140533128062949
DV00263,C02856,A13,709268708290031
DV00264,C02140,A12,679664331412519
DV00265,C01828,A13,986234465786904
DV00266,C01642,Lite,598108902248944
DV00267,C02511,X9,197146621887265
DV00268,C01918,A13,349889220940511
DV00269,C02934,A12,639949127993076
DV00270,C02366,A12,448478242169199
DV00271,C02739,Lite,960078300901868
DV00272,C01308,A12,415031719906273
DV00273,C02970,Z5,982177113266974
DV00274,C02083,X9,430469382171409
DV00275,C01232,A13,942085231733475
DV00276,C01642,Lite,893026009157161
DV00277,C02649,A13,498745540209411
DV00278,C01003,A13,022329815590091
DV00279,C01238,A12,381820873428107
DV00280,C01277,A13,270297182250237
DV00281,C02621,Z5,326109560738716
DV00282,C02792,X9,824892574740556
DV00283,C02300,Lite,660487694266692
DV00284,C01732,Lite,352963282573892
DV00285,C02854,A12,427461413695568
DV00286,C02814,A13,568935419300064
DV00287,C02973,X9,306107848584138
DV00288,C01147,Z5,202630533880456
DV00289,C02968,A12,489630696146560
DV00290,C02961,Lite,291357649005104
DV00291,C02335,Lite,802777301465669
DV00292,C02902,X9,714612834273440
DV00293,C02211,A13,726178380367173
DV00294,C02180,Z5,542232089202228
DV00295,C02286,A12,018789268814480
DV00296,C02966,A13,496131363987298
DV00297,C02217,Lite,344440040686532
DV00298,C02254,X9,247118529023366
DV00299,C02918,A12,829407494386697
DV00300,C01144,Z5,039542552313954
DV00301,C02049,X9,524285678415281
DV00302,C01768,A12,170868603664553
DV00303,C01869,A13,351237265139284
DV00304,C01983,X9,187322835939513
DV00305,C02714,A13,747541590146028
DV00306,C01971,X9,516704859608923
DV00307,C02968,Z5,346373281703033
DV00308,C01828,A13,998102900883540
DV00309,C02951,A12,647176019349065
DV00310,C02150,X9,567859618049953
DV00311,C02749,Lite,617015457585370
DV00312,C02170,X9,855013703596710
DV00313,C01258,A13,477369698006910
DV00314,C02201,X9,112391560173027
DV00315,C01735,A13,609583526052347
DV00316,C01753,Lite,468532446247130
DV00317,C01185,Z5,828636016819808
DV00318,C02697,X9,034586312650286
DV00319,C01034,A12,041128343773835
DV00320,C01266,A12,792011558961086
DV00321,C01918,A13,585625458368814
DV00322,C02879,Z5,062979701971934
DV00323,C02640,Z5,940188101543729
DV00324,C01916,Lite,902276105430900
DV00325,C02904,Lite,479125243659594
DV00326,C02769,A12,592248302311738
DV00327,C01715,Lite,381640951962884
DV00328,C01849,Z5,685357520074941
DV00329,C02687,Z5,143670962144174
DV00330,C02107,X9,543750370981933
DV00331,C01884,Lite,841708537422696
DV00332,C01023,X9,899633883952715
DV00333,C01677,Z5,851592454815497
DV00334,C02524,Lite,463842604202554
DV00335,C01432,A12,172150346653293
DV00336,C02228,Lite,704251719981513
DV00337,C01592,A12,359265979941104
DV00338,C01276,Lite,896476112402103
DV00339,C02102,Z5,550655834996883
DV00340,C01273,A12,790764515466788
DV00341,C01973,Z5,554208467453762
DV00342,C01374,Z5,640254963506592
DV00343,C02955,X9,198399145084854
DV00344,C01771,Lite,452786502020104
DV00345,C02620,Lite,071173524039265
DV00346,C02622,Lite,559586474683013
DV00347,C01032,Z5,213599279417478
DV00348,C01442,X9,108572382361263
DV00349,C02300,A12,290909904688010
DV00350,C02726,X9,558024900056879
DV00351,C01477,Z5,906462212051474
DV00352,C02243,Z5,163169774894104
DV00353,C02435,A13,896916138756292
DV00354,C01172,Z5,453157306334166
DV00355,C01712,A13,753730264783703
DV00356,C01840,A13,744653539008912
DV00357,C02815,A13,580705740281518
DV00358,C01855,A12,819041082788222
DV00359,C02166,A12,139183595098701
DV00360,C01897,X9,481259710389709
DV00361,C02484,Lite,499626523070726
DV00362,C02216,Z5,375924286944769
DV00363,C01679,X9,119677472268520
DV00364,C02713,A13,215047951883675
DV00365,C02504,Z5,250170709643304
DV00366,C02363,A12,614412150500457
DV00367,C02633,A13,115653936515948
DV00368,C01338,Z5,007457926583075
DV00369,C02832,X9,130057405696696
DV00370,C01272,Z5,184696098211848
DV00371,C02571,Z5,246579466565711
DV00372,C02782,A12,874805230198802
DV00373,C01288,Z5,914594604364310
DV00374,C01532,Z5,412650830628965
DV00375,C02006,Lite,512605108035892
DV00376,C01966,A12,813196408646715
DV00377,C02425,Z5,150988285623828
DV00378,C02009,X9,400319121019999
DV00379,C01899,A13,859802521841271
DV00380,C02652,A12,908260386625344
DV00381,C01353,X9,881863904374396
DV00382,C02512,Z5,817955103467079
DV00383,C02710,Z5,860796091038653
DV00384,C01966,A12,775766012671655
DV00385,C02299,A13,425750677609548
DV00386,C02264,A12,056800833818445
DV00387,C02768,A13,214064745165815
DV00388,C02408,A12,521723416729371
DV00389,C02172,X9,004019711214259
DV00390,C02905,A13,534027905963624
DV00391,C01431,A13,422463176648297
DV00392,C02364,Lite,818690991194228
DV00393,C02387,A13,836390803808774
DV00394,C01303,A12,982126275446818
DV00395,C01390,Z5,715687279980712
DV00396,C01652,Lite,027667217480644
DV00397,C01102,X9,663793194035046
DV00398,C02269,Lite,422484158365830
DV00399,C01083,A13,808157299608450
DV00400,C01546,A12,554964250048950
DV00401,C01724,X9,508321101887207
DV00402,C01052,X9,680099643014743
DV00403,C02626,Z5,220941383926270
DV00404,C01063,A13,991033845819435
DV00405,C02611,Z5,785723585182095
DV00406,C01247,Lite,966596042147571
DV00407,C02871,Lite,336096323665239
DV00408,C02324,A13,533531611329624
DV00409,C01077,A13,863007150412862
DV00410,C01133,Z5,224532598473016
DV00411,C01849,X9,539541988438890
DV00412,C01097,X9,846755482332191
DV00413,C02146,A13,579699493895741
DV00414,C02689,Lite,095060440442360
DV00415,C01978,A13,770847927541835
DV00416,C01130,A13,517125314273165
DV00417,C02672,Z5,379164223424019
DV00418,C01849,A12,344802170209094
DV00419,C01233,Lite,651490898011224
DV00420,C01946,A12,226704960894769
DV00421,C01961,A13,667740991128685
DV00422,C02959,A13,386234379233739
DV00423,C01264,Lite,903162968764127
DV00424,C01986,Lite,270987665671783
DV00425,C01024,Lite,081431857034535
DV00426,C02720,A13,969154865344128
DV00427,C01219,Lite,730809118803578
DV00428,C01556,A13,528098613385967
DV00429,C01813,A13,306749436276790
DV00430,C02633,Z5,535072830382905
DV00431,C01540,A12,106236669295735
DV00432,C01280,A13,371922225288087
DV00433,C01353,Z5,695965544272672
DV00434,C02756,X9,579536093523318
DV00435,C02257,Lite,482606883875199
DV00436,C02896,Lite,672149570909971
DV00437,C02953,A12,476522365237065
DV00438,C02620,A12,151408961181771
DV00439,C01654,Z5,486053052515750
DV00440,C02698,A12,000523357663947
DV00441,C02589,X9,468310895285229
DV00442,C01780,A12,113627341221924
DV00443,C01035,Z5,628951694368789
DV00444,C01812,X9,270833174312523
DV00445,C02535,Z5,976646337427900
DV00446,C02191,A13,969213426700972
DV00447,C02451,X9,330631748378509
DV00448,C01054,Z5,972902710541142
DV00449,C01923,A12,265551332177046
DV00450,C01024,A12,965879176084568
DV00451,C01032,Lite,960015953271448
DV00452,C02227,A12,370002684826872
DV00453,C01489,A12,297615665344318
DV00454,C02844,A13,548534264725430
DV00455,C01634,X9,646949844391627
DV00456,C01954,Z5,096433529205249
DV00457,C02891,A12,249841603048296
DV00458,C01109,A12,739361894275919
DV00459,C02305,A13,340364818839787
DV00460,C01753,X9,677924171783573
DV00461,C02063,Z5,247386451643142
DV00462,C02647,Z5,478782266764448
DV00463,C01568,A12,507293339676948
DV00464,C02548,Lite,246857467860816
DV00465,C01993,A12,234947802229740
DV00466,C02503,Z5,426887811971831
DV00467,C02254,X9,623414326871209
DV00468,C01738,X9,290597914090742
DV00469,C01108,A13,142681842885270
DV00470,C01681,A13,856215786681481
DV00471,C02226,Z5,527198977914324
DV00472,C02529,Z5,804002552850816
DV00473,C01824,Z5,734474150527937
DV00474,C02184,X9,647629579608704
DV00475,C01975,Z5,754525639791745
DV00476,C02941,A12,427774126111864
DV00477,C02424,Lite,206988905356052
DV00478,C01036,Lite,562036107571022
DV00479,C01855,A12,406337483196737
DV00480,C01872,A12,439071830434689
DV00481,C01826,Lite,440208994969666
DV00482,C01040,X9,505600201601987
DV00483,C01906,A13,624669322136583
DV00484,C01140,Z5,947005753979878
DV00485,C02876,A12,217936824596068
DV00486,C02094,X9,330920390826514
DV00487,C02955,A12,618998267321659
DV00488,C01521,A12,203515282520558
DV00489,C01916,Lite,129906204392247
DV00490,C02667,A12,348196422803192
DV00491,C02749,A12,423567077178280
DV00492,C02065,A13,967160528799830
DV00493,C01835,X9,202333769607144
DV00494,C02908,Z5,564821800379299
DV00495,C01542,A12,340118901026405
DV00496,C02306,X9,719338924223510
DV00497,C02445,Z5,759820576864853
DV00498,C02343,Z5,758168164889824
DV00499,C02875,X9,087935729336434
DV00500,C02832,A13,605420241980078
DV00501,C02240,A12,997719032324399
DV00502,C01902,A12,671059631644866
DV00503,C02951,A12,765564238263635
DV00504,C02335,Lite,783648443608443
DV00505,C02986,Lite,277818084468750
DV00506,C02109,Lite,019736034686655
DV00507,C01253,X9,923388730176006
DV00508,C02820,Z5,694259995060425
DV00509,C01913,X9,456480942142367
DV00510,C01596,Lite,683574185772374
DV00511,C02484,A13,937268757765994
DV00512,C01142,A12,630890460954092
DV00513,C03000,A13,662180350989891
DV00514,C01272,A12,509285672345901
DV00515,C02718,X9,285672330610879
DV00516,C01853,A13,465048473281066
DV00517,C01567,Z5,761546833165738
DV00518,C02618,Lite,561678305735196
DV00519,C01782,X9,132372401730626
DV00520,C01335,A12,881686970609229
DV00521,C01293,A12,040594544948417
DV00522,C01576,Lite,534490542978892
DV00523,C01615,Z5,672631498495076
DV00524,C02055,Lite,238912151096407
DV00525,C02609,A12,064947909743806
DV00526,C01809,Z5,660872144256855
DV00527,C01860,Lite,701085790481599
DV00528,C02309,A13,313836959365523
DV00529,C01527,A12,650100808901321
DV00530,C01013,A13,507718546783321
DV00531,C01762,Z5,334930042130067
DV00532,C02000,A12,776810825383836
DV00533,C02214,X9,379391566733992
DV00534,C01769,Z5,945053867671954
DV00535,C02282,X9,902749934616878
DV00536,C01380,Lite,533931986338990
DV00537,C02850,A13,090972532234658
DV00538,C02663,X9,217558065926924
DV00539,C01775,Z5,376097031537447
DV00540,C02406,Z5,036133535950239
DV00541,C02149,A12,612293691427608
DV00542,C02874,Z5,856321329036949
DV00543,C01690,Lite,392731531217668
DV00544,C01128,Lite,097040455792033
DV00545,C01450,A12,937595722309970
DV00546,C02062,X9,748581753640079
DV00547,C02997,Lite,085338513346624
DV00548,C02593,Lite,046721590777898
DV00549,C02390,A12,410393492424294
DV00550,C02505,Lite,847170103420729
DV00551,C02424,X9,325955604290419
DV00552,C01371,A13,076021746244734
DV00553,C01794,Z5,906464807985168
DV00554,C01739,A13,865340817837925
DV00555,C02134,A13,507790525418972
DV00556,C01039,X9,365075054542415
DV00557,C01244,X9,536072640800116
DV00558,C02599,Z5,871129998829896
DV00559,C02904,A13,797672101096108
DV00560,C01321,Z5,637376096766593
DV00561,C01433,X9,058659501363230
DV00562,C01216,X9,292404229226823
DV00563,C02363,Lite,425516143529072
DV00564,C01634,Lite,479487655338849
DV00565,C02447,A13,879539620912575
DV00566,C01691,A13,035900569454174
DV00567,C02648,X9,752794217373988
DV00568,C02217,A12,292083639921198
DV00569,C01716,A13,704820724250153
DV00570,C01747,Lite,064777878234431
DV00571,C01768,X9,181425623330252
DV00572,C02997,Z5,459559679532088
DV00573,C01169,Z5,711257137117086
DV00574,C01918,X9,284849475723725
DV00575,C02934,Lite,035807854955852
DV00576,C01621,A13,489994764936278
DV00577,C01368,A12,758408023397960
DV00578,C01781,A12,467089910421654
DV00579,C02267,X9,709163407778454
DV00580,C01903,A12,643767824916456
DV00581,C01547,A12,535450328708472
DV00582,C02356,Z5,149942119505170
DV00583,C01204,X9,648695480275645
DV00584,C02244,A12,280816411592760
DV00585,C01328,Z5,747115737158048
DV00586,C02442,A13,067142874506124
DV00587,C02726,A12,780011346657855
DV00588,C02193,A13,995094165382713
DV00589,C02805,A12,394815919188905
DV00590,C02497,A12,815340906076809
DV00591,C02223,Lite,655626267436125
DV00592,C02419,Z5,966506387673724
DV00593,C02534,Lite,142841340573908
DV00594,C02396,Z5,484892666280867
DV00595,C01027,Z5,508777795757021
DV00596,C01750,A13,707514535767019
DV00597,C01380,Lite,560732333771515
DV00598,C01449,A13,175484219696229
DV00599,C01276,A13,928245856123612
DV00600,C01481,A13,243669811433437
DV00601,C02717,A12,587754948607240
DV00602,C01267,X9,964778710320896
DV00603,C01615,Lite,530475829336968
DV00604,C02003,A12,790801999041720
DV00605,C01723,A12,054742913441337
DV00606,C02358,Z5,530727215517361
DV00607,C02058,Z5,683138479384730
DV00608,C01928,X9,596476919627978
DV00609,C01016,X9,211795952182380
DV00610,C02494,A12,887063030226049
DV00611,C01385,Z5,403275601826863
DV00612,C01144,A13,476999561326103
DV00613,C01421,X9,291950389458827
DV00614,C02768,A12,475697967998334
DV00615,C02131,A12,653190076986071
DV00616,C01970,Z5,912619434426160
DV00617,C02535,Lite,868808027854627
DV00618,C02492,A12,750509675809762
DV00619,C02061,X9,567311304554109
DV00620,C01840,Z5,064353964945102
DV00621,C02655,A13,442861716583564
DV00622,C02553,X9,832098812035709
DV00623,C02156,A12,457517755790433
DV00624,C01874,A13,903918606426767
DV00625,C02256,X9,921744614669083
DV00626,C01005,A13,150198965945579
DV00627,C02443,Z5,764444473732857
DV00628,C01089,Lite,588012475403616
DV00629,C02764,X9,849677024038583
DV00630,C02014,Z5,580630041362774
DV00631,C01247,Lite,450558179553036
DV00632,C02066,A12,992502204984761
DV00633,C01514,Z5,655896522973401
DV00634,C01900,A13,787947069277905
DV00635,C01919,Z5,945109581314665
DV00636,C01158,A13,825698170541429
DV00637,C01490,X9,163770091211794
DV00638,C01520,A13,984020970955897
DV00639,C02672,A12,104879997836201
DV00640,C01245,Lite,162279804461208
DV00641,C02748,A13,614275788889201
DV00642,C01606,A13,519697484164824
DV00643,C01661,Z5,234845971639543
DV00644,C02366,A12,868513283857998
DV00645,C01085,Lite,346044664482623
DV00646,C02997,A13,743530022499432
DV00647,C01332,A12,900012839908028
DV00648,C01216,A13,562845366770805
DV00649,C01892,Lite,787077853275531
DV00650,C01100,Z5,667198006495412
DV00651,C01640,X9,630363478306608
DV00652,C02664,A12,122697665379687
DV00653,C01360,Lite,753875141315344
DV00654,C01728,A13,977535776296918
DV00655,C01893,Lite,493912011854639
DV00656,C02391,X9,410208707077177
DV00657,C02816,A13,026494299204347
DV00658,C02610,Z5,161823380826437
DV00659,C01014,Lite,474226189003108
DV00660,C02209,Z5,673498069972440
DV00661,C01156,A12,921102561316491
DV00662,C01823,A12,005060116504832
DV00663,C01477,A13,625489075177906
DV00664,C01315,Z5,755673888037914
DV00665,C02379,Z5,326103219066379
DV00666,C02091,X9,367582184687939
DV00667,C01131,A12,402428409823601
DV00668,C02014,A12,463531280539212
DV00669,C01023,X9,558082966775570
DV00670,C01798,Z5,595015691315948
DV00671,C02031,X9,327193021907652
DV00672,C01456,Z5,472830850653758
DV00673,C01951,A13,014692264645787
DV00674,C01688,A12,593344109135979
DV00675,C02849,Z5,232564290153870
DV00676,C02515,Lite,237676094973766
DV00677,C02005,A13,858473249940864
DV00678,C01238,Lite,846163323803396
DV00679,C02625,A13,526170379331959
DV00680,C01214,X9,704642062216851
DV00681,C02516,Z5,135122632314885
DV00682,C02072,Lite,748668795761956
DV00683,C02313,Lite,904585060685506
DV00684,C01153,A12,633101416210379
DV00685,C01396,A12,840712774992369
DV00686,C02687,A12,150301196701788
DV00687,C01971,X9,965345926894780
DV00688,C02515,A12,420768209731754
DV00689,C01194,A13,005867926272063
DV00690,C02037,Lite,281949790665918
DV00691,C02677,A12,379383361805015
DV00692,C02355,Lite,462110003353436
DV00693,C01099,Lite,385646643134673
DV00694,C01544,A13,870054230690424
DV00695,C02220,Lite,037107868828226
DV00696,C02964,X9,796052005319043
DV00697,C02607,Z5,541321257846120
DV00698,C01426,Z5,272585021947613
DV00699,C02386,Lite,712418798745446
DV00700,C02682,Lite,451257270216129
DV00701,C01849,Z5,742781663326940
DV00702,C01938,Lite,315392824959454
DV00703,C02296,Lite,142258289681483
DV00704,C02285,Lite,123607372859074
DV00705,C02781,X9,640260870367082
DV00706,C02891,Lite,550152744091695
DV00707,C02052,A12,225055197041533
DV00708,C01402,X9,167660873312127
DV00709,C01288,Lite,236647385998659
DV00710,C01406,X9,770767157092336
DV00711,C01402,Lite,296838193128302
DV00712,C02692,X9,625682743054485
DV00713,C02646,Z5,348000876818937
DV00714,C01051,Lite,111582466251047
DV00715,C02067,X9,218530104614590
DV00716,C01553,A12,738755197901690
DV00717,C01568,X9,628425727632049
DV00718,C01746,Lite,549926637457686
DV00719,C01452,A13,942512297841562
DV00720,C02399,A12,298749778969528
DV00721,C01898,Z5,083488710269887
DV00722,C02335,Lite,475369021342220
DV00723,C02587,A12,718365429033694
DV00724,C01126,A12,488880766759111
DV00725,C02473,Z5,419906003916714
DV00726,C02840,Z5,544434193677828
DV00727,C02504,Lite,253928753930659
DV00728,C02020,Lite,754033380790018
DV00729,C02364,Lite,443303944968654
DV00730,C02531,Lite,673069653552589
DV00731,C02277,A13,579387568494179
DV00732,C01426,Lite,213117803883029
DV00733,C01807,A12,739994339897423
DV00734,C02121,A13,545621161816219
DV00735,C01926,Lite,474657763283850
DV00736,C02066,X9,956450900604320
DV00737,C02844,Lite,403175192839238
DV00738,C02884,A12,914960092938620
DV00739,C02783,A12,655422650198320
DV00740,C02861,Lite,211555157894871
DV00741,C02219,Lite,517879505702010
DV00742,C02043,Lite,872277108671604
DV00743,C01145,Lite,373240077518101
DV00744,C01257,A12,398294773901943
DV00745,C02593,X9,175751457935687
DV00746,C01720,X9,138276961329637
DV00747,C01450,A12,076917101548954
DV00748,C01593,A13,237844546333952
DV00749,C02795,Z5,851734345538977
DV00750,C01132,Lite,638867835375335
DV00751,C01435,Lite,970084580008913
DV00752,C01775,Lite,806395608351737
DV00753,C02132,A12,730192240833467
DV00754,C02394,A12,773138378642849
DV00755,C01076,A12,944400532724863
DV00756,C01600,A13,075543718955101
DV00757,C02893,X9,015471537247153
DV00758,C01123,X9,965984728184397
DV00759,C02229,A12,179823389933941
