invoice_id,subscription_id,cycle,total_usd
IV000177,S01190,2025-02,83.39
IV000178,S01230,2025-02,156.42
IV000179,S00556,2025-02,60.10
IV000180,S01404,2025-02,77.59
IV000181,S01387,2025-02,29.75
IV000182,S01877,2025-02,75.04
IV000183,S00600,2025-02,49.72
IV000184,S01358,2025-02,53.13
IV000185,S00476,2025-02,50.62
IV000186,S00883,2025-02,199.15
IV000187,S01205,2025-02,109.82
IV000188,S01300,2025-02,116.93
IV000189,S00176,2025-02,33.62
IV000190,S01467,2025-02,89.57
IV000191,S01594,2025-02,102.50
IV000192,S01381,2025-02,89.81
IV000193,S00381,2025-02,52.85
IV000194,S01018,2025-02,63.78
IV000195,S00955,2025-02,30.49
IV000196,S00146,2025-02,68.50
IV000197,S01995,2025-02,174.38
IV000198,S00491,2025-02,150.21
IV000199,S00344,2025-02,162.21
IV000200,S00040,2025-02,94.67
IV000201,S00011,2025-02,143.11
IV000202,S01824,2025-02,86.46
IV000203,S00908,2025-02,68.47
IV000204,S01732,2025-02,95.17
IV000205,S01970,2025-02,83.30
IV000206,S00012,2025-02,104.66
IV000207,S01258,2025-02,151.65
IV000208,S01997,2025-02,171.35
IV000209,S01610,2025-02,52.97
IV000210,S01866,2025-02,93.56
IV000211,S00476,2025-02,51.63
IV000212,S00220,2025-02,90.62
IV000213,S01779,2025-02,146.65
IV000214,S01496,2025-02,163.23
IV000215,S01884,2025-02,156.44
IV000216,S00924,2025-02,38.26
IV000217,S01946,2025-02,199.73
IV000218,S00039,2025-02,163.03
IV000219,S01537,2025-02,176.85
IV000220,S01302,2025-02,48.11
IV000221,S00233,2025-02,174.98
IV000222,S01525,2025-02,132.42
IV000223,S01749,2025-02,101.28
IV000224,S00226,2025-02,145.97
IV000225,S01404,2025-02,80.55
IV000226,S01780,2025-02,60.97
IV000227,S00479,2025-02,91.82
IV000228,S01046,2025-02,48.31
IV000229,S00981,2025-02,45.72
IV000230,S01315,2025-02,87.39
IV000231,S01003,2025-02,175.22
IV000232,S01062,2025-02,40.22
IV000233,S01579,2025-02,48.15
IV000234,S01603,2025-02,168.00
IV000235,S01244,2025-02,168.90
IV000236,S00729,2025-02,95.87
IV000237,S01260,2025-02,104.98
IV000238,S01442,2025-02,155.86
IV000239,S01227,2025-02,163.78
IV000240,S01876,2025-02,195.45
IV000241,S00992,2025-02,99.83
IV000242,S01456,2025-02,129.49
IV000243,S00026,2025-02,108.36
IV000244,S01013,2025-02,30.59
IV000245,S00256,2025-02,116.11
IV000246,S01746,2025-02,23.96
IV000247,S00370,2025-02,92.19
IV000248,S01793,2025-02,29.32
IV000249,S01442,2025-02,187.15
IV000250,S00481,2025-02,161.18
IV000251,S00525,2025-02,137.08
IV000252,S00599,2025-02,140.70
IV000253,S01129,2025-02,135.31
IV000254,S00799,2025-02,96.00
IV000255,S00742,2025-02,69.47
IV000256,S00381,2025-02,103.42
IV000257,S01855,2025-02,195.41
IV000258,S00338,2025-02,118.90
IV000259,S01718,2025-02,35.97
IV000260,S01296,2025-02,160.03
IV000261,S00430,2025-02,199.49
IV000262,S01493,2025-02,70.86
IV000263,S01582,2025-02,191.59
IV000264,S01122,2025-02,170.41
IV000265,S00541,2025-02,132.08
IV000266,S00276,2025-02,139.91
IV000267,S00559,2025-02,192.00
IV000268,S00273,2025-02,113.63
IV000269,S01228,2025-02,178.24
IV000270,S01303,2025-02,131.43
IV000271,S00330,2025-02,181.52
IV000272,S00823,2025-02,24.80
IV000273,S00908,2025-02,35.26
IV000274,S00034,2025-02,168.13
IV000275,S01189,2025-02,161.09
IV000276,S00625,2025-02,176.76
IV000277,S00874,2025-02,123.63
IV000278,S01095,2025-02,138.81
IV000279,S01756,2025-02,22.89
IV000280,S00724,2025-02,105.27
IV000281,S01473,2025-02,112.91
IV000282,S01318,2025-02,24.65
IV000283,S00844,2025-02,23.13
IV000284,S00858,2025-02,130.19
IV000285,S00605,2025-02,50.96
IV000286,S01645,2025-02,74.76
IV000287,S01613,2025-02,132.16
IV000288,S01472,2025-02,176.99
IV000289,S01214,2025-02,39.35
IV000290,S00125,2025-02,58.74
IV000291,S00974,2025-02,186.36
IV000292,S00524,2025-02,173.92
IV000293,S01687,2025-02,85.15
IV000294,S01786,2025-02,60.63
IV000295,S01262,2025-02,103.45
IV000296,S00957,2025-02,119.68
IV000297,S01014,2025-02,34.21
IV000298,S00751,2025-02,50.97
IV000299,S01992,2025-02,73.67
IV000300,S00882,2025-02,135.54
IV000301,S01365,2025-02,164.86
IV000302,S00263,2025-02,92.21
IV000303,S01600,2025-02,108.06
IV000304,S00492,2025-02,25.60
IV000305,S01845,2025-02,32.15
IV000306,S00442,2025-02,66.39
IV000307,S01150,2025-02,160.52
IV000308,S00116,2025-02,96.44
IV000309,S01162,2025-02,132.75
IV000310,S00530,2025-02,196.19
IV000311,S01973,2025-02,30.91
IV000312,S01979,2025-02,127.50
IV000313,S00676,2025-02,20.76
IV000314,S01529,2025-02,73.19
IV000315,S01166,2025-02,61.77
IV000316,S01959,2025-02,174.37
IV000317,S00142,2025-02,61.89
IV000318,S01641,2025-02,59.04
IV000319,S01994,2025-02,26.37
IV000320,S01243,2025-02,20.92
IV000321,S00949,2025-02,45.18
IV000322,S00650,2025-02,158.28
IV000323,S00804,2025-02,51.87
IV000324,S01187,2025-02,115.11
IV000325,S00213,2025-02,160.22
IV000326,S01002,2025-02,26.90
IV000327,S00410,2025-02,60.83
IV000328,S01322,2025-02,154.28
IV000329,S00671,2025-02,80.10
IV000330,S00901,2025-02,171.64
IV000331,S01256,2025-02,188.54
IV000332,S00735,2025-02,147.69
IV000333,S00833,2025-02,145.58
IV000334,S01133,2025-02,198.03
IV000335,S01515,2025-02,92.93
IV000336,S01507,2025-02,146.53
IV000337,S01258,2025-02,83.03
IV000338,S00750,2025-02,100.68
IV000339,S01907,2025-02,168.09
IV000340,S01088,2025-02,54.51
IV000341,S00110,2025-02,20.89
IV000342,S01831,2025-02,33.58
IV000343,S01714,2025-02,187.22
IV000344,S00599,2025-02,76.97
IV000345,S01642,2025-02,199.93
IV000346,S01207,2025-02,150.98
IV000347,S01295,2025-02,168.24
IV000348,S00158,2025-02,45.58
IV000349,S00898,2025-02,176.85
IV000350,S00137,2025-02,159.23
IV000351,S01450,2025-02,163.72
IV000352,S01814,2025-02,103.08
IV000353,S00133,2025-02,152.66
IV000354,S01765,2025-02,157.55
IV000355,S01136,2025-02,38.55
IV000356,S00426,2025-02,168.21
IV000357,S01397,2025-02,139.81
IV000358,S01416,2025-02,199.85
IV000359,S00017,2025-02,68.26
IV000360,S00889,2025-02,43.69
IV000361,S01490,2025-02,127.70
IV000362,S01159,2025-02,89.78
IV000363,S01487,2025-02,162.93
IV000364,S01150,2025-02,171.94
IV000365,S01494,2025-02,56.07
IV000366,S01196,2025-02,150.37
IV000367,S00124,2025-02,133.52
IV000368,S01449,2025-02,71.67
IV000369,S00897,2025-02,136.10
IV000370,S00499,2025-02,168.87
IV000371,S00789,2025-02,116.63
IV000372,S01955,2025-02,61.40
IV000373,S01285,2025-02,178.33
IV000374,S01968,2025-02,120.39
IV000375,S01523,2025-02,163.69
IV000376,S01229,2025-02,28.49
IV000377,S01935,2025-02,167.35
IV000378,S00093,2025-02,139.68
IV000379,S01272,2025-02,95.19
IV000380,S01648,2025-02,152.22
IV000381,S01420,2025-02,44.41
IV000382,S01505,2025-02,110.92
IV000383,S01261,2025-02,154.36
IV000384,S01132,2025-02,37.36
IV000385,S00348,2025-02,54.86
IV000386,S00507,2025-02,74.88
IV000387,S01109,2025-02,34.81
IV000388,S01720,2025-02,32.38
IV000389,S00927,2025-02,189.53
IV000390,S00715,2025-02,55.14
IV000391,S01484,2025-02,109.76
IV000392,S01624,2025-02,56.76
IV000393,S01173,2025-02,142.92
IV000394,S00486,2025-02,151.38
IV000395,S00406,2025-02,136.56
IV000396,S00436,2025-02,126.87
IV000397,S00930,2025-02,24.79
IV000398,S00496,2025-02,177.01
IV000399,S01283,2025-02,131.94
IV000400,S01041,2025-02,188.36
IV000401,S00863,2025-02,148.32
IV000402,S01349,2025-02,174.81
IV000403,S01164,2025-02,166.58
IV000404,S00241,2025-02,111.69
IV000405,S01207,2025-02,168.16
IV000406,S00868,2025-02,110.22
IV000407,S01058,2025-02,197.98
IV000408,S00059,2025-02,63.86
IV000409,S00504,2025-02,66.85
IV000410,S01982,2025-02,142.65
IV000411,S01139,2025-02,53.72
IV000412,S00583,2025-02,157.42
IV000413,S00661,2025-02,112.99
IV000414,S00802,2025-02,125.86
IV000415,S01317,2025-02,47.95
IV000416,S01445,2025-02,141.73
IV000417,S01130,2025-02,177.40
IV000418,S01623,2025-02,121.53
IV000419,S01596,2025-02,89.52
IV000420,S00484,2025-02,110.21
IV000421,S01599,2025-02,193.68
IV000422,S01047,2025-02,102.95
IV000423,S00337,2025-02,194.71
IV000424,S01651,2025-02,89.99
IV000425,S00698,2025-02,71.73
IV000426,S00012,2025-02,53.60
IV000427,S00072,2025-02,170.29
IV000428,S00221,2025-02,179.87
IV000429,S01661,2025-02,23.41
IV000430,S00021,2025-02,150.47
IV000431,S00491,2025-02,99.80
IV000432,S00829,2025-02,74.15
IV000433,S00170,2025-02,136.16
IV000434,S00877,2025-02,51.51
IV000435,S01607,2025-02,76.05
IV000436,S00591,2025-02,165.92
IV000437,S00751,2025-02,136.78
IV000438,S01236,2025-02,60.41
IV000439,S00876,2025-02,154.46
IV000440,S01162,2025-02,178.00
IV000441,S01381,2025-02,53.97
IV000442,S00052,2025-02,156.22
IV000443,S00974,2025-02,111.83
IV000444,S00504,2025-02,38.77
IV000445,S01110,2025-02,196.48
IV000446,S01580,2025-02,144.55
IV000447,S01338,2025-02,159.08
IV000448,S00050,2025-02,43.93
IV000449,S00406,2025-02,91.63
IV000450,S01212,2025-02,195.96
IV000451,S01903,2025-02,93.19
IV000452,S00821,2025-02,138.44
IV000453,S01341,2025-02,137.84
IV000454,S00092,2025-02,191.68
IV000455,S00174,2025-02,60.13
IV000456,S01302,2025-02,122.55
IV000457,S01631,2025-02,194.76
IV000458,S01799,2025-02,30.44
IV000459,S01776,2025-02,163.83
IV000460,S00338,2025-02,199.34
IV000461,S01725,2025-02,167.41
IV000462,S00417,2025-02,135.20
IV000463,S00523,2025-02,197.41
IV000464,S01454,2025-02,189.65
IV000465,S00034,2025-02,185.74
IV000466,S00001,2025-02,164.37
IV000467,S01273,2025-02,35.81
IV000468,S01212,2025-02,74.06
IV000469,S01342,2025-02,126.86
IV000470,S01562,2025-02,38.36
IV000471,S01353,2025-02,28.03
IV000472,S01922,2025-02,171.73
IV000473,S01300,2025-02,141.07
IV000474,S00283,2025-02,69.04
IV000475,S00506,2025-02,125.52
IV000476,S00729,2025-02,39.04
IV000477,S01815,2025-02,81.37
IV000478,S00428,2025-02,108.65
IV000479,S00014,2025-02,116.17
IV000480,S00504,2025-02,46.84
IV000481,S00787,2025-02,47.39
IV000482,S00146,2025-02,149.65
IV000483,S01153,2025-02,24.51
IV000484,S00241,2025-02,113.13
IV000485,S01599,2025-02,178.62
IV000486,S01791,2025-02,24.17
IV000487,S00746,2025-02,42.79
IV000488,S00620,2025-02,106.50
IV000489,S01563,2025-02,122.95
IV000490,S01286,2025-02,59.20
IV000491,S01130,2025-02,45.87
IV000492,S00074,2025-02,155.78
IV000493,S00627,2025-02,98.07
IV000494,S01699,2025-02,121.79
IV000495,S00447,2025-02,111.89
IV000496,S00661,2025-02,102.75
IV000497,S01451,2025-02,69.73
IV000498,S01300,2025-02,61.55
IV000499,S00946,2025-02,55.38
IV000500,S01103,2025-02,178.33
IV000501,S00490,2025-02,37.06
IV000502,S00456,2025-02,136.05
IV000503,S01547,2025-02,63.39
IV000504,S01281,2025-02,197.00
IV000505,S00032,2025-02,136.65
IV000506,S01544,2025-02,40.07
IV000507,S00517,2025-02,156.42
IV000508,S00693,2025-02,74.69
IV000509,S01223,2025-02,115.53
IV000510,S00661,2025-02,108.17
IV000511,S01258,2025-02,116.38
IV000512,S01501,2025-02,26.18
IV000513,S01996,2025-02,107.90
IV000514,S00524,2025-02,63.96
IV000515,S00043,2025-02,28.99
IV000516,S01486,2025-02,95.73
IV000517,S01054,2025-02,138.77
IV000518,S00399,2025-02,198.09
IV000519,S00634,2025-02,75.40
IV000520,S01547,2025-02,102.02
IV000521,S01915,2025-02,197.15
IV000522,S01104,2025-02,93.47
IV000523,S00778,2025-02,119.09
IV000524,S00340,2025-02,145.89
IV000525,S01546,2025-02,51.11
IV000526,S00648,2025-02,154.85
IV000527,S00947,2025-02,127.03
IV000528,S01481,2025-02,61.41
IV000529,S01919,2025-02,135.59
IV000530,S01221,2025-02,126.59
IV000531,S00276,2025-02,141.34
IV000532,S00155,2025-02,105.86
IV000533,S01991,2025-02,44.01
IV000534,S01469,2025-02,161.70
IV000535,S00820,2025-02,46.94
IV000536,S00710,2025-02,66.77
IV000537,S00644,2025-02,59.04
IV000538,S00013,2025-02,142.83
IV000539,S00652,2025-02,153.21
IV000540,S00833,2025-02,94.93
IV000541,S00025,2025-02,45.68
IV000542,S00426,2025-02,155.68
IV000543,S01627,2025-02,41.02
IV000544,S01295,2025-02,132.21
IV000545,S00896,2025-02,152.13
IV000546,S00125,2025-02,147.10
IV000547,S01851,2025-02,55.23
IV000548,S01401,2025-02,87.13
IV000549,S01045,2025-02,121.00
IV000550,S01528,2025-02,56.71
IV000551,S00891,2025-02,177.35
IV000552,S00977,2025-02,114.15
IV000553,S00840,2025-02,59.37
IV000554,S00805,2025-02,128.71
IV000555,S01606,2025-02,121.46
IV000556,S01414,2025-02,97.98
IV000557,S00924,2025-02,141.56
IV000558,S00167,2025-02,80.71
IV000559,S00884,2025-02,123.35
IV000560,S00279,2025-02,187.84
IV000561,S01632,2025-02,20.29
IV000562,S01467,2025-02,174.96
IV000563,S00203,2025-02,76.04
IV000564,S01257,2025-02,164.37
IV000565,S01092,2025-02,131.55
IV000566,S01966,2025-02,176.73
IV000567,S01230,2025-02,43.68
IV000568,S00172,2025-02,151.39
IV000569,S01902,2025-02,102.96
IV000570,S00679,2025-02,148.67
IV000571,S00915,2025-02,132.81
IV000572,S00923,2025-02,97.17
IV000573,S00772,2025-02,135.91
IV000574,S00249,2025-02,178.50
IV000575,S00499,2025-02,131.66
IV000576,S00217,2025-02,188.31
IV000577,S01174,2025-02,180.17
IV000578,S00492,2025-02,181.65
IV000579,S00246,2025-02,149.17
IV000580,S00362,2025-02,174.06
IV000581,S01302,2025-02,72.50
IV000582,S00009,2025-02,163.51
IV000583,S00581,2025-02,175.89
IV000584,S01043,2025-02,179.33
IV000585,S00647,2025-02,25.65
IV000586,S00867,2025-02,74.79
IV000587,S01003,2025-02,162.65
IV000588,S00933,2025-02,77.15
IV000589,S01730,2025-02,33.82
IV000590,S00904,2025-02,91.90
IV000591,S01697,2025-02,181.93
IV000592,S00613,2025-02,141.06
IV000593,S01658,2025-02,125.54
IV000594,S00738,2025-02,78.94
IV000595,S00279,2025-02,174.35
IV000596,S01613,2025-02,71.37
IV000597,S00225,2025-02,85.27
IV000598,S00580,2025-02,149.96
IV000599,S00716,2025-02,23.66
IV000600,S00533,2025-02,122.71
IV000601,S00950,2025-02,157.07
IV000602,S00234,2025-02,186.70
IV000603,S00369,2025-02,186.95
IV000604,S00246,2025-02,76.86
IV000605,S00791,2025-02,147.68
IV000606,S00736,2025-02,112.49
IV000607,S01367,2025-02,154.50
IV000608,S01993,2025-02,21.85
IV000609,S01238,2025-02,107.32
IV000610,S01721,2025-02,21.94
IV000611,S00282,2025-02,94.33
IV000612,S00119,2025-02,174.67
IV000613,S00144,2025-02,77.32
IV000614,S00341,2025-02,72.38
IV000615,S01758,2025-02,154.18
IV000616,S00774,2025-02,151.92
IV000617,S00081,2025-02,103.94
IV000618,S01921,2025-02,177.63
IV000619,S01302,2025-02,79.95
IV000620,S01637,2025-02,158.21
IV000621,S01783,2025-02,65.00
IV000622,S01142,2025-02,192.52
IV000623,S00011,2025-02,100.83
IV000624,S01630,2025-02,114.40
IV000625,S00229,2025-02,95.33
IV000626,S00061,2025-02,69.38
IV000627,S01966,2025-02,173.69
IV000628,S00314,2025-02,79.45
IV000629,S01906,2025-02,42.74
IV000630,S00454,2025-02,100.18
IV000631,S01290,2025-02,33.35
IV000632,S00112,2025-02,42.13
IV000633,S01451,2025-02,91.99
IV000634,S00528,2025-02,108.41
IV000635,S00366,2025-02,143.00
IV000636,S00665,2025-02,123.00
IV000637,S01841,2025-02,39.68
IV000638,S00713,2025-02,47.61
IV000639,S01333,2025-02,187.52
IV000640,S00476,2025-02,95.18
IV000641,S01018,2025-02,115.64
IV000642,S00299,2025-02,94.01
IV000643,S00599,2025-02,121.88
IV000644,S01248,2025-02,136.99
IV000645,S01597,2025-02,198.85
IV000646,S01131,2025-02,166.69
IV000647,S00083,2025-02,168.15
IV000648,S00984,2025-02,199.25
IV000649,S00231,2025-02,139.26
IV000650,S00854,2025-02,93.44
IV000651,S00982,2025-02,60.32
IV000652,S01194,2025-02,171.51
IV000653,S00439,2025-02,164.26
IV000654,S00461,2025-02,124.96
IV000655,S00281,2025-02,144.71
IV000656,S00826,2025-02,137.70
IV000657,S01649,2025-02,78.69
IV000658,S01588,2025-02,24.44
IV000659,S01977,2025-02,188.23
IV000660,S00461,2025-02,170.19
IV000661,S01569,2025-02,84.83
IV000662,S01166,2025-02,111.61
IV000663,S01190,2025-02,193.28
IV000664,S00855,2025-02,124.43
IV000665,S01790,2025-02,46.62
IV000666,S00756,2025-02,152.53
IV000667,S01643,2025-02,116.59
IV000668,S00748,2025-02,68.12
IV000669,S00418,2025-02,152.28
IV000670,S01497,2025-02,190.07
IV000671,S01454,2025-02,39.73
IV000672,S00232,2025-02,100.12
IV000673,S01855,2025-02,97.80
IV000674,S00758,2025-02,93.41
IV000675,S00762,2025-02,54.44
IV000676,S01513,2025-02,138.29
IV000677,S00269,2025-02,62.61
IV000678,S01980,2025-02,87.57
IV000679,S00316,2025-02,191.23
IV000680,S00189,2025-02,54.47
IV000681,S00038,2025-02,26.49
IV000682,S00458,2025-02,165.61
IV000683,S01206,2025-02,175.48
IV000684,S00763,2025-02,178.32
IV000685,S00178,2025-02,23.47
IV000686,S00562,2025-02,193.85
IV000687,S01181,2025-02,43.55
IV000688,S00565,2025-02,53.74
IV000689,S00046,2025-02,147.36
IV000690,S00472,2025-02,61.61
IV000691,S01577,2025-02,175.96
IV000692,S00104,2025-02,179.40
IV000693,S01812,2025-02,57.58
IV000694,S00682,2025-02,179.57
IV000695,S01362,2025-02,160.41
IV000696,S01995,2025-02,108.14
IV000697,S01846,2025-02,50.16
IV000698,S00236,2025-02,176.05
IV000699,S00697,2025-02,140.49
IV000700,S01902,2025-02,119.77
IV000701,S01965,2025-02,68.95
IV000702,S00135,2025-02,92.21
IV000703,S01961,2025-02,115.99
IV000704,S01203,2025-02,51.01
IV000705,S00242,2025-02,98.90
IV000706,S00670,2025-02,151.03
IV000707,S01971,2025-02,181.69
IV000708,S01874,2025-02,98.40
IV000709,S01713,2025-02,181.02
IV000710,S01575,2025-02,127.66
IV000711,S01335,2025-02,67.94
IV000712,S01743,2025-02,30.61
IV000713,S00303,2025-02,37.67
IV000714,S01597,2025-02,71.25
IV000715,S00242,2025-02,97.79
IV000716,S01577,2025-02,134.46
IV000717,S01455,2025-02,38.99
IV000718,S01280,2025-02,116.05
IV000719,S00928,2025-02,138.71
IV000720,S00898,2025-02,135.28
IV000721,S01724,2025-02,40.57
IV000722,S00520,2025-02,161.77
IV000723,S00543,2025-02,121.27
IV000724,S01584,2025-02,61.17
IV000725,S01110,2025-02,90.84
IV000726,S00396,2025-02,115.92
IV000727,S01178,2025-02,58.29
IV000728,S01013,2025-02,78.37
IV000729,S00052,2025-02,101.11
IV000730,S00720,2025-02,60.26
IV000731,S00933,2025-02,65.84
IV000732,S01677,2025-02,45.51
IV000733,S01542,2025-02,188.38
IV000734,S01005,2025-02,141.05
IV000735,S00606,2025-02,110.58
IV000736,S01128,2025-02,185.43
IV000737,S01769,2025-02,117.41
IV000738,S01953,2025-02,33.61
IV000739,S00276,2025-02,20.68
IV000740,S00867,2025-02,122.39
IV000741,S00205,2025-02,64.85
IV000742,S01443,2025-02,184.08
IV000743,S00781,2025-02,58.83
IV000744,S00390,2025-02,158.14
IV000745,S01272,2025-02,52.02
IV000746,S00805,2025-02,21.42
IV000747,S01613,2025-02,83.88
IV000748,S01952,2025-02,55.89
IV000749,S00505,2025-02,105.15
IV000750,S00267,2025-02,79.45
IV000751,S01652,2025-02,110.34
IV000752,S00196,2025-02,127.66
IV000753,S00094,2025-02,26.68
IV000754,S00416,2025-02,21.60
IV000755,S01955,2025-02,68.90
IV000756,S01882,2025-02,161.89
IV000757,S01262,2025-02,93.92
IV000758,S01296,2025-02,98.03
IV000759,S01816,2025-02,92.86
IV000760,S01064,2025-02,21.40
IV000761,S00137,2025-02,28.79
IV000762,S00313,2025-02,170.57
IV000763,S00429,2025-02,62.66
IV000764,S00402,2025-02,163.69
IV000765,S01560,2025-02,33.66
IV000766,S01730,2025-02,199.36
IV000767,S00533,2025-02,182.90
IV000768,S00861,2025-02,65.90
IV000769,S01186,2025-02,77.87
IV000770,S00265,2025-02,172.53
IV000771,S00698,2025-02,29.65
IV000772,S01156,2025-02,129.10
IV000773,S00806,2025-02,193.50
IV000774,S00650,2025-02,118.09
IV000775,S00026,2025-02,70.28
